Cell 3,Cell 37,Cell 41
25.436378,38.82941,189.49033
25.436378,38.82941,180.20937
25.436378,38.82941,171.41614
25.436378,38.82941,163.085
25.436378,38.82941,155.19168
25.436378,38.82941,147.71315
25.436378,38.82941,140.62762
25.436378,38.82941,133.91446
25.436378,38.82941,127.55408
52.46176,38.82941,121.52794
50.09037,38.82941,115.81848
74.85983,38.82941,110.40906
70.52308,38.82941,105.283905
66.566864,38.82941,100.428085
62.957794,38.82941,95.82744
59.66541,38.82941,91.46857
56.66192,38.82941,87.33876
53.92198,38.82941,83.42598
51.42246,38.82941,79.71882
49.142265,38.82941,76.206474
47.06215,38.82941,72.87871
45.164555,38.82941,69.72582
43.43347,38.82941,66.73862
41.854282,38.82941,63.908398
40.413666,38.82941,61.22691
39.099457,38.82941,58.686337
37.900562,38.82941,64.28518
36.80687,38.82941,61.583885
35.809147,38.82941,59.02455
34.898968,38.82941,56.599712
34.068657,38.82941,54.302303
33.311203,38.82941,52.125626
32.620213,38.82941,50.063335
31.989853,38.82941,55.275562
31.414806,38.82941,53.047733
30.890219,38.82941,50.936985
30.411661,38.82941,118.83358
29.975096,38.82941,113.26571
29.57684,38.82941,107.99044
29.213526,38.82941,102.99239
28.882093,38.82941,98.256996
28.579742,38.82941,93.770454
28.303923,38.82941,89.519684
28.052305,38.82941,85.492294
27.822765,38.82941,81.67654
27.613369,38.82941,78.06131
27.422344,38.82941,74.63607
27.248083,38.82941,71.39083
27.089111,38.82941,68.31613
26.94409,38.82941,65.40301
26.811792,38.82941,62.64298
26.691105,38.82941,60.02799
77.82836,38.82941,57.55042
73.23113,38.82941,55.20305
69.03729,38.82941,52.97904
65.21146,38.82941,50.8719
61.72132,38.82941,48.875492
58.537434,38.82941,46.98399
55.63292,38.82941,45.1919
52.98327,38.82941,43.493977
50.566116,38.82941,41.88529
48.361065,38.82941,57.409485
46.349495,38.82941,55.06952
44.514435,38.82941,64.73148
42.8404,38.82941,62.00674
41.31325,38.82941,59.425186
39.920105,38.82941,56.979294
38.649208,38.82941,54.661938
37.489822,38.82941,52.46636
36.43217,38.82941,50.38616
35.467323,38.82941,48.41528
34.587143,38.82941,46.54797
33.78419,38.82941,44.778786
33.051697,38.82941,43.102577
32.383476,38.82941,41.514458
31.773891,38.82941,40.009796
31.217796,38.82941,38.5842
30.710495,38.82941,37.233524
30.247707,38.82941,35.953827
29.82553,38.82941,34.741383
29.440395,38.82941,33.59265
29.089056,38.82941,32.504288
28.768545,38.82941,31.47312
28.476158,38.82941,30.496138
28.209427,38.82941,29.5705
27.9661,38.82941,28.693504
73.27944,38.82941,27.862597
69.08137,38.82941,27.07535
65.25166,38.82941,26.32948
61.757996,38.82941,25.622803
58.57089,38.82941,24.953262
55.66344,38.82941,24.318909
53.011112,38.82941,23.717888
50.59152,38.82941,23.148453
48.384235,38.82941,22.608944
46.370636,38.82941,22.097786
44.533722,38.82941,61.97276
42.85799,38.82941,59.39299
41.3293,38.82941,56.94879
39.934746,38.82941,54.633038
38.66256,38.82941,52.43898
37.502007,38.82941,50.36022
36.443287,38.82941,48.390705
35.477463,38.82941,46.524685
34.59639,38.82941,44.75673
33.79263,38.82941,43.081684
33.059395,38.82941,90.10008
32.3905,38.82941,86.04219
31.780298,38.82941,82.22971
31.22364,38.82941,78.58542
30.715826,38.82941,75.13264
30.252571,38.82941,71.861305
29.829967,38.82941,68.76189
29.444443,38.82941,106.61115
29.092749,38.82941,101.685585
28.771914,38.82941,97.01886
28.47923,38.82941,92.597374
28.21223,38.82941,88.40825
27.968658,38.82941,84.43926
27.746458,38.82941,80.678856
27.543756,38.82941,77.11606
27.35884,38.82941,73.74049
27.190151,38.82941,70.54232
27.036263,38.82941,67.51221
26.895878,38.82941,64.641335
26.767813,38.82941,61.92133
26.650982,38.82941,59.34426
26.544405,38.82941,56.902622
26.44718,38.82941,54.589294
26.358484,38.82941,52.397533
26.277573,38.82941,78.58917
26.20376,38.82941,75.1362
26.136425,38.82941,71.86467
26.89706,38.82941,68.765076
26.76889,38.82941,65.828354
26.651966,38.82941,63.045967
26.545301,38.82941,60.409798
26.447998,38.82941,57.912163
26.359232,38.82941,55.54578
26.278254,38.82941,53.303757
26.204382,38.82941,51.179554
26.136992,38.82941,49.16698
26.075516,38.82941,47.260166
26.019434,38.82941,45.45356
25.968273,38.82941,43.741894
25.9216,38.82941,42.120174
25.879025,38.82941,40.58368
25.840183,38.82941,39.12793
25.80475,38.82941,37.748684
25.772427,38.82941,36.441914
25.742939,38.82941,35.203815
25.71604,38.82941,34.030785
39.549694,38.82941,32.91939
38.311295,38.82941,31.866411
37.181564,38.82941,30.868763
36.15096,38.82941,29.923542
35.21079,38.82941,29.027992
34.353115,38.82941,28.179508
33.5707,38.82941,27.37561
32.85694,38.82941,26.613956
32.20581,38.82941,25.892332
31.611813,38.82941,25.208628
31.069939,38.82941,24.560852
30.575611,38.82941,23.947117
30.12466,38.82941,23.365637
29.71328,38.82941,73.00771
29.337994,38.82941,70.920494
28.99564,38.82941,67.87051
28.683327,38.82941,64.980804
28.398417,38.82941,62.242958
28.138508,38.82941,59.64899
27.901405,38.82941,57.191338
27.685106,38.82941,54.86284
27.487787,38.82941,52.656704
27.307783,38.82941,50.5665
27.143574,38.82941,48.586143
26.993773,38.82941,46.70985
26.857117,38.82941,44.932163
26.73245,38.82941,43.2479
26.618725,38.82941,41.65214
26.514978,38.82941,40.14024
26.420334,38.82941,38.70779
26.333996,38.82941,37.35062
26.255232,38.82941,36.064774
26.18338,38.82941,34.846497
26.117834,38.82941,33.69224
26.058039,38.82941,32.931076
26.003489,38.82941,76.51129
25.953728,38.82941,73.16751
25.90833,38.82941,102.16859
66.459015,38.82941,132.76149
62.85941,38.82941,126.461685
59.575657,38.82941,120.49295
56.580044,38.82941,114.83788
53.847286,38.82941,109.479996
51.35432,38.82941,104.40367
49.080105,38.82941,99.59411
47.005444,38.82941,95.03729
45.112827,38.82941,90.71995
43.386284,38.82941,86.62948
41.811234,38.82941,82.753975
40.374393,38.82941,79.08213
111.16086,38.82941,75.60324
103.63881,38.82941,72.30718
96.776794,38.82941,69.184326
90.5169,38.82941,66.22558
84.80629,38.82941,63.422318
79.59677,38.82941,60.766373
74.844376,38.82941,58.25
70.50898,38.82941,55.865864
89.18096,38.82941,53.607018
83.58758,38.82941,51.466877
78.485,38.82941,49.4392
73.830154,38.82941,47.51808
69.583755,38.82941,45.69792
65.70996,38.82941,43.973415
62.176083,38.82941,42.33953
58.95229,38.82941,40.791508
56.011375,38.82941,93.2387
53.328518,38.82941,89.01587
50.881073,38.82941,85.01495
48.64838,38.82941,81.22429
46.611603,38.82941,77.63283
44.75354,38.82941,74.23011
43.058525,38.82941,71.0062
41.512238,38.82941,67.95171
40.10163,38.82941,65.05774
38.8148,38.82941,62.315853
37.64089,38.82941,59.718052
36.56998,38.82941,57.25677
35.59304,38.82941,54.92483
34.701828,38.82941,52.71544
33.888817,38.82941,50.62215
44.683643,38.82941,48.638866
42.99476,38.82941,46.759804
41.454063,38.82941,44.979492
40.048565,38.82941,43.29274
38.76639,38.82941,75.69711
37.596725,38.82941,72.39612
36.529694,38.82941,69.26859
35.55629,38.82941,66.30542
34.6683,38.82941,63.497955
33.85823,38.82941,60.838036
33.11924,38.82941,58.317898
32.44509,38.82941,55.930195
31.830101,38.82941,53.66797
31.269072,38.82941,51.524624
30.75727,38.82941,49.493916
30.29038,38.82941,47.56992
29.864456,38.82941,45.747036
29.475906,38.82941,63.60335
29.121452,38.82941,60.937893
28.798098,38.82941,58.412506
28.503119,38.82941,56.019833
28.234022,38.82941,53.752895
27.988537,38.82941,51.605087
27.764593,38.82941,49.57015
27.5603,38.82941,47.642147
27.373932,38.82941,45.815468
27.203918,38.82941,44.08478
27.048822,38.82941,42.445045
26.907335,38.82941,40.89148
