Cell 20,Cell 39,Cell 41,Cell 48,Cell 53,Cell 54,Cell 62,Cell 64,Cell 74,Cell 84
225.44566,-16.140812,1271.7438,75.222206,49.626408,-15.960404,53.154987,474.33685,55.280434,82.53694
213.8306,-16.140812,1199.3134,75.222206,49.626408,-15.960404,53.154987,455.36395,55.280434,321.58704
591.5624,-16.140812,1189.0088,75.222206,49.626408,-15.960404,53.154987,437.4803,55.280434,472.6176
610.86865,-16.140812,2099.83,75.222206,49.626408,-15.960404,53.154987,420.6233,55.280434,430.82733
593.2528,-16.140812,1977.5775,75.222206,49.626408,-15.960404,53.154987,404.73395,55.280434,391.69855
564.22876,-16.140812,1862.6803,75.222206,49.626408,-15.960404,53.154987,389.75684,55.280434,355.06174
536.5785,-16.140812,1754.6959,75.222206,49.626408,-15.960404,53.154987,375.6395,55.280434,320.75824
510.23694,-16.140812,1653.2085,75.222206,49.626408,-15.960404,53.154987,362.33258,55.280434,288.63947
485.1422,-16.140812,1557.8271,75.222206,49.626408,-15.960404,53.154987,349.78958,55.280434,274.3736
461.23526,-16.140812,1468.1844,75.222206,49.626408,-15.960404,53.154987,337.96667,55.280434,245.20892
438.45987,-16.140812,1565.6726,75.222206,49.626408,-15.960404,53.154987,326.82248,55.280434,217.90163
416.76248,-16.140812,1475.5579,75.222206,49.626408,-15.960404,53.154987,316.31805,55.280434,192.33348
396.09204,-16.140812,1636.0011,75.222206,49.626408,-15.960404,53.154987,306.41663,55.280434,168.39369
376.4,-16.140812,1541.655,75.222206,49.626408,-15.960404,53.154987,297.08362,55.280434,145.97856
512.25916,-16.140812,1452.9854,75.222206,49.626408,-15.960404,53.154987,288.2864,55.280434,124.99099
487.0687,-16.140812,1369.6505,75.222206,49.626408,-15.960404,53.154987,279.99423,55.280434,260.796
463.07056,-16.140812,1291.3295,75.222206,49.626408,-15.960404,53.154987,272.17807,55.280434,232.49606
440.20828,-16.140812,1217.7207,75.222206,49.626408,-15.960404,53.154987,264.8106,55.280434,205.99843
604.09424,-16.140812,1148.5406,75.222206,49.626408,-15.960404,53.154987,257.86612,55.280434,181.18835
574.55707,-16.140812,1083.5228,75.222206,49.626408,-15.960404,53.154987,251.32028,55.280434,157.9584
546.41797,-16.140812,1022.4168,75.222206,49.626408,-15.960404,53.154987,245.15022,55.280434,136.20784
