Cell 3,Cell 19,Cell 29,Cell 46,Cell 51,Cell 60,Cell 61,Cell 62,Cell 64,Cell 67,Cell 68,Cell 70,Cell 76,Cell 77,Cell 86
2231.8289,1116.3423,1272.7253,478.50882,10.73743,1264.53,547.18243,141.9311,425.70663,464.4434,29.054321,50.176365,-37.040894,495.92767,36.80399
2122.5981,1136.806,1364.4008,444.69656,10.73743,1134.3861,522.4463,123.3617,406.55313,439.4944,29.054321,50.176365,-37.040894,470.3347,36.80399
2018.8859,1060.3218,1262.4629,413.6634,10.73743,1012.50323,499.02505,105.67409,388.37518,415.88293,29.054321,71.36011,-37.040894,446.04175,36.80399
1920.4132,1177.2888,1167.7059,385.1809,10.73743,898.3566,476.84885,88.82638,371.12314,393.53735,29.054321,86.20355,-37.040894,422.98285,36.80399
1826.9155,1098.0459,1079.624,359.03946,10.73743,791.4554,455.85147,72.77866,354.74982,372.38977,29.054321,84.30611,-37.040894,401.09528,36.80399
1738.1415,1024.203,997.74677,335.04663,10.73743,691.33966,435.97025,57.493,339.21045,352.37598,29.054321,82.5086,-37.040894,380.31952,36.80399
1653.8524,955.39197,921.6373,313.02582,10.73743,597.5787,417.14587,42.933147,324.46255,333.43515,29.054321,80.805756,-37.040894,360.59912,36.80399
1573.8218,891.26996,955.6204,292.81497,10.73743,509.7691,399.32214,274.55304,310.46585,315.5098,29.054321,79.1926,-37.040894,341.88046,36.80399
1497.8344,831.51746,882.4785,274.2653,10.73743,427.5331,382.4459,249.68605,297.18207,298.54544,29.054321,77.6644,-37.040894,324.11267,36.80399
1425.6859,775.8367,814.48895,257.24026,10.73743,350.51706,366.46674,225.9999,284.57486,282.4906,29.054321,76.21669,-37.040894,307.24744,36.80399
1357.1825,723.9502,768.8935,241.61456,10.73743,278.38943,351.33698,203.43846,272.6098,267.29648,29.054321,74.84522,-37.040894,291.23892,36.80399
1292.1399,831.4649,708.9053,227.27315,10.73743,788.28143,337.01147,181.94838,261.25418,252.91696,29.054321,73.54599,-37.040894,276.04358,36.80399
1230.3834,871.3655,653.1428,214.1105,10.73743,688.3671,323.4475,161.47874,250.47693,239.30836,29.054321,72.31518,-37.040894,261.62015,36.80399
1171.747,812.9693,601.3085,236.26685,10.73743,594.79486,310.60455,141.98112,240.24861,226.42935,29.054321,71.14919,-37.040894,247.92937,36.80399
1116.0729,792.3381,553.12555,222.36499,10.73743,507.16205,298.44427,123.40935,230.54128,214.24081,29.054321,70.04462,-37.040894,234.93405,36.80399
1063.2115,834.22174,508.3368,209.60574,10.73743,425.0916,286.93045,164.5482,221.32837,202.70573,29.054321,68.998215,-37.040894,222.59886,36.80399
1013.02075,825.8906,466.70312,197.89522,10.73743,348.23053,276.02863,144.90483,212.58472,191.78908,29.054321,68.00693,-37.040894,210.89027,36.80399
965.36566,770.59326,428.00226,187.1472,10.73743,276.2481,265.70633,126.19422,204.28642,181.45769,29.054321,67.06784,-37.040894,199.77644,36.80399
920.1182,719.0641,392.02762,177.2826,10.73743,208.83473,255.93274,108.37209,196.4108,171.68019,29.054321,66.178215,-37.040894,189.22717,36.80399
877.15674,671.04626,358.58716,168.22878,10.73743,145.70036,246.6787,91.396255,188.93631,162.42688,29.054321,65.33545,-37.040894,179.21378,36.80399
836.3657,626.30054,385.533,159.91911,10.73743,86.57341,237.91656,75.22651,181.84253,153.66966,29.054321,64.53706,-37.040894,169.70903,36.80399
797.6355,584.60394,352.55002,152.29243,10.73743,31.199533,229.62021,59.8246,175.11006,145.38194,29.054321,63.780727,-37.040894,160.6871,36.80399
760.862,545.7487,321.8905,145.2926,10.73743,-20.659603,221.76488,45.15404,168.7205,137.53854,29.054321,63.064228,-37.040894,152.12347,36.80399
725.9463,509.54126,293.39075,138.8681,10.73743,-69.226974,214.3271,31.180134,162.6564,130.11565,29.054321,62.38546,-37.040894,143.99484,36.80399
692.7946,475.8011,266.89862,132.97166,10.73743,-114.7116,207.2847,17.86977,156.90117,123.09071,29.054321,61.742447,-37.040894,136.27913,36.80399
661.3178,444.3601,242.27269,127.55987,10.73743,-157.30916,200.61667,5.191454,151.43907,116.4424,29.054321,61.133293,-37.040894,128.95535,36.80399
631.4312,415.0616,219.38147,122.592865,10.73743,-197.2028,194.30309,-6.8848467,146.25517,110.15051,29.054321,60.556225,-37.040894,122.00361,36.80399
603.0545,387.7596,198.10283,118.03412,10.73743,-234.56425,188.32512,-18.387676,141.33533,104.19595,29.054321,60.00955,-37.040894,115.40499,36.80399
576.11145,362.31805,178.3231,113.85006,10.73743,-269.55423,182.66492,-29.344307,136.66606,98.56063,29.054321,59.491665,-37.040894,109.14157,36.80399
550.5296,338.61017,159.93672,110.009895,10.73743,-302.32324,177.3056,-39.78067,132.23462,93.22743,29.054321,59.001053,-37.040894,103.19631,36.80399
526.2402,396.6822,142.84555,106.48537,10.73743,-333.0123,172.23119,-49.72145,128.0289,88.18016,29.054321,58.536285,-37.040894,97.55306,36.80399
503.1779,370.63263,126.95835,103.250534,10.73743,-361.75336,167.42648,-59.190178,124.03739,83.40348,29.054321,58.095993,-37.040894,92.19647,36.80399
481.28073,346.3582,398.11588,100.28158,10.73743,-388.6701,162.87721,-68.20928,120.24918,78.88289,29.054321,57.67889,-37.040894,87.111984,36.80399
460.48984,323.73788,364.24652,97.55663,10.73743,-413.8783,158.56976,-76.800125,116.65393,74.60466,29.054321,57.283752,-37.040894,82.285774,36.80399
440.74933,302.659,332.76306,95.05567,10.73743,297.15094,154.49129,-53.923985,113.24179,70.55579,29.054321,56.909428,-37.040894,77.70472,36.80399
422.00613,326.08893,303.4974,92.76026,10.73743,228.41074,150.62961,-63.193184,110.00345,66.724,29.054321,56.554817,-37.040894,73.35638,36.80399
404.20987,304.84982,276.2933,90.65351,100.52781,164.03384,146.9732,-72.0222,106.93005,63.097633,29.054321,56.218884,-37.040894,69.22891,36.80399
387.31268,285.05807,251.00558,165.91011,90.00553,103.743195,143.51117,-80.43198,104.0132,59.665688,29.054321,55.900642,-37.040894,65.31112,36.80399
371.26917,266.61496,227.4992,197.2434,80.71635,47.279438,140.23317,8.233116,101.24491,56.417736,29.054321,55.599163,-37.040894,61.592335,36.80399
356.0362,249.42865,205.64871,186.54897,72.515724,-5.600367,137.12943,-3.987608,98.61762,53.343914,29.054321,55.31356,-37.040894,58.062458,36.80399
341.5728,233.41347,185.33743,176.73352,355.89655,-55.12359,134.19066,305.5336,96.12415,50.434887,29.054321,55.043,-37.040894,54.711887,36.80399
327.84015,218.48961,166.45695,167.72482,315.44836,-101.50341,131.40811,279.1955,93.75769,47.68182,29.054321,54.78669,-37.040894,51.531517,36.80399
314.80127,204.58272,148.9065,159.45659,279.7402,-144.93935,128.77347,254.10805,91.51176,45.07635,29.054321,54.543877,-37.040894,48.512703,36.80399
302.42114,191.62347,207.42557,151.86792,248.21658,137.27,126.27889,230.21188,89.38021,42.610565,29.054321,54.31385,-37.040894,45.647236,36.80399
290.66644,216.51807,186.9891,144.90298,220.3871,78.678154,123.916916,207.45044,87.35725,40.276978,29.054321,54.095943,-37.040894,42.927326,36.80399
279.50565,231.69548,173.72635,138.51051,195.81888,23.80533,121.6805,185.76985,85.43732,38.068497,29.054321,53.88951,-37.040894,40.34558,36.80399
268.9087,216.8887,155.66379,132.64345,174.12973,-27.584383,119.855644,171.55118,83.61518,35.97842,29.054321,53.69395,-37.040894,37.89498,36.80399
258.8471,280.2472,138.87364,127.25864,154.98227,-75.71227,117.835106,155.91396,81.88584,34.000397,29.054321,53.50869,-37.040894,35.568867,36.80399
249.29384,262.13193,123.266235,122.31639,138.07864,-120.78527,115.92198,136.6806,80.2446,32.128418,29.054321,53.333187,-37.040894,33.360912,36.80399
240.22322,245.25113,108.75826,117.78036,123.15592,-162.99725,114.11055,118.36051,78.68694,30.356802,29.054321,53.166924,-37.040894,31.26512,36.80399
231.61086,229.52061,95.27228,113.61717,109.981926,-202.52992,112.39541,100.91038,77.208626,28.680166,29.054321,53.009422,-37.040894,29.275785,36.80399
223.43361,278.4811,82.736305,109.79614,98.35177,224.96683,110.77144,257.87024,75.80561,27.093418,29.054321,52.860214,-37.040894,27.387503,36.80399
215.66946,260.48618,71.08341,106.289185,88.084496,160.80856,109.2338,233.79546,74.47405,25.59174,29.054321,52.718864,-37.040894,25.59514,36.80399
208.29759,291.4618,75.80165,103.07047,79.020424,100.7226,107.7779,210.86383,73.21032,24.170568,29.054321,52.584957,-37.040894,23.893826,36.80399
201.29817,272.58234,106.42353,100.1163,71.01855,44.45053,106.39939,189.02116,72.01095,22.82559,29.054321,52.458103,-37.040894,22.278933,36.80399
194.65234,254.98938,93.10201,97.40495,63.954384,-8.249654,105.09415,168.21567,70.87267,21.55272,29.054321,52.337933,-37.040894,20.746073,36.80399
188.34229,238.59526,80.71892,94.91645,57.71805,-57.604748,103.8583,148.39813,69.79237,20.34809,29.054321,52.224087,-37.040894,19.291079,36.80399
182.35101,223.3183,127.192345,92.632484,52.21253,-103.82709,102.68815,129.52165,68.7671,19.208042,29.054321,52.11624,-37.040894,17.909994,36.80399
176.66243,209.08237,112.40781,90.53624,47.352184,-147.11546,101.58019,111.54152,67.794044,18.129116,29.054321,52.014072,-37.040894,16.599066,36.80399
171.26125,195.81653,98.664734,88.6123,43.06141,-187.6562,100.531136,94.41517,66.87055,17.108034,29.054321,51.917286,-37.040894,15.354728,36.80399
166.13292,183.45467,85.8898,86.84649,39.273457,-225.62363,99.53784,78.10206,65.994095,16.141695,29.054321,51.825596,-37.040894,14.1736,36.80399
161.2637,171.93518,136.0987,85.22581,35.929405,279.49884,98.59735,62.563602,65.162285,15.227163,29.054321,51.73874,-37.040894,13.05247,36.80399
156.64047,161.20067,120.68676,83.738335,32.97723,211.87918,97.706856,47.762997,64.37283,14.361662,29.054321,51.656452,-37.040894,11.988293,36.80399
152.25082,151.19763,106.3605,82.37312,30.371017,148.55159,96.86369,33.665176,63.6236,13.542562,29.054321,51.5785,-37.040894,10.978169,36.80399
148.08293,141.87627,93.04342,81.120125,28.070215,89.243645,96.06535,57.040665,62.912525,12.767375,29.054321,51.504654,-37.040894,10.01936,36.80399
144.12563,133.19008,98.23649,79.97011,26.039038,33.70027,95.30945,112.0125,62.23767,54.68539,29.054321,51.434696,-37.040894,9.109255,36.80399
140.36823,125.09581,85.49171,78.91461,24.245888,-18.317549,94.59373,94.86379,61.597187,51.70444,29.054321,51.368423,-37.040894,8.24538,36.80399
136.80067,117.55311,73.64471,77.94588,22.66287,-67.033646,93.91605,78.52939,60.989326,48.88331,29.054321,51.30564,-37.040894,7.425388,36.80399
133.41335,110.52439,62.63225,77.056755,85.43322,-112.65749,93.2744,62.97062,60.412426,66.226654,29.054321,51.246166,-37.040894,6.6470494,36.80399
130.19716,103.97463,52.39556,76.24072,76.67985,-155.38539,92.666855,204.52043,59.86491,62.626953,29.054321,51.189823,-37.040894,5.9082484,36.80399
127.14345,97.8712,42.879967,75.49176,68.95225,-195.4012,92.091606,182.97896,59.345284,59.22024,29.054321,51.136448,-37.040894,5.2069774,36.80399
124.244026,92.18368,34.03469,74.804344,62.13023,-232.877,91.54694,162.46039,58.85212,55.99617,29.054321,51.085884,-37.040894,4.541329,36.80399
121.49107,86.88372,25.812504,74.17344,56.107662,-267.97406,91.03123,142.91614,58.38408,52.94495,29.054321,51.03798,-37.040894,3.909493,36.80399
118.87721,81.94492,18.169508,73.59438,50.79086,-300.84338,90.54292,124.29997,57.939873,50.057312,29.054321,50.992603,-37.040894,3.309753,36.80399
116.39541,77.34268,11.064917,73.06293,46.09712,-331.62634,90.08058,106.56781,57.518295,47.324486,29.054321,50.94961,-37.040894,2.740478,36.80399
114.03899,73.05404,4.460797,72.57515,41.95342,-360.45538,89.642815,89.67762,57.11819,44.738174,29.054321,50.90889,-37.040894,2.2001214,36.80399
111.80161,227.38365,147.33754,72.127464,38.29531,-387.45453,89.22832,73.58951,56.738464,42.29052,29.054321,50.870308,-37.040894,1.6872137,36.80399
109.67727,212.8707,131.1339,71.716576,35.065884,-412.73993,88.835846,58.265305,56.37808,39.97409,29.054321,50.83376,-37.040894,1.2003597,36.80399
107.660255,199.3467,143.70612,71.33946,32.214905,-436.42035,88.46425,43.668774,56.03605,37.78185,29.054321,50.799137,-37.040894,0.7382371,36.80399
105.74514,186.74428,127.758286,70.99334,29.698025,-458.59766,88.1124,29.765396,55.71144,35.707138,29.054321,50.76634,-37.040894,0.2995887,36.80399
103.92679,175.00063,112.93389,70.67567,27.47609,-479.36728,87.77926,16.5222,55.403366,33.743656,29.054321,50.735268,-6.8112183,-0.11677747,36.80399
102.200294,164.05724,99.15377,70.38411,25.514536,86.25977,87.46382,3.9078617,55.110985,31.88544,29.054321,50.70583,-8.355457,-0.51199335,36.80399
100.56102,153.85956,86.34436,70.11651,72.352196,30.905754,87.16515,21.235132,54.833492,30.12685,29.054321,50.677944,-9.820812,-0.88713324,36.80399
99.00457,144.3568,74.43731,69.8709,86.6916,-20.934677,86.88236,8.396983,54.570137,28.462542,29.054321,50.651527,-11.211311,-1.2432171,36.80399
97.52676,135.50159,63.369026,69.64549,77.790764,-69.48463,86.61461,-3.8315175,54.320194,26.88746,29.054321,50.626503,-12.530779,-1.5812128,36.80399
96.123604,127.24979,61.32259,69.43859,69.932976,-114.95287,86.361084,129.5818,54.08298,75.774254,29.054321,50.602795,-13.782843,-1.9020386,36.80399
94.791336,119.5603,51.178158,69.24871,62.996033,-157.53511,86.121025,111.59879,53.857853,71.66268,29.054321,50.580338,-14.970947,-2.2065678,36.80399
93.526375,112.394806,41.74832,69.07443,56.872,-197.41443,85.893745,94.469734,53.644188,67.771545,29.054321,50.55906,-16.098358,-2.4956272,36.80399
92.325325,105.71759,32.982758,68.91448,51.46563,-234.76244,85.678535,78.154076,53.441406,64.08902,29.054321,50.538906,-17.168177,-2.7700036,36.80399
91.184944,99.495384,24.834673,68.76767,46.692814,-269.73987,85.47477,62.613144,53.248955,60.60392,29.054321,50.51981,-18.183346,-3.0304425,36.80399
90.10219,93.69718,175.56656,68.632935,42.47931,-302.4971,85.28183,83.84664,53.066307,57.305668,29.054321,50.501724,-19.146656,-3.2776518,36.80399
89.07413,88.29409,157.37439,68.50927,38.75957,90.900635,85.09916,243.18748,52.89296,54.184242,29.054321,50.48459,-20.060757,-3.5123034,36.80399
88.09801,83.259186,140.4637,68.39577,35.475742,35.252056,84.92619,219.80988,52.728443,51.230164,29.054321,50.468353,-20.928164,-3.7350352,36.80399
87.1712,78.56738,124.744286,68.291595,32.576733,-16.864267,84.76241,197.5424,52.572304,48.43446,29.054321,50.452976,-21.751259,-3.9464529,36.80399
86.29123,74.19529,110.132195,68.195984,30.01745,-65.67258,84.60735,176.33228,52.424118,45.78864,29.054321,50.438408,-22.532307,-4.147131,36.80399
85.45571,70.121124,96.54943,68.10824,27.758081,-111.38274,84.460526,156.12936,52.28348,43.284668,29.054321,50.424606,-23.273457,-4.3376155,36.80399
84.6624,66.324585,83.92349,68.02769,163.39427,-154.19156,84.3215,136.88574,52.15001,40.91494,29.054321,50.411533,-23.976748,-4.5184236,36.80399
83.909164,62.78677,72.18695,67.95377,145.50487,-194.28313,84.18987,118.55588,52.023335,38.672256,29.054321,50.399147,-24.644112,-4.690047,36.80399
83.19399,59.490025,61.2772,67.885925,145.84659,-231.82991,84.06525,238.54303,51.90311,36.54981,29.054321,50.387413,-25.277382,-4.8529525,36.80399
82.51494,56.41793,51.135952,67.82366,130.01355,-266.9934,83.94723,215.38602,51.78901,34.54115,29.054321,50.376297,114.90431,-5.0075827,36.80399
81.87019,53.555176,41.709087,67.76651,116.03594,-299.92496,83.8355,193.32855,51.68072,32.64018,29.054321,50.36577,107.14241,-5.1543584,36.80399
81.258026,50.887505,169.59576,67.71406,103.69631,-330.7662,83.729706,172.31856,51.57795,62.64647,29.054321,50.355793,99.77701,-5.2936783,36.80399
80.67679,48.40162,151.82419,67.66592,92.80274,-359.64984,83.62953,152.3062,51.48041,59.23871,29.054321,50.346344,92.78786,-5.425921,36.80399
80.124916,46.085133,135.30449,67.621735,83.18575,-386.7001,83.53468,139.81363,51.38784,56.013645,29.054321,50.33739,86.15574,-5.5514455,36.80399
79.60092,43.9265,119.94849,67.58118,74.69575,330.7915,83.44488,121.34481,51.299984,52.961487,29.054321,50.32891,79.86242,-5.670594,36.80399
79.1034,41.914955,105.67424,67.54396,67.20066,259.91605,83.359856,103.75295,51.216606,50.07296,29.054321,50.320877,73.89058,-5.7836905,36.80399
78.63102,40.04049,92.4055,67.5098,60.583904,193.53935,83.279335,309.8628,51.13747,47.339294,29.054321,50.313267,68.2238,-5.8910418,36.80399
78.182495,38.293755,80.07147,67.47845,54.742542,131.37587,83.2031,283.31906,51.06237,44.752186,29.054321,50.306053,62.846504,-5.99294,36.80399
77.75664,36.666054,68.60629,67.44967,49.585712,73.15817,83.13093,258.03583,50.991093,42.30378,29.054321,50.299225,57.743896,-6.089662,36.80399
77.352295,35.149265,156.424,67.42326,45.0332,18.63574,83.06259,233.95317,50.923443,39.986637,29.054321,50.292755,52.901955,-6.181471,36.80399
76.968376,33.73584,139.58028,67.399025,41.01418,-32.425896,82.99787,211.0141,50.85924,37.793724,29.054321,50.286625,48.30735,-6.2686157,36.80399
76.60386,32.418724,123.92309,67.37677,37.466137,-80.246475,82.93661,189.16425,50.798313,35.718376,29.054321,50.28082,43.947456,-6.351334,36.80399
76.25775,31.19137,109.36885,67.35635,34.33388,-125.03162,82.87859,168.35196,50.740482,33.75429,29.054321,50.275314,39.81028,-6.4298506,36.80399
75.92913,30.047647,95.83986,67.337616,31.568684,-166.97409,82.82366,148.52797,50.6856,31.895508,29.054321,50.270103,35.884445,-6.504379,36.80399
75.61712,28.981863,83.26389,67.32041,76.64483,-206.2543,82.77166,129.64531,50.633514,30.136377,29.054321,50.265167,32.159157,-6.575121,36.80399
75.32086,27.988705,71.57383,67.30463,68.92133,-243.04123,82.72241,111.659294,50.58408,28.471558,29.054321,50.26049,28.624168,-6.6422696,36.80399
75.03957,27.063225,60.70726,67.29014,62.10294,-277.4931,82.67579,94.52737,50.537163,26.895994,29.054321,50.25606,25.269764,-6.7060075,36.80399
74.7725,26.20081,50.606167,67.27683,56.08357,-309.7582,82.631645,78.20892,50.492638,25.4049,29.054321,50.25186,180.83604,-6.766507,36.80399
74.51892,25.397161,122.524605,67.26463,98.75425,-339.9753,82.589836,62.665398,50.45038,23.993746,29.054321,50.247887,169.70612,-6.823934,36.80399
74.278145,24.648277,108.06888,67.25343,88.43981,-368.2744,82.55026,47.85995,50.41027,22.658247,29.054321,50.244118,159.14474,-6.878444,36.80399
74.04954,23.950422,94.63146,67.24315,79.3341,-394.77725,82.51279,33.757534,50.372208,21.394348,29.054321,50.24055,149.12288,-6.9301844,36.80399
73.83248,23.300123,82.14063,67.23372,190.1221,-419.59784,82.4773,20.324747,50.336086,20.19821,29.054321,50.23717,139.61298,-6.9792967,36.80399
73.62639,22.69414,70.5297,67.22505,169.10054,-442.84296,82.4437,7.52986,50.3018,19.066198,29.054321,50.233967,331.01828,-7.025914,36.80399
73.43071,22.12945,59.73668,67.2171,150.54243,-66.13293,82.411896,-4.657477,50.26926,17.994877,29.054321,50.230934,312.2165,-7.0701637,36.80399
73.24492,21.60324,49.70395,67.20981,134.1591,477.87912,82.38177,-16.26608,50.23838,16.980991,29.054321,50.22806,294.37518,-7.112166,36.80399
73.06851,21.112885,40.377964,67.20311,119.6957,397.6674,82.35326,-27.323454,50.209072,16.021463,29.054321,50.225338,277.44528,-7.152034,36.80399
72.90102,20.655947,31.708935,67.19697,106.92721,322.5471,82.32625,-37.85576,50.181255,15.113377,29.054321,50.22276,261.38022,-7.189877,36.80399
72.74198,20.230145,23.650581,67.19133,95.65501,252.19492,82.30069,-47.887943,50.154858,14.253975,29.054321,50.220314,246.1358,-7.2257977,36.80399
72.59099,19.83336,16.159891,67.18615,85.70377,186.3083,82.276474,-57.443737,50.129803,13.440648,29.054321,50.218,231.67014,-7.259894,36.80399
72.44762,19.463614,9.19687,67.1814,160.95491,124.60376,82.253555,-66.545784,50.106026,12.670925,29.054321,50.21581,217.94342,-7.292258,36.80399
72.31149,19.119062,2.7243388,67.17703,143.35136,66.81593,82.23185,-75.2156,50.083458,11.942469,29.054321,50.21373,204.91791,-7.3229775,36.80399
72.18224,18.797989,-3.2922347,67.173035,127.81074,12.6961155,82.211296,-83.47375,50.062042,11.253067,29.054321,50.21176,297.42816,-7.352137,36.80399
72.059525,18.498795,-8.884986,67.16936,114.09127,-37.98853,82.19185,-91.33973,50.041714,10.600626,29.054321,50.209896,280.3423,-7.3798156,36.80399
71.943,18.21999,-14.083766,67.165985,101.97953,-85.456,82.17342,-98.832214,50.022423,9.983164,29.054321,50.208134,264.1292,-7.406088,36.80399
71.83237,17.960184,-18.916319,67.162895,91.28715,-129.91045,82.15598,-105.96891,50.004116,9.398805,29.054321,50.20646,248.74435,-7.4310255,36.80399
71.727325,17.71808,-23.408453,67.16006,81.847755,-171.54327,82.139465,73.60399,49.98674,8.845775,29.054321,50.204872,234.14542,-7.4546967,36.80399
71.627594,17.49248,-27.584139,67.15745,73.51455,-210.53345,82.123825,58.279133,49.97025,8.322393,29.054321,50.203373,220.29227,-7.477165,36.80399
71.53289,17.282246,-31.46568,67.15505,66.15789,-247.04878,82.10902,43.681957,49.954597,7.8270726,29.054321,50.20195,207.14677,-7.4984922,36.80399
71.44298,17.08634,-35.07379,67.152855,59.66333,-281.2463,82.095,29.777945,49.939743,7.3583055,29.054321,50.200603,194.67279,-7.518736,36.80399
71.35761,16.903786,-38.427734,67.15084,53.929848,-313.27316,82.081726,16.534174,49.925644,6.9146714,29.054321,50.199326,182.83603,-7.5379515,36.80399
