Cell 9,Cell 21,Cell 61,Cell 63,Cell 76
2231.01,-43.89595,1421.1644,318.15598,874.1726
2110.4087,-43.89595,1352.1841,306.01437,837.595
1996.3337,-43.89595,1286.5289,294.46942,966.0446
1888.4319,-43.89595,1224.0387,283.49176,914.6506
1786.369,-43.89595,1164.5608,273.05356,865.9214
1689.8293,-43.89595,1107.9501,263.1283,819.7187
1598.5138,-43.89595,1054.0682,253.69075,960.6784
1512.1398,-43.89595,1002.7839,244.71698,946.92365
1430.44,-43.89595,953.9716,236.18417,1556.6431
1353.1613,-43.89595,907.5124,228.07065,1474.6271
1280.0645,-43.89595,863.2927,220.35583,2493.7058
1210.9232,-43.89595,821.20465,213.02014,2454.9473
1145.5236,-43.89595,781.14545,206.0449,2326.355
1083.6631,-43.89595,743.0173,199.41241,2204.43
1025.1501,-43.89595,706.7271,193.10587,2983.4976
969.8036,-43.89595,672.1863,187.10922,2827.5002
917.4521,-43.89595,639.3105,181.40724,3382.9563
867.9336,-43.89595,608.0195,175.98546,3206.2473
821.0948,-43.89595,578.2369,170.83011,3794.2812
776.79065,-43.89595,549.88995,165.92809,3596.2456
734.88403,-43.89595,522.9095,161.26694,3831.7341
695.2452,-43.89595,497.22964,156.83484,3712.4775
657.75134,-43.89595,472.7877,152.62054,3655.8962
622.2865,-43.89595,449.52396,148.61334,4046.3335
588.74084,-43.89595,427.38165,144.80304,4115.6987
557.0105,-43.89595,406.3067,141.17998,3900.9978
526.9972,-43.89595,386.24768,137.73497,3697.429
498.60812,-43.89595,367.1556,134.45923,3504.415
471.75528,-43.89595,348.9839,131.34447,3321.4087
446.35556,-43.89595,331.6881,128.38277,3187.4753
422.33035,-43.89595,315.22607,125.5666,3020.902
399.60526,-43.89595,299.55762,122.88882,2862.9653
378.10992,-43.89595,284.64444,120.34262,2713.2175
357.7778,-43.89595,270.45016,117.92155,2571.2341
338.54596,-43.89595,256.94012,115.61944,2436.6123
320.35483,-43.89595,244.08134,113.43046,2308.9707
303.1481,-43.89595,231.8424,111.349045,2187.947
286.87253,-43.89595,220.19345,109.36991,2073.1985
271.4777,-43.89595,209.10603,107.48804,1964.3997
256.91595,-43.89595,198.55309,105.69863,1861.2418
243.14221,-43.89595,188.50885,103.99716,1763.4326
230.11383,-43.89595,178.94879,102.379295,1670.6947
217.79048,-43.89595,169.84958,100.840935,1582.7653
206.134,-43.89595,161.189,99.378174,1499.3948
195.10832,-43.89595,152.94589,97.98729,1420.347
184.67929,-43.89595,145.10016,96.66474,1345.3978
174.81462,-43.89595,137.63263,95.4072,1274.3347
165.48378,-43.89595,130.52507,94.21145,1206.9562
156.65787,-43.89595,123.76014,93.074455,1143.0712
148.30957,-43.89595,117.321304,91.99333,1082.4985
140.41304,-43.89595,111.19285,90.96534,1025.0665
132.94383,-43.89595,105.35982,89.987854,970.61237
125.87882,-43.89595,99.80797,89.05841,918.98157
119.19613,-43.89595,94.52374,88.17464,870.0278
112.87507,-43.89595,89.49425,87.33429,963.36633
106.896065,-43.89595,84.7072,86.53524,912.11127
101.240616,-43.89595,80.15091,85.77545,863.51373
95.89121,-43.89595,75.814255,85.053,817.4359
90.83129,-43.89595,71.68665,84.36606,773.7472
86.04518,-43.89595,67.75802,83.71285,732.32367
81.518074,-43.89595,64.01877,83.09176,693.048
77.23595,-43.89595,60.459774,82.50119,655.80865
73.18555,-43.89595,57.07234,81.93964,620.5002
69.35433,-43.89595,53.84819,81.405685,587.0224
65.730446,-43.89595,50.77946,80.897964,555.28046
62.30267,-43.89595,47.85866,80.415184,525.1843
59.060383,-43.89595,45.07866,79.95615,496.64862
55.993553,-43.89595,42.432667,79.519646,566.0658
53.09268,-43.89595,39.914227,79.10461,535.4104
50.34879,-43.89595,37.517185,78.70996,506.34454
47.753384,-43.89595,35.235695,78.33472,478.78564
45.298428,-43.89595,33.064182,77.977905,484.86682
42.976322,-43.89595,30.99735,77.63862,458.42154
40.779877,-43.89595,29.03015,77.31602,433.3474
38.70229,-43.89595,27.157778,77.00926,409.57336
36.737133,-43.89595,25.375666,76.71758,387.03198
34.87832,-43.89595,23.679457,76.44023,365.65936
33.120094,-43.89595,22.065016,76.17651,471.8692
31.457018,-43.89595,20.528399,75.92576,446.09784
29.883936,-43.89595,19.065855,75.68732,421.6627
28.39598,-43.89595,17.673813,75.460594,505.94745
26.988546,-43.89595,16.348875,75.24502,540.1975
25.657274,-43.89595,15.087806,75.04003,510.88342
24.398045,8.066074,13.8875265,74.845116,634.1743
23.206957,5.8409576,12.745107,74.65978,599.98755
22.080324,3.7111244,11.657756,74.48356,724.15027
21.01466,1.672493,10.622821,74.31599,685.29834
20.006664,97.615814,9.637776,74.156654,648.4608
19.053215,91.556,8.700215,74.00515,626.578
18.151361,85.75568,7.807849,73.86109,592.7851
17.298313,80.203735,6.9584994,73.72411,603.45294
16.491426,74.88954,6.150093,73.593864,647.45734
15.728205,69.80291,5.380657,73.47002,612.58185
15.006284,64.9341,4.6483097,73.35226,579.51465
14.323429,60.273773,3.9512668,73.24028,548.1619
13.677527,55.81302,3.2878242,73.133804,518.4348
13.066579,51.54328,2.656363,73.03256,490.24915
12.488691,98.96498,2.0553415,72.936295,463.52478
11.942076,92.8474,1.4832925,72.844765,438.18607
11.42504,86.991776,0.938819,72.75772,414.16113
10.935984,81.3869,0.42059183,72.674965,391.3819
10.4733925,76.02204,-0.07265411,72.59627,369.78372
10.035834,70.88691,-0.5421231,72.52145,388.5971
9.621954,65.97168,-0.9889613,72.450294,367.14334
9.230472,61.26693,-1.4142586,72.38264,346.80194
8.860174,56.76364,-1.8190554,72.31831,327.5152
8.509914,52.453194,-2.2043388,72.25714,309.2285
8.17861,48.32733,-2.57105,72.19898,291.88992
7.865234,44.378143,-2.9200826,72.14368,544.52185
7.568815,40.59807,-3.252291,72.09109,514.9835
7.288438,36.979866,-3.5684853,72.041084,486.97675
7.023233,148.54839,-3.8694372,71.993546,460.42206
6.77238,140.30754,-4.155882,71.94833,435.24423
6.5351014,132.41957,-4.4285173,71.90535,449.71613
6.3106627,124.869385,-4.6880116,71.86447,545.92523
