Cell 0,Cell 4,Cell 26,Cell 70
1112.8934,568.8735,1062.0394,10.0987
1020.26196,539.9094,1016.4116,10.0987
933.30786,512.53033,972.9288,10.0987
851.6832,486.64944,931.49005,10.0987
1243.812,462.18478,891.9993,10.0987
1143.1565,439.05884,854.36505,10.0987
1048.6702,417.19836,818.49994,10.0987
959.975,396.53412,784.3208,10.0987
1170.7448,377.00064,751.7484,10.0987
1074.5675,358.53604,720.7072,10.0987
984.28503,341.08185,691.12524,10.0987
899.536,324.58276,662.9339,10.0987
819.9813,308.98654,636.0678,10.0987
745.3026,294.24374,610.46466,10.0987
675.2009,280.30768,586.0651,10.0987
722.26965,267.13422,562.81256,10.0987
653.5797,254.68164,540.6531,10.0987
589.0998,242.91046,519.5353,10.0987
528.5719,231.78342,499.41022,10.0987
471.75378,221.26524,480.23123,10.0987
418.41803,211.32263,461.95383,10.0987
368.35126,201.9241,444.53564,10.0987
321.3531,193.03989,427.93628,10.0987
277.23547,184.6418,412.11722,10.0987
235.82185,176.70325,397.0418,10.0987
196.94647,169.19911,382.67508,10.0987
160.4538,162.10562,368.98373,10.0987
365.19818,155.40028,355.936,10.0987
571.74963,149.06189,343.50165,10.0987
512.2851,143.07031,331.6518,10.0987
588.3858,137.4066,320.359,10.0987
527.9016,132.05283,309.59708,10.0987
471.12454,126.99201,299.34106,10.0987
417.82742,122.20813,289.56717,10.0987
367.79684,117.68603,280.25275,10.0987
320.8326,113.41138,271.3762,10.0987
276.74695,109.370636,262.9169,10.0987
235.36328,105.55101,254.85529,10.0987
196.51605,101.9404,247.17264,10.0987
160.04974,98.52737,239.85115,10.0987
125.81848,95.30109,232.87383,10.0987
93.68528,92.251366,226.22452,10.0987
63.521523,89.36852,219.88779,10.0987
35.206516,86.64343,213.84892,10.0987
8.626956,84.06747,208.09395,10.0987
-16.323524,81.63245,202.60951,10.0987
247.71686,79.33068,197.3829,10.0987
208.11243,77.15487,192.40198,10.0987
170.93536,75.09812,187.65521,10.0987
136.03691,73.15392,183.13158,10.0987
103.27745,71.31611,211.83852,10.0987
72.52578,69.578865,206.17804,10.0987
43.658916,67.93668,200.78368,10.0987
16.561306,66.38436,195.64288,10.0987
286.84286,64.916985,190.74377,10.0987
244.84044,63.529907,186.07497,10.0987
205.41237,62.218735,181.62561,10.0987
168.40079,60.979305,177.38544,10.0987
361.33423,59.8077,244.069,10.0987
314.7662,58.700207,236.89342,10.0987
271.0523,57.653313,230.05513,10.0987
230.01767,56.663708,223.53833,10.0987
191.49808,55.728256,217.32787,10.0987
155.33928,54.843994,259.8868,10.0987
189.86662,54.008118,251.96764,10.0987
262.75494,53.217983,244.42073,10.0987
222.22882,52.471085,237.22862,10.0987
184.18655,51.765057,230.37457,10.0987
148.47595,51.097664,223.84276,10.0987
114.954025,50.46679,217.61798,10.0987
209.0391,49.870438,211.68582,10.0987
171.80528,49.30672,206.03253,10.0987
136.85353,48.77385,200.64502,10.0987
336.55243,48.270138,195.51074,10.0987
354.31906,47.79399,190.61783,10.0987
308.1809,47.343895,185.95494,10.0987
497.37875,46.918434,181.51126,10.0987
442.47238,46.51625,279.58557,10.0987
390.93134,46.136078,270.74036,10.0987
342.5493,45.776707,262.31094,10.0987
297.13254,45.437,254.27783,10.0987
254.4994,45.115887,246.62231,10.0987
214.47926,44.81234,239.3267,10.0987
176.91196,44.525406,232.37404,10.0987
141.64722,44.254173,225.7482,10.0987
108.54384,43.997784,219.43387,10.0987
77.469406,43.75542,213.41634,10.0987
48.29957,43.52632,207.68172,10.0987
207.77547,43.30976,202.21666,10.0987
170.61906,43.10505,197.00851,10.0987
135.74004,42.91154,192.0452,10.0987
102.99876,42.72862,187.3152,10.0987
72.26416,42.555706,182.80754,10.0987
43.41332,42.392258,178.51183,10.0987
16.330778,42.237755,174.418,10.0987
-9.091888,42.0917,170.51666,10.0987
-32.956387,41.953644,166.79869,10.0987
211.2465,41.82314,163.25551,10.0987
194.32948,41.69978,159.87889,10.0987
171.57053,41.583168,156.66103,10.0987
419.6799,41.472935,153.59442,10.0987
369.53586,41.368736,150.67195,10.0987
322.46506,41.27024,147.88689,10.0987
278.27933,41.17713,145.23273,10.0987
356.80014,41.08912,142.70337,10.0987
310.51,41.005924,140.2929,10.0987
267.05698,40.92728,137.99573,10.0987
226.2672,40.85294,135.80656,10.0987
187.97748,40.78267,133.7203,10.0987
152.03455,40.71624,131.73212,10.0987
118.294525,40.65345,129.83739,10.0987
432.5447,40.594093,128.03174,10.0987
381.61203,40.537987,126.31097,10.0987
563.49255,40.484947,124.67109,10.0987
504.5341,40.434814,123.10829,10.0987
581.6012,40.38742,121.618965,10.0987
521.53284,40.34262,120.19966,10.0987
465.1461,40.300274,118.84707,10.0987
412.2154,40.260246,117.55806,10.0987
362.52884,40.222404,116.32965,10.0987
315.8875,40.186638,115.15898,10.0987
272.10492,40.152824,114.04335,10.0987
231.0057,40.120865,112.98016,10.0987
192.42557,40.090652,111.96695,10.0987
156.20995,40.06209,111.00137,10.0987
122.21406,40.035095,110.081184,10.0987
90.30175,40.00958,109.204254,10.0987
60.345394,39.985455,108.36855,10.0987
32.22508,39.962654,107.572136,10.0987
5.8282533,39.941097,106.81315,10.0987
-18.950722,39.920723,106.08985,10.0987
-42.210953,39.901463,105.40055,10.0987
-64.045525,39.883255,104.743645,10.0987
-84.5419,39.866047,104.11764,10.0987
-103.78202,39.849777,103.52104,10.0987
-121.8429,39.8344,102.9525,10.0987
-138.7968,39.819862,102.41068,10.0987
-154.71162,39.80612,101.89434,10.0987
-169.65102,39.793133,101.40227,10.0987
-183.67476,39.780853,100.93333,10.0987
-196.83899,39.769245,100.48643,10.0987
-209.19638,39.758274,100.06054,10.0987
-220.79637,39.747906,99.65468,10.0987
-231.6854,39.738102,99.26789,10.0987
-241.90703,39.728832,98.89928,10.0987
-251.50218,39.720074,98.548004,10.0987
-47.17701,39.711792,98.213234,10.0987
-68.70723,39.703964,97.89422,10.0987
-27.007559,39.696568,97.59019,10.0987
-24.615107,39.68957,97.300446,10.0987
132.92694,39.68296,97.02433,10.0987
100.35806,39.676712,96.76119,10.0987
69.78534,39.670803,96.51043,10.0987
41.086433,39.66522,96.27145,10.0987
135.40433,39.65994,96.0437,10.0987
102.68357,39.65495,95.82666,10.0987
71.96828,39.650234,95.61983,10.0987
43.135593,39.645775,95.422714,10.0987
16.07008,39.64156,95.23487,10.0987
-9.33662,39.637573,95.055855,10.0987
-33.186085,39.63381,94.88525,10.0987
-55.57385,39.63025,94.72267,10.0987
-76.58943,39.626884,94.567726,10.0987
-96.31699,39.623703,94.42008,10.0987
84.55434,39.620693,94.279366,10.0987
54.950245,39.61785,94.14526,10.0987
50.75606,39.615166,94.01747,10.0987
23.223478,39.612625,93.89568,10.0987
83.27809,39.610226,93.77962,10.0987
