Cell 2,Cell 4,Cell 9,Cell 15,Cell 20,Cell 28,Cell 31,Cell 39,Cell 40,Cell 41,Cell 58,Cell 59
240.5796,110.4251,22.168238,52.88678,840.3009,1825.4153,29.340137,785.0118,36.726776,707.8567,59.243187,36.924007
232.61324,105.13534,22.168238,78.57798,772.3055,1733.5708,29.340137,730.7335,36.726776,684.79315,57.341824,36.924007
220.86838,100.20684,22.168238,72.83854,709.8023,1645.9009,29.340137,679.6323,36.726776,644.0781,55.567696,36.924007
209.73567,95.61494,32.92975,67.51023,652.3478,1562.2158,29.340137,631.5223,36.726776,605.7522,53.91229,36.924007
199.18321,91.336624,32.36856,62.563602,599.53406,1482.3346,29.340137,586.2283,36.726776,569.6751,52.36766,36.924007
189.18077,87.35051,31.836632,57.97132,550.9863,1406.0842,29.340137,642.78723,36.726776,535.71497,50.92639,36.924007
179.69966,83.63661,31.332445,53.70799,506.36,1333.2997,29.340137,616.3958,36.726776,503.7475,77.8414,36.924007
170.71272,80.17636,30.85455,49.750053,465.3383,1263.8234,29.340137,571.98724,51.43776,473.65582,74.69548,36.924007
198.18674,76.952415,30.401577,219.21237,427.63007,1197.505,29.340137,530.17804,50.58068,445.32986,71.76007,36.924007
188.23624,73.948654,29.972225,203.39893,401.85663,1134.2009,57.33728,490.8161,49.773537,418.666,69.0211,36.924007
183.36534,71.15003,29.565262,188.71823,369.27606,1073.7743,55.220444,453.75818,49.013416,393.56668,66.465416,36.924007
189.34863,68.54254,182.37177,175.08916,339.32718,1016.0943,53.26366,720.35077,48.29758,369.94016,64.08075,36.924007
179.85878,66.11312,174.01747,162.43637,311.79736,986.0473,51.454826,669.85736,47.62345,360.9754,88.91135,36.924007
170.86356,63.849625,166.09885,150.68994,328.24316,932.3546,49.78276,622.3195,46.9886,339.26126,85.024635,36.924007
162.33717,61.74071,158.59315,139.78494,301.60867,881.10254,48.237114,577.5642,46.39073,318.82123,81.398026,36.924007
154.25519,59.775818,151.47887,129.66109,277.12555,832.17993,46.808334,570.99255,45.8277,299.58057,78.01409,36.924007
146.59445,57.94512,145.0517,120.26243,254.62004,885.707,45.48758,529.2416,45.29747,281.4689,74.85661,36.924007
139.33301,56.239452,138.64357,111.537025,233.93237,836.57513,44.26669,489.93445,44.798134,264.42,71.910416,36.924007
132.45003,54.65027,132.56963,164.29845,214.91573,815.08844,43.138107,452.9281,44.327885,248.37149,69.161385,36.924007
125.925804,53.169617,126.81241,152.41862,197.43512,769.1665,42.094856,418.0879,43.885036,233.26466,66.59631,36.924007
119.74164,51.790085,121.35542,141.38979,181.3665,725.3318,41.130486,385.287,43.467987,219.04427,64.20289,36.924007
113.8798,50.504765,116.183014,131.15097,166.59581,683.4895,40.23903,396.94092,43.075237,205.6583,61.969627,36.924007
108.32348,49.307224,111.280334,121.6456,175.18716,643.5491,39.414978,365.37784,42.705368,193.05777,59.88582,36.924007
128.67653,48.19147,106.633316,112.82111,160.9156,605.42395,38.65323,537.061,42.357048,181.19662,57.94145,36.924007
186.76141,47.15192,102.22863,104.628746,147.79681,569.03186,37.949074,497.29614,42.029022,170.03146,56.127193,36.924007
177.40642,46.18336,98.05364,97.023224,291.54028,534.2938,37.29816,459.8589,41.720108,308.62,54.434345,36.924007
168.53902,45.280952,94.096375,89.9625,267.87042,501.1348,36.696465,424.61298,41.42919,289.97794,52.85478,36.924007
160.13379,44.44017,90.34547,83.40756,246.11244,527.4513,36.14026,511.01404,41.15522,272.42975,51.380913,36.924007
152.16666,43.65681,86.79016,77.32217,226.11195,494.60324,35.62611,472.77386,40.897217,255.91125,50.00568,36.924007
144.61478,42.92695,83.42026,71.67268,207.72699,463.24826,35.150833,524.0066,40.65424,240.36201,48.722473,36.924007
137.45651,42.246933,80.22609,66.42789,190.82706,433.31845,34.711494,533.6688,99.42646,225.72516,47.52514,36.924007
130.67134,41.613358,77.198494,61.55879,175.29219,404.74905,34.30537,494.10254,95.7735,211.94716,46.40793,36.924007
124.23984,98.84701,74.32877,57.03848,188.53563,519.71466,33.929955,456.85223,92.333374,198.97763,45.365475,36.924007
137.32884,94.34797,71.60871,52.841972,173.18585,487.2183,33.582924,421.78235,89.093666,186.7691,44.392788,36.924007
198.36594,90.15619,69.03049,48.94607,159.07593,456.19894,33.26213,388.7652,86.04271,175.27696,43.485184,36.924007
188.4061,86.25069,66.586716,45.329243,146.10574,426.58957,32.96559,357.68066,83.16951,164.45917,42.638317,36.924007
178.96538,82.6119,64.270386,41.971497,134.18318,523.48865,32.691475,328.41562,80.4637,154.27611,41.84812,36.924007
170.01671,79.221634,62.074844,38.854275,123.22369,490.82077,32.438084,300.86356,77.915535,180.97159,41.11081,36.924007
161.53445,76.0629,59.99379,35.96035,113.149414,459.63773,32.20385,274.92422,75.51583,309.15042,40.422832,36.924007
153.49431,73.11989,58.021263,123.16547,103.88888,429.87204,31.98733,312.18817,73.255936,297.36423,43.422935,36.924007
145.87323,70.37785,56.151604,114.23211,95.376366,401.45926,31.787178,285.58597,71.1277,279.38263,42.580235,36.924007
138.64937,67.8231,54.37944,105.938675,87.55142,374.33792,31.60216,296.42752,69.12347,262.45615,41.793926,36.924007
131.80203,65.44282,52.69969,98.23932,80.35855,739.01013,31.43113,344.12042,67.236,246.52287,41.060238,36.924007
125.311584,63.2251,51.107536,91.091484,73.74666,696.54614,31.273033,315.6491,65.458496,231.52452,40.375645,36.924007
119.15943,61.158833,49.59841,84.45567,67.66884,656.0122,81.16834,288.84433,63.784554,217.40623,39.736866,36.924007
113.327934,61.599483,48.167984,140.10602,62.081955,617.3207,77.249664,376.33148,62.208138,204.11638,39.14083,36.924007
203.24797,59.644238,46.81215,129.95917,56.946342,580.3878,73.62727,345.97473,60.723564,191.60634,110.828285,36.924007
193.03366,57.82253,45.527016,146.44029,52.225555,545.1336,70.27877,317.3949,59.32548,207.36275,105.47493,36.924007
183.35175,56.125225,44.308907,135.83969,47.886086,511.4819,67.18344,290.4879,58.008854,194.66222,100.47981,36.924007
181.39716,54.543842,43.154312,125.99845,43.89713,479.3597,64.32214,265.1559,56.768936,182.70692,95.81896,36.924007
172.32175,53.070457,42.059933,116.86216,40.230377,448.6976,61.677193,241.30669,150.39998,171.45314,91.47001,36.924007
163.71936,51.697697,41.02262,216.88559,36.859802,419.42917,59.232224,218.85344,143.77725,160.8597,87.41208,36.924007
155.56534,50.41869,40.039406,201.23882,33.761482,391.49106,188.28677,197.71445,137.54036,150.88785,83.625694,36.924007
147.83632,49.227028,39.10746,186.71286,30.913425,364.82285,176.26898,177.8128,131.66684,141.50113,80.0927,36.924007
140.51015,48.116753,38.224113,173.22743,28.29542,449.06625,165.15984,159.07608,126.13553,132.66519,76.79612,36.924007
133.56581,47.082306,37.38683,160.70801,25.88888,419.78104,154.89066,161.98769,120.92647,124.34774,73.72014,36.924007
126.983444,46.1185,36.593212,149.08537,23.676725,391.82693,145.3979,338.33722,116.0209,116.51833,70.85,36.924007
120.74415,45.22052,35.840977,138.2953,21.643255,365.14346,136.6229,310.2044,111.40113,109.14834,68.171936,36.924007
114.830055,44.383865,35.12797,128.27815,19.774036,383.04337,128.51135,283.71832,107.050514,102.21079,65.67308,36.924007
109.22421,43.60435,34.45215,118.97857,18.055801,356.75912,121.01312,377.34912,102.95337,164.91782,63.34143,36.924007
103.91055,42.878075,33.811565,110.34513,116.50602,331.6696,114.08183,346.93283,99.09493,154.70786,61.16582,36.924007
98.87385,42.201397,33.20439,175.25377,106.97435,307.72043,107.67459,318.2969,95.46129,145.09698,59.135796,36.924007
94.09966,41.57093,32.628876,166.46906,146.2855,284.85983,101.7518,291.33713,92.03935,136.05006,57.241615,36.924007
89.57432,40.983524,32.083374,154.43375,134.34845,339.7197,96.27684,265.9554,88.81677,127.53399,55.474197,36.924007
