Cell 2,Cell 8,Cell 20,Cell 23,Cell 24,Cell 26,Cell 27,Cell 29,Cell 30
78.71649,132.34756,140.44125,55.78833,55.990715,22.847816,599.7772,-86.925316,57.145866
142.1616,132.34756,140.44125,55.78833,52.966545,22.847816,567.56396,-86.925316,57.145866
137.37614,132.34756,140.44125,55.78833,50.069252,22.847816,537.1711,-86.925316,57.145866
272.19138,132.34756,140.44125,55.78833,47.293518,22.847816,508.49576,-86.925316,57.145866
261.61304,132.34756,140.44125,55.78833,44.634243,22.847816,481.44092,-86.925316,57.145866
251.50601,132.34756,140.44125,55.78833,42.086536,22.847816,455.91498,-86.925316,57.145866
241.84924,132.34756,140.44125,55.78833,39.64572,22.847816,431.83154,-86.925316,57.145866
232.62268,132.34756,140.44125,55.78833,37.307312,22.847816,409.10907,-86.925316,57.145866
223.80717,132.34756,140.44125,55.78833,35.067013,22.847816,387.6707,-86.925316,57.145866
215.3844,132.34756,140.44125,55.78833,32.920704,22.847816,367.44382,-86.925316,57.145866
207.33685,132.34756,140.44125,55.78833,30.864445,22.847816,348.36,-86.925316,57.145866
199.64783,132.34756,140.44125,55.78833,28.894459,22.847816,330.3546,-86.925316,57.145866
192.30135,132.34756,140.44125,55.78833,27.007122,22.847816,313.36673,-86.925316,57.145866
185.28218,132.34756,140.44125,55.78833,25.19897,22.847816,297.33887,-86.925316,57.145866
178.57568,132.34756,140.44125,55.78833,23.466682,22.847816,282.21677,-86.925316,57.145866
172.16798,132.34756,140.44125,55.78833,21.807072,22.847816,267.94925,-86.925316,57.145866
166.04575,132.34756,140.44125,55.78833,20.21709,22.847816,254.488,-86.925316,57.145866
160.19624,132.34756,140.44125,55.78833,18.693817,22.847816,249.83643,-86.925316,57.145866
154.60736,132.34756,140.44125,55.78833,17.234455,22.847816,332.4372,-86.925316,57.145866
149.26744,132.34756,140.44125,55.78833,15.836319,22.847816,315.33163,-86.925316,57.145866
144.16544,132.34756,140.44125,55.78833,14.496842,22.847816,299.19272,-86.925316,57.145866
139.29073,132.34756,140.44125,55.78833,13.213567,22.847816,283.96585,-86.925316,57.145866
134.63316,132.34756,140.44125,55.78833,11.984129,22.847816,269.5995,-86.925316,57.145866
130.1831,132.34756,140.44125,55.78833,10.806273,22.847816,296.91302,-86.925316,57.145866
125.93131,132.34756,140.44125,55.78833,9.677833,22.847816,281.815,-86.925316,57.145866
121.86893,132.34756,140.44125,55.78833,8.596739,22.847816,267.57016,-86.925316,57.145866
117.98751,132.34756,140.44125,55.78833,7.561002,22.847816,254.13034,-86.925316,57.145866
114.27902,132.34756,140.44125,55.78833,6.56872,22.847816,241.45,-86.925316,57.145866
110.735756,132.34756,140.44125,55.78833,5.6180677,22.847816,326.8364,-86.925316,57.145866
107.350334,132.34756,140.44125,55.78833,4.7073045,22.847816,310.0473,-86.925316,57.145866
104.11573,132.34756,140.44125,55.78833,3.8347487,22.847816,294.20703,-86.925316,57.145866
101.02523,132.34756,140.44125,55.78833,2.9988034,22.847816,279.26193,-86.925316,57.145866
98.07242,132.34756,140.44125,55.78833,2.1979322,22.847816,265.16138,-86.925316,57.145866
95.25115,132.34756,140.44125,55.78833,1.4306582,22.847816,251.85767,-86.925316,57.145866
92.55558,132.34756,140.44125,55.78833,0.69557744,22.847816,239.30576,-86.925316,57.145866
89.98009,132.34756,140.44125,55.78833,-0.008662771,22.847816,227.46318,-86.925316,57.145866
87.51934,132.34756,140.44125,55.78833,-0.6833563,22.847816,216.28984,-86.925316,57.145866
85.16822,132.34756,140.44125,55.78833,-1.3297428,22.847816,205.74792,-86.925316,57.145866
82.92184,132.34756,140.44125,55.78833,-1.9490099,22.847816,195.80173,-86.925316,57.145866
80.775536,132.34756,140.44125,55.78833,-2.5422952,22.847816,186.41763,-86.925316,57.145866
78.72484,132.34756,140.44125,55.78833,-3.1106892,22.847816,177.56383,-86.925316,57.145866
76.76552,132.34756,140.44125,55.78833,-3.655236,22.847816,169.21034,-86.925316,57.145866
74.893486,132.34756,140.44125,55.78833,-4.176936,22.847816,161.32895,-86.925316,57.145866
73.104836,132.34756,140.44125,55.78833,-4.676748,22.847816,153.89294,-86.925316,57.145866
71.39589,132.34756,140.44125,55.78833,-5.15559,22.847816,146.87715,-86.925316,57.145866
69.76307,132.34756,140.44125,55.78833,-5.614342,22.847816,140.25783,-86.925316,57.145866
68.20299,132.34756,140.44125,55.78833,-6.053847,22.847816,134.01257,-86.925316,57.145866
66.71242,132.34756,140.44125,55.78833,-6.474912,22.847816,128.12025,-86.925316,57.145866
65.288246,132.34756,140.44125,55.78833,-6.8783116,22.847816,122.56092,-86.925316,57.145866
63.92752,132.34756,140.44125,55.78833,-7.2647862,22.847816,225.30511,-86.925316,57.145866
62.62742,132.34756,140.44125,55.78833,-7.635046,22.847816,214.25372,-86.925316,57.145866
61.38524,132.34756,140.44125,55.78833,-7.989772,22.847816,203.82686,-86.925316,57.145866
60.1984,132.34756,140.44125,55.78833,-8.329615,22.847816,193.98924,-86.925316,57.145866
59.064426,132.34756,140.44125,55.78833,-8.655199,22.847816,184.70755,-86.925316,57.145866
275.0388,132.34756,140.44125,55.78833,-8.967124,22.847816,175.95038,-86.925316,57.145866
264.33362,132.34756,140.44125,55.78833,-9.265962,22.847816,167.6881,-86.925316,57.145866
254.10538,132.34756,140.44125,55.78833,-9.552261,22.847816,348.9637,-86.925316,57.145866
244.33281,132.34756,140.44125,55.78833,-9.826549,22.847816,330.92422,-86.925316,57.145866
234.9956,132.34756,140.44125,55.78833,-10.089329,22.847816,313.90417,-86.925316,57.145866
226.07439,132.34756,140.44125,55.78833,-10.341084,22.847816,297.84595,-86.925316,57.145866
217.5506,132.34756,140.44125,55.78833,-10.582276,22.847816,382.73007,-86.925316,57.145866
209.40656,132.34756,140.44125,55.78833,-10.81335,22.847816,362.7824,-86.925316,57.145866
201.62532,132.34756,140.44125,55.78833,-11.034728,22.847816,343.962,-86.925316,57.145866
194.19075,132.34756,140.44125,55.78833,-11.246819,22.847816,326.20517,-86.925316,57.145866
187.08739,132.34756,140.44125,55.78833,-11.45001,22.847816,309.45178,-86.925316,57.145866
180.30048,132.34756,140.44125,55.78833,-11.644678,22.847816,293.64517,-86.925316,57.145866
173.81593,132.34756,140.44125,55.78833,-11.831178,22.847816,278.7318,-86.925316,57.145866
167.62027,132.34756,140.44125,55.78833,-12.009852,22.847816,264.6612,-86.925316,57.145866
161.70064,132.34756,140.44125,55.78833,-12.181031,22.847816,251.38577,-86.925316,57.145866
156.04472,132.34756,140.44125,55.78833,-12.345028,22.847816,238.86053,-86.925316,57.145866
