Cell 0,Cell 10,Cell 11,Cell 32,Cell 37,Cell 41,Cell 44,Cell 54
81.66803,56.32161,68.24983,67.23804,80.68958,-94.75668,37.122902,254.67462
81.66803,56.32161,68.24983,67.23804,80.68958,-94.75668,37.122902,242.69122
81.66803,56.32161,68.24983,67.23804,80.68958,-94.75668,37.122902,231.42366
81.66803,56.32161,68.24983,67.23804,80.68958,-94.75668,37.122902,220.82913
81.66803,56.32161,68.24983,67.23804,80.68958,-94.75668,37.122902,210.86748
81.66803,56.32161,68.24983,67.23804,80.68958,-94.75668,37.122902,201.50089
81.66803,56.32161,68.24983,67.23804,80.68958,35.00156,37.122902,192.69382
81.66803,56.32161,68.24983,67.23804,80.68958,26.389578,37.122902,184.41281
81.66803,56.32161,68.24983,67.23804,80.68958,18.349165,37.122902,176.62648
81.66803,56.32161,68.24983,67.23804,80.68958,114.34125,37.122902,169.30527
81.66803,56.32161,68.24983,67.23804,80.68958,100.46353,37.122902,162.42137
81.66803,56.32161,68.24983,67.23804,80.68958,249.42503,37.122902,155.94868
81.66803,56.32161,68.24983,67.23804,80.68958,226.58186,37.122902,149.86264
81.66803,56.32161,68.24983,67.23804,80.68958,205.2548,37.122902,144.14015
81.66803,56.32161,68.24983,67.23804,80.68958,185.34322,37.122902,138.75949
81.66803,140.69958,68.24983,67.23804,80.68958,166.75313,37.122902,182.26013
81.66803,136.0247,68.24983,67.23804,80.68958,149.39687,37.122902,174.6024
81.66803,131.60883,68.24983,67.23804,80.68958,133.19252,37.122902,167.40208
81.66803,224.94199,68.24983,67.23804,80.68958,118.063644,37.122902,160.63188
81.66803,215.59972,68.24983,67.23804,80.68958,103.93887,37.122902,154.26608
81.66803,206.77505,68.24983,67.23804,80.68958,90.75156,37.122902,148.28055
81.66803,198.43932,68.24983,67.23804,80.68958,100.44159,37.122902,142.65256
81.66803,190.56541,68.24983,67.23804,80.68958,152.94933,37.122902,137.36076
81.66803,183.12776,68.24983,67.23804,80.68958,300.8426,37.122902,132.38507
81.66803,215.38716,68.24983,67.23804,80.68958,274.58688,37.122902,127.70659
81.66803,206.57428,68.24983,67.23804,80.68958,250.07375,37.122902,123.30758
81.66803,198.24966,68.24983,67.23804,80.68958,262.8092,37.122902,119.17134
81.66803,190.38626,68.24983,67.23804,80.68958,239.07774,37.122902,115.28218
81.66803,182.95853,68.24983,67.23804,80.68958,219.92787,37.122902,111.625336
81.66803,175.94232,68.24983,67.23804,80.68958,199.04243,37.122902,108.186935
81.66803,169.31485,68.24983,67.23804,80.68958,179.54314,37.122902,104.95393
