Cell 0,Cell 4,Cell 5,Cell 7,Cell 9,Cell 16,Cell 17,Cell 19,Cell 25,Cell 30,Cell 38,Cell 39,Cell 47,Cell 49,Cell 56
113.388214,27.29514,47.003326,74.10897,164.43333,80.78361,20.288809,7097.695,32.326305,44.830223,80.990685,229.02151,17.04644,29.722744,108.86209
181.85266,27.29514,47.003326,70.959755,272.97305,120.45643,20.288809,6717.4004,32.326305,43.52872,76.85106,218.09842,17.04644,29.722744,101.32949
172.61627,27.29514,47.003326,67.996765,252.46228,112.883575,20.288809,6514.1826,165.71709,42.31147,100.05625,207.84297,17.04644,29.722744,94.40468
163.9206,27.29514,47.003326,65.20899,233.65967,104.449936,20.288809,6345.478,155.35211,41.17302,94.857315,198.21439,17.04644,29.722744,88.03862
155.73398,27.29514,47.003326,62.586067,216.42296,96.58757,20.288809,6435.045,145.79254,40.10826,89.94724,189.17433,17.04644,29.722744,131.64532
148.02661,27.29514,47.003326,60.118256,200.62173,89.257805,20.288809,6097.6694,136.97578,139.19463,85.309975,180.68683,17.04644,29.722744,126.32917
140.77045,27.29514,47.003326,57.796368,186.13644,82.424545,20.288809,5922.6265,128.84413,131.78458,80.93036,172.71811,17.04644,29.722744,117.38718
133.93906,27.29514,47.003326,55.611786,172.8575,76.05416,20.288809,5604.782,121.34432,124.85422,76.79408,165.23648,17.04644,29.722744,109.1667
127.5076,27.29514,47.003326,53.556393,160.68443,70.11529,20.288809,5367.132,114.427284,118.372475,72.88762,158.21214,17.04644,29.722744,101.60952
121.45264,27.29514,47.003326,51.62254,149.52516,64.57872,20.288809,5150.4883,108.04773,112.31032,97.83341,151.61716,17.04644,29.722744,94.66212
120.846504,27.29514,47.003326,49.80304,139.29523,59.41719,20.288809,5136.5283,102.16389,106.64059,92.75797,145.4253,17.04644,29.722744,88.27528
115.18149,27.29514,47.003326,104.00147,175.288,54.605293,20.288809,4857.387,96.73724,101.33788,87.96454,139.61188,17.04644,29.722744,82.40379
109.848114,27.29514,47.003326,99.08459,162.91252,50.11935,36.460842,4666.2056,91.73226,96.37844,136.21184,134.15381,17.04644,64.17751,77.006065
126.44908,27.29514,47.003326,94.458466,198.70912,45.93728,35.473286,5000.557,90.86631,91.740036,233.34642,129.02936,17.04644,62.091064,72.04386
120.45609,27.29514,47.003326,90.105896,184.38312,42.038494,34.546032,4992.0933,86.317535,87.40189,220.74173,124.21813,17.04644,60.130966,67.48206
114.813934,27.29514,47.003326,86.010704,183.03995,38.40381,33.6754,5215.5557,82.122215,83.34458,208.83737,119.70099,17.04644,58.28956,63.288338
109.502075,27.29514,47.003326,82.15769,170.01889,35.015335,32.857937,4995.5864,78.25288,79.549904,197.59444,115.459946,17.04644,56.559666,59.433
104.501175,27.29514,47.003326,78.53252,158.08223,31.856394,32.09039,4987.368,74.68421,76.00087,186.97617,111.47812,17.04644,54.934525,55.88874
99.79304,27.29514,47.003326,97.72924,147.13966,28.911432,31.369715,4715.9204,71.392845,72.68158,176.94786,107.73969,17.04644,53.4078,52.630463
95.36052,27.29514,47.003326,93.18326,137.10841,26.16596,30.69305,4458.473,68.35722,69.577156,167.47675,104.22976,17.04644,51.973526,49.63509
91.187485,27.29514,47.003326,88.9061,127.91256,23.606462,69.07954,4905.2646,65.55749,108.90392,158.53186,100.934364,17.04644,50.626102,46.88141
87.25875,27.29514,47.003326,84.881874,119.48255,21.220343,66.10009,4638.0513,62.975296,103.454704,199.02708,97.8404,17.04644,49.360275,44.34991
92.07355,27.29514,47.003326,81.095604,111.7546,56.06749,63.30258,4384.6206,60.593754,98.35823,216.79755,94.935555,17.04644,48.171104,42.022682
88.09293,27.29514,47.003326,77.53325,104.670235,51.4825,60.675907,4326.97,58.397266,93.59167,205.11234,92.20826,17.04644,47.053944,39.88323
84.34536,27.29514,47.003326,74.18153,98.175865,47.208088,58.209633,4239.265,56.371452,89.13367,194.07637,89.64767,17.04644,46.004433,37.916405
