Cell 153,Cell 239
-626.2055,1134.794
-626.2055,1119.6163
-626.2055,1070.3259
-626.2055,1023.2226
-626.2055,978.2093
-449.01483,935.1933
-456.925,894.08594
-464.48203,854.80255
-471.7017,817.2622
-478.59906,781.3876
-485.1885,747.1047
-491.4838,714.34296
-497.49805,683.0349
-503.2438,653.116
-508.73306,624.52466
-513.9773,597.2019
-518.98737,571.0915
-523.7738,546.13965
-342.26428,522.2949
-354.94,499.5082
1242.602,477.73257
1159.1746,456.92313
1079.4717,437.03702
1003.3267,418.03326
930.5811,399.87274
861.08295,382.51797
794.6873,365.9333
731.2558,350.08447
670.65594,334.93887
612.7614,320.4653
1051.4016,306.63394
976.5098,293.4163
904.96136,422.25992
836.607,403.91183
771.304,386.37787
937.3121,369.62192
867.5135,353.6094
800.8309,338.30743
737.12506,323.6844
1170.3,309.7102
1090.1003,296.35605
1013.4809,283.59442
940.2819,271.39905
870.35077,259.7448
1051.0737,248.60765
976.1965,237.96468
904.66205,227.79395
980.3261,218.07448
908.60724,208.7863
840.09,199.91022
774.63165,191.42796
712.0954,183.32211
652.3509,175.57591
595.2735,168.17342
540.7442,161.09938
711.2791,154.33922
651.5711,147.87901
594.5285,141.70544
540.0324,135.8058
487.96918,130.16794
438.23016,124.780235
390.7116,119.631584
345.3144,114.71138
301.9438,110.00949
260.50934,105.51622
220.92456,101.222336
183.10693,97.118965
146.9776,93.197655
112.46112,89.450356
79.485535,85.86931
47.982056,82.44717
17.884949,79.176865
-10.86853,76.05168
-38.33844,73.06515
-64.58203,70.211136
-89.65405,67.483765
-113.60681,64.8774
-136.49026,62.38669
-158.35214,60.00649
418.46222,57.731903
371.8261,55.558243
327.27197,53.48103
284.7068,51.495983
244.04181,49.599014
205.1922,47.786213
193.69568,46.05385
157.09363,44.39835
122.12555,42.816307
1795.7781,41.30446
1687.6558,39.8597
1584.3604,38.479042
1930.9548,37.159645
1816.7981,35.89879
1707.7375,34.693882
3955.6323,33.54244
3751.0898,32.44208
3555.6787,31.390549
3368.991,30.385672
3190.6372,29.425385
3020.2456,28.507706
4338.5347,27.630747
4285.3726,26.792696
4066.1099,25.991835
3856.6353,25.226503
3656.5122,24.495134
3972.079,23.796213
3766.8022,23.128305
3570.6895,22.490032
3383.3315,21.880081
4792.831,21.297194
4550.914,20.74017
4319.797,20.20786
4098.997,19.699171
3888.0542,19.213053
3686.5283,18.748505
3493.999,18.304567
3310.0647,17.880327
3172.6611,206.55728
3003.072,197.78012
5168.6445,189.3924
4909.9507,181.37685
4662.8057,173.71695
4426.6934,166.39694
4201.1216,159.40172
3985.62,152.71689
4772.184,146.32866
4531.189,140.22389
4300.9526,134.38998
4890.608,128.81494
4644.326,123.48727
4409.039,118.39598
4184.2554,113.5306
3969.5068,108.8811
4531.885,104.43791
4301.617,100.191864
4081.6294,96.13422
5864.8687,92.25661
5575.0938,88.551056
5298.2554,85.009926
5033.7754,81.625916
4781.1025,78.39206
6182.9614,75.30169
5878.9863,176.8593
5588.5815,169.39986
5311.1406,162.2714
5046.0854,312.49704
5083.677,299.01923
4905.3896,286.13943
4658.448,273.83115
4422.531,262.069
4197.145,250.82874
3981.8208,240.0872
4297.9995,229.82228
4078.1729,220.01283
3868.1597,210.63863
3667.522,201.68037
3475.8413,193.1196
3292.7175,184.93866
3117.7688,177.12073
2950.6301,169.64969
3178.237,162.51015
3008.399,155.6874
3602.3208,149.16736
3413.5508,142.93663
3233.2078,136.98236
3060.9158,131.2923
2896.3152,125.85468
2739.0627,120.658356
2588.8303,115.6926
2445.3047,110.947174
2308.1863,106.41231
2177.189,102.07866
2052.0398,97.937294
1932.4775,93.979675
1818.2527,90.19767
1709.1272,86.58347
1604.8733,83.12965
1505.2734,79.82906
1410.1199,76.674934
1319.2141,73.66075
1232.3667,70.78031
1149.3962,68.02769
1070.1296,65.39719
994.4018,62.88341
922.0546,60.481174
852.9372,58.185524
786.9052,55.991734
723.8211,53.895283
663.55316,51.891853
605.97577,49.977318
550.9687,48.14773
498.4173,46.399323
448.21185,44.728497
400.24762,43.131805
354.42468,41.60596
310.64734,40.14782
268.82434,38.754375
228.86841,37.42276
190.69617,36.150234
154.22803,34.934166
119.38788,33.77206
86.10309,32.661514
54.3042,31.600248
397.81012,30.58607
352.096,29.616888
308.42267,28.690714
266.69897,27.805634
226.83789,26.959826
188.75629,26.151546
152.37476,25.379131
117.61737,24.640987
84.41162,23.935595
52.688232,23.261501
22.381042,22.617321
-6.573181,22.001722
-34.234802,21.413437
-60.66156,20.851255
-85.90857,20.31402
-110.0285,19.80062
-133.07169,19.31
-155.08618,18.841148
-176.11792,18.3931
-196.21075,17.964935
-215.40659,17.555765
-233.74548,17.164751
273.3515,16.791086
233.19342,16.434002
194.82812,16.092762
437.9655,15.766663
390.45874,15.455033
450.97882,15.15723
402.89117,14.8726425
356.9502,14.600681
313.06012,14.340786
271.1294,176.51645
231.07056,169.07222
332.5321,161.9583
650.06915,155.16002
1812.029,148.66339
1703.1814,142.45502
1599.1929,136.52211
2956.1938,130.85248
2796.2683,125.43438
2643.4822,120.25671
2497.5166,115.30877
2358.0674,110.580376
2224.8433,106.06178
2097.5667,101.74368
1975.9719,97.61718
1859.8054,93.67377
1748.825,89.905334
1642.7988,86.30411
1541.5059,82.86267
1444.7349,79.57394
1352.2839,76.43112
1263.9602,73.42776
1179.5793,70.557655
1098.9656,67.8149
1021.9504,65.193855
1360.3582,62.6891
1271.6738,60.295483
1186.9487,58.00807
1106.0059,55.822155
1028.6763,53.73323
954.799,51.73699
884.2198,49.82933
816.7913,48.006313
752.373,46.26418
690.8304,44.59935
632.0352,43.00839
575.8648,41.48802
522.20197,40.03511
554.49396,38.646675
501.7851,37.31984
451.42926,36.051872
526.64386,34.84017
475.17828,33.68223
426.0103,32.575676
379.0373,31.518217
334.1612,30.507679
291.28845,29.541979
250.32965,28.619125
211.19934,27.73722
371.57874,26.894447
327.03564,26.08907
284.48102,25.319427
243.82611,24.583933
204.98615,23.881073
167.88007,23.2094
132.43048,22.56753
98.563416,21.95414
66.20825,21.367966
35.297485,20.807802
5.7666626,20.272493
-22.445862,19.760937
-49.398926,19.272076
-75.14874,18.804909
-99.74902,18.358469
29.257874,17.93184
-0.0033569336,17.524137
-27.958313,17.13453
-54.665283,16.762205
-80.17999,16.4064
-104.555664,16.066387
-127.84317,15.741458
-150.09106,15.430945
-171.3458,15.1342125
-191.65164,14.850645
-211.051,14.579659
-229.58435,14.320698
-247.29031,14.073227
-264.20587,13.836736
-280.36627,13.610739
314.8648,13.394769
272.85352,13.188382
232.71771,12.991153
194.37366,12.802675
650.15314,12.62256
593.1739,12.450437
538.73834,12.285951
486.73285,12.128762
437.049,11.978548
389.5832,11.835
344.23633,11.697822
300.91382,11.566729
259.52533,11.441454
219.9845,11.321737
182.20886,11.207332
146.11963,11.098004
398.68048,10.993526
352.9275,10.893685
309.21698,10.798272
267.45782,10.707094
227.56287,10.619962
189.44891,10.536695
153.03644,10.457124
118.24951,10.381082
85.0155,10.308415
354.9099,10.238972
311.1109,10.172611
1009.113,10.109194
936.1091,10.04859
866.3642,9.990676
799.73285,9.935331
736.0761,9.882442
778.37555,9.831901
961.75604,9.783601
890.8663,9.737445
823.14105,9.693336
758.4393,9.651185
696.6259,9.610904
637.5721,9.57241
581.1545,9.5356245
527.25543,9.500471
690.8608,9.466877
632.0643,9.434774
575.8925,9.404096
522.22845,9.374779
470.96002,9.346762
816.6158,9.319988
752.20526,9.294403
690.6702,9.269952
631.88226,9.246586
575.7187,9.224258
522.0623,9.20292
470.80133,9.1825285
421.82867,9.163043
375.0423,9.144421
330.34454,9.126626
489.86603,9.10962
440.0423,9.093369
392.4428,9.077838
346.96826,9.062997
303.5238,9.048814
262.0188,9.035261
222.36664,9.022309
184.48468,9.009932
148.29382,8.998104
113.71863,8.9868
80.68689,8.975999
49.12976,8.965676
18.981445,8.955812
-9.820984,8.946385
-37.337646,8.937376
-63.625916,8.928768
-88.7406,8.920541
-112.73413,8.91268
-135.65652,8.905167
-157.55563,8.897987
-178.47711,8.891126
