Cell 121,Cell 255,Cell 370,Cell 372,Cell 375,Cell 378,Cell 388,Cell 390,Cell 396,Cell 409
175.08467,5103.0366,242.81633,156.9272,134.00674,130.91415,1063.8928,86.79802,147.4796,318.23676
175.08467,4768.5034,242.81633,156.9272,134.00674,130.91415,1188.4867,86.79802,147.4796,318.23676
175.08467,4452.688,242.81633,156.9272,266.70892,130.91415,1145.9034,86.79802,147.4796,318.23676
175.08467,4154.543,242.81633,156.9272,251.58087,130.91415,1764.3281,86.79802,147.4796,318.23676
175.08467,3873.0793,242.81633,156.9272,238.17743,130.91415,1697.2238,86.79802,196.4574,318.23676
175.08467,3607.364,242.81633,156.9272,226.30196,130.91415,1632.977,86.79802,192.76614,318.23676
175.08467,3356.5159,242.81633,156.9272,215.7803,130.91415,1571.4662,86.79802,189.35306,318.23676
175.08467,3119.7031,242.81633,156.9272,206.4581,130.91415,1512.5747,86.79802,186.19724,318.23676
175.08467,2896.1401,242.81633,156.9272,198.19864,130.91415,1456.1909,86.79802,183.27924,318.23676
175.08467,2685.086,242.81633,156.9272,190.88077,130.91415,1402.208,86.79802,180.58115,318.23676
175.08467,2485.8406,242.81633,156.9272,184.39713,130.91415,1621.5149,86.79802,178.08643,318.23676
175.08467,2297.7434,242.81633,156.9272,178.65262,130.91415,1560.492,86.79802,175.77971,318.23676
175.08467,2120.1704,242.81633,156.9272,173.56299,130.91415,1502.0676,86.79802,173.64684,318.23676
175.08467,1952.5331,242.81633,156.9272,169.05356,130.91415,1446.1313,86.79802,171.67471,318.23676
175.08467,1794.2753,242.81633,156.9272,165.05823,130.91415,1392.5768,86.79802,169.85123,318.23676
175.08467,1644.8722,242.81633,156.9272,161.51836,130.91415,1341.3027,86.79802,168.16516,318.23676
175.08467,1944.3228,242.81633,156.9272,158.38203,130.91415,1292.212,86.79802,166.60617,318.23676
175.08467,2027.7555,242.81633,156.9272,155.60324,130.91415,1245.2119,86.79802,165.16467,318.23676
175.08467,2166.2314,242.81633,156.9272,153.14124,130.91415,1200.2131,86.79802,163.83182,318.23676
175.08467,1996.0168,242.81633,156.9272,150.9599,130.91415,1157.1304,86.79802,162.59943,318.23676
175.08467,1835.326,242.81633,156.9272,149.02725,130.91415,1115.8824,86.79802,161.4599,318.23676
175.08467,1850.5918,242.81633,156.9272,147.31491,130.91415,1076.3907,86.79802,160.40625,318.23676
175.08467,1698.0376,242.81633,156.9272,145.79778,130.91415,1038.5808,86.79802,159.43202,318.23676
175.08467,1554.019,242.81633,156.9272,144.4536,130.91415,1002.38104,86.79802,158.53122,318.23676
175.08467,1418.0586,242.81633,156.9272,143.26265,130.91415,967.7226,86.79802,157.6983,318.23676
175.08467,1289.7052,242.81633,156.9272,142.20747,130.91415,934.5401,86.79802,156.92816,318.23676
175.08467,1168.5334,242.81633,156.9272,141.2726,130.91415,902.7705,86.79802,156.21605,318.23676
175.08467,1054.1415,242.81633,156.9272,140.44429,130.91415,872.3539,86.79802,155.55762,318.23676
175.08467,946.14996,242.81633,156.9272,139.7104,130.91415,843.23236,86.79802,154.9488,318.23676
175.08467,844.20074,242.81633,156.9272,139.0602,130.91415,815.35095,86.79802,154.3859,318.23676
175.08467,747.95557,242.81633,156.9272,138.4841,130.91415,788.6568,86.79802,153.86539,318.23676
175.08467,657.0956,242.81633,156.9272,137.97368,130.91415,763.0994,86.79802,153.38411,318.23676
175.08467,1242.956,242.81633,156.9272,137.52145,130.91415,738.63025,86.79802,586.20416,318.23676
175.08467,1124.3999,242.81633,156.9272,137.12077,130.91415,869.2771,86.79802,553.1392,318.23676
175.08467,2395.2395,242.81633,156.9272,136.76578,130.91415,840.2866,86.79802,522.5662,318.23676
175.08467,2212.2114,242.81633,156.9272,136.45125,130.91415,812.53064,86.79802,494.29742,318.23676
175.08467,2039.4241,242.81633,156.9272,136.17258,130.91415,785.9566,86.79802,468.15912,318.23676
175.08467,1876.3046,242.81633,156.9272,135.92566,130.91415,760.5142,86.79802,443.99078,318.23676
175.08467,1879.7793,242.81633,156.9272,135.70691,130.91415,736.1551,86.79802,421.64386,318.23676
175.08467,1725.592,242.81633,156.9272,135.51309,130.91415,712.8333,86.79802,400.9812,318.23676
