Cell 19,Cell 25
262.08478,156.11436
251.1495,147.16574
240.69681,138.79634
230.70538,130.96869
221.15486,123.64773
212.0258,116.80063
246.84436,110.39673
236.58165,104.40734
226.77182,98.80564
217.3949,93.56653
208.43176,88.66654
199.86417,84.083725
191.67465,79.79754
183.84653,75.788795
176.36386,72.039536
169.2114,68.53295
162.37456,65.25335
155.83943,62.18604
149.5927,59.31726
143.62161,56.634182
137.91403,54.124767
132.45833,51.77779
127.243385,49.58272
122.25857,47.529743
117.49372,120.29049
112.93915,113.6607
108.58556,107.460045
104.42409,101.66074
100.44627,96.23683
96.64399,91.163994
93.0095,86.41952
89.53539,81.98215
86.2146,77.83199
83.040344,73.95048
80.00617,70.320206
77.10589,66.92492
74.333595,63.7494
71.68365,60.77943
69.150635,58.001705
66.7294,55.40377
64.41501,52.974007
62.202755,50.70151
60.088127,48.57611
58.066814,46.588287
56.1347,44.72913
54.28785,42.990314
52.522503,41.36405
50.835052,39.843052
49.22207,38.420506
62.146633,37.09004
60.03448,35.845688
58.015533,34.681885
56.085686,33.593414
54.240997,32.575397
52.477715,31.623278
50.79224,30.732786
119.86235,36.98373
131.01689,35.74626
125.865555,34.588894
120.941536,33.506443
116.23481,32.494057
111.73579,31.5472
107.4353,30.661634
103.3246,29.833385
99.395294,29.058752
95.63939,28.334257
92.049225,27.656658
88.617485,27.022919
85.337204,26.430202
82.20166,25.87585
79.204506,25.357382
76.33961,24.87247
73.60112,24.41895
70.9835,23.994781
68.48138,23.598072
66.089676,23.227041
63.80352,22.880024
61.61825,22.55547
59.529415,22.251926
57.532757,21.968027
55.62421,21.702505
53.79989,21.45417
52.056072,21.22191
50.38921,21.004683
48.7959,20.801517
47.272903,20.611504
45.817116,20.433786
44.425575,20.267574
43.095436,20.112122
41.823997,19.96673
40.60866,19.830748
91.46526,19.70357
88.0593,19.584623
84.80364,19.473375
81.69164,19.369328
78.716995,19.272017
75.873604,19.181005
73.15569,19.095882
70.557724,19.016272
123.786644,18.94181
118.95437,18.872173
114.335335,18.807041
109.920135,18.746126
105.699776,18.689154
101.66566,18.635868
97.80956,18.586031
94.123634,18.539423
90.600365,18.49583
105.29038,18.455057
101.27433,18.416925
97.4355,18.381262
93.76608,18.347906
90.25859,18.31671
86.90588,141.80408
83.701126,133.78174
80.637794,126.27869
77.70964,119.261284
74.910706,112.69811
72.235275,106.55976
75.70824,100.81874
72.99762,95.449326
70.406624,90.42747
67.92996,85.73067
65.5626,81.33788
63.299698,77.22943
61.13666,73.386925
59.069077,69.79312
57.092735,66.43195
55.203606,63.28835
53.397842,60.34822
51.67177,57.598404
50.021862,55.026585
48.444767,52.621227
46.937267,50.37157
45.496296,48.26753
44.118904,46.299675
42.802303,44.4592
41.5438,42.737854
55.65235,41.127937
53.826786,39.62222
52.08178,38.21397
50.41378,36.896866
48.81939,35.665028
47.295357,34.512917
45.838577,33.43538
44.44609,32.427593
43.115044,31.485043
41.842743,30.603498
40.626583,29.779015
39.464092,29.0079
38.3529,28.286697
37.29075,27.612177
36.275463,26.981318
35.304985,26.39129
43.27887,25.83946
64.947075,25.323347
62.711338,24.84064
60.574265,24.389177
58.531498,23.966938
56.578876,23.57203
54.712425,23.202682
52.928337,22.857244
51.22298,22.534164
49.59288,22.231998
48.034714,21.94939
46.545307,21.685074
45.121628,21.437868
43.760777,21.206663
42.459976,20.990423
41.21658,20.788181
40.028053,20.599028
38.891975,20.42212
37.80603,20.256662
36.76801,20.101915
35.775795,19.957184
34.827366,19.821821
33.920788,19.695219
33.054222,19.576815
32.225895,19.466074
31.43412,19.3625
30.677284,19.265629
29.95385,19.17503
29.262339,19.090294
28.601343,19.011044
27.969517,18.936924
27.365572,18.867601
26.788279,18.802767
26.236464,18.742126
25.708996,18.685413
25.204807,18.63237
24.722868,18.582762
24.262196,18.536364
23.821854,18.492968
23.400942,18.452381
22.998604,18.414423
22.614023,18.37892
22.246412,18.345716
21.895025,18.314661
21.559143,18.285618
21.238083,18.258451
20.93119,18.233047
20.637842,57.008335
20.357439,54.4747
20.08941,52.10507
19.833208,49.888824
19.588314,47.81603
19.354225,45.877403
19.130466,44.064262
18.916584,42.368484
18.71214,40.78247
18.516714,39.299118
18.329914,37.91178
18.15136,36.614243
17.980682,35.40069
17.817535,34.26569
17.66159,33.20416
17.512527,32.211338
17.37004,31.282785
17.233843,30.414331
17.103657,29.602093
16.979212,92.8524
16.860262,87.998634
16.746561,83.459045
16.637877,79.213295
16.533989,75.24238
16.434685,71.52848
16.339762,68.05498
16.249031,64.80632
16.162304,61.767937
16.079401,58.92622
16.000158,56.268448
15.924412,53.782715
15.852008,51.45787
15.7828,49.283516
62.33817,47.249905
60.217564,81.8011
58.19054,77.66267
56.252968,73.79211
54.400898,70.17209
52.630558,66.786385
50.938343,74.774216
49.320805,71.09063
47.774647,67.64548
46.29672,64.42332
44.884014,61.40973
43.53364,58.5912
42.242867,55.955116
41.009052,53.48966
39.829685,67.79297
38.70236,64.561264
37.624783,61.538746
36.594757,58.711872
35.61019,56.067974
34.66907,53.59521
33.769478,51.282505
32.909588,49.1195
32.087646,47.096504
31.301971,45.204453
63.199066,43.434868
61.04047,41.77983
89.93152,40.23192
86.59324,38.784203
83.402275,62.869545
80.35213,104.51559
77.43658,98.90688
74.6497,93.66122
71.985794,88.7551
69.439445,84.16654
67.00546,79.87499
64.678894,75.86124
74.9336,72.107285
72.257164,68.59633
69.698845,65.31262
67.253426,62.241474
64.9159,59.369106
62.681545,56.682667
60.545788,54.170116
58.50428,51.8202
56.55286,49.622387
54.687557,47.566837
52.904568,45.644344
51.20026,43.846287
49.571163,42.16462
48.013954,40.5918
46.525467,39.12079
45.10266,37.74499
43.74265,36.458252
42.44265,35.2548
41.200016,34.129246
40.012222,33.07654
38.87684,32.091984
37.791565,31.171154
36.75418,30.309927
35.762577,29.504446
103.99882,54.322186
100.039764,51.96243
96.25542,49.755413
92.63807,47.69125
89.18035,45.7607
85.87522,43.955112
91.17935,42.2664
87.78601,40.686993
132.8395,39.20982
127.60771,37.828262
122.60681,36.53613
117.8266,35.327637
113.25733,34.19737
108.8897,33.14026
104.71481,32.151573
100.72416,31.226887
96.909615,30.362051
93.2634,123.84913
89.77808,116.98899
104.28598,110.5729
100.314255,104.57211
96.5178,98.95975
92.88888,93.71066
89.4201,88.801346
86.104385,84.2098
82.935,109.22876
79.90547,103.31498
77.009636,111.99655
74.24159,105.90361
71.595695,100.205055
69.06656,94.87537
66.64904,89.890656
64.3382,85.2286
62.129333,80.86831
60.017944,76.79026
57.99973,72.97617
56.070576,69.408966
54.226555,66.07266
52.46391,62.952312
50.77905,60.03394
49.168537,57.304462
47.629097,54.751667
46.157593,52.36411
44.751022,50.131092
43.406525,48.042614
42.12136,46.08932
40.892906,44.262463
39.718662,42.553852
38.596237,40.95584
37.523342,39.461266
36.4978,38.06343
35.51751,36.756077
34.58048,35.533344
33.684795,34.38976
32.82864,33.320198
32.010265,32.319866
31.228008,31.384287
30.480268,30.509264
29.765526,29.690882
29.082329,28.92547
28.429276,28.209604
27.805042,27.540073
27.208357,26.913881
26.638002,26.328222
26.092815,25.78047
25.57169,25.268175
25.073559,24.78904
24.597412,24.340918
24.142275,23.921803
23.707226,23.529816
23.291374,23.163202
22.89387,22.820318
22.51391,22.499628
22.150717,22.199697
21.803553,21.91918
21.471708,21.65682
21.154505,21.411442
20.851303,21.181948
20.56148,20.967306
20.284447,20.766562
20.019638,20.578808
19.766518,20.403208
19.524565,20.238976
19.293287,20.085373
19.07222,19.941713
18.860907,19.807352
18.658918,19.681686
18.465841,19.564157
18.281286,19.454235
18.104877,19.351427
17.93625,19.255274
17.775066,19.165344
17.620996,19.081236
17.473722,19.002573
17.332949,18.929
17.19839,18.860191
17.069765,18.795835
16.94682,18.735645
16.829298,18.67935
16.716963,18.6267
16.609583,18.577457
16.506943,18.531403
16.408834,18.488329
16.315054,18.448042
16.22541,18.410364
16.139725,18.375126
16.057821,18.342167
15.97953,18.311342
15.904694,18.282513
15.83316,18.255548
15.764784,19.585682
15.699425,19.474365
15.63695,19.370255
15.577231,19.272884
15.520149,19.181814
15.465586,19.09664
15.413429,19.01698
15.363575,18.942474
15.315921,18.872793
15.27037,18.807621
15.226829,18.746668
15.185209,18.689661
15.145426,18.636343
15.107399,18.586475
15.07105,18.539837
15.036304,18.496218
15.003093,18.455421
14.971345,18.417265
14.941,18.381578
14.911994,18.348204
14.884268,18.316988
14.857764,18.287792
14.832432,18.260487
14.808216,18.23495
14.785069,18.211063
14.762944,18.188725
14.741796,18.167831
14.7215805,18.148293
14.702257,18.130016
14.683786,18.112923
14.66613,18.096937
14.649254,18.081985
14.633122,18.068
14.6177025,18.054922
14.602963,18.04269
14.588874,18.03125
14.575407,18.02055
14.562534,18.010544
14.550229,18.001184
14.538467,17.99243
14.527225,17.984243
14.516477,17.976585
14.506205,17.969425
14.496386,17.962727
14.4869995,17.956463
14.478028,17.950603
14.469452,17.945124
14.461255,17.939999
14.45342,17.935205
14.44593,17.930723
14.43877,17.92653
14.431927,17.92261
14.425385,17.918941
14.419133,17.91551
14.4131565,17.912302
14.407443,17.909302
14.401982,17.906496
14.396763,17.903872
14.391773,17.901417
14.387004,17.89912
14.382445,17.896973
14.378087,17.894966
14.373921,17.893087
14.36994,17.89133
14.366135,17.889687
14.362496,17.888151
14.359019,17.886713
14.355695,17.88537
14.352518,17.884111
14.349481,17.882936
14.346578,17.881836
14.343802,17.880808
14.34115,17.879847
14.338615,17.878946
14.336191,17.878105
14.333875,17.87732
14.33166,17.876583
14.329544,17.875895
14.32752,17.87525
14.325586,17.874647
14.323738,17.874084
14.321971,17.873558
14.320282,17.873066
14.318667,17.872604
14.317124,17.872173
14.315649,17.87177
14.3142395,17.871393
14.312891,17.871042
14.311603,17.870712
14.310371,17.870403
14.309195,17.870115
14.308069,17.869844
14.3069935,17.869593
14.305965,17.869356
14.304983,17.869137
14.304044,17.86893
14.303145,17.868736
14.302287,17.868557
14.301467,17.868387
14.300682,17.868229
14.2999325,17.868082
14.299216,17.867943
14.298532,17.867815
14.297877,17.867693
14.297251,17.86758
14.296653,17.867476
14.296082,17.867376
14.295534,17.867283
14.295012,17.867197
14.294513,17.867117
14.294036,17.86704
14.293579,17.86697
14.293143,17.866903
14.2927265,17.866842
14.292328,17.866783
14.291946,17.86673
14.291583,17.86668
14.291235,17.866632
14.290902,17.866587
14.290584,17.866547
14.29028,17.866507
14.289989,17.86647
14.289712,17.866438
14.289446,17.866405
14.289192,17.866377
14.28895,17.866348
14.288718,17.866322
14.288497,17.866299
14.288284,17.866276
14.288082,17.866255
14.287889,17.866234
14.2877035,17.866217
14.287527,17.866198
14.287357,17.866182
14.287196,17.866167
14.287042,17.866154
14.286894,17.86614
14.286753,17.866127
