Cell 19,Cell 25,Cell 59
143.52942,73.42825,148.84387
134.98996,69.66649,140.2757
127.03232,66.16536,132.2166
119.61686,135.09854,124.63633
112.706635,127.06377,117.50645
106.26723,119.5857,110.800186
100.266556,112.62577,104.492386
94.67473,106.14808,98.559364
89.46389,100.119225,92.97885
84.608086,94.50808,87.729904
80.08312,89.285736,82.79283
75.866455,84.42523,78.14909
71.93708,79.9015,73.781265
68.27543,75.69121,69.67295
64.86325,71.772644,65.80873
61.68356,68.12559,62.174107
58.72051,64.73123,108.862785
105.86807,61.57206,102.67009
99.89461,58.631783,96.84534
94.32812,55.89523,91.36666
89.14089,53.34829,86.21352
84.30709,50.977818,81.36653
79.802635,48.771595,76.80754
75.60508,46.718235,72.51941
71.69351,44.80715,68.48608
68.048454,43.02848,64.692375
64.65175,103.933426,73.053215
126.892136,98.058014,68.98816
119.48623,92.5897,73.768524
112.58491,87.50027,86.66577
106.15379,182.64856,81.79193
100.16085,171.31914,77.20766
94.576225,160.7747,72.89577
89.3721,150.96088,153.77992
84.522545,141.82703,144.91847
80.00341,133.32605,136.58353
75.792175,125.41408,128.7438
71.86786,118.050316,121.369865
84.83456,111.19677,114.43406
80.29415,105.63569,107.91035
76.06311,99.64233,101.77425
72.12034,94.06423,96.00272
68.446205,88.872635,90.57411
65.02239,84.04076,85.46805
101.70674,79.54367,80.66536
102.60034,75.35818,76.148026
96.84951,71.46269,71.89908
91.49049,67.837105,67.902596
86.496605,64.46274,207.1651
81.84297,61.32217,302.79163
77.5064,91.95252,871.24634
73.46529,86.90724,1340.9846
69.699524,82.21154,2074.4783
66.190315,77.8412,2541.326
62.92021,73.77366,2608.2996
59.872902,69.98795,2630.9478
57.03322,66.46456,2474.9048
144.94452,63.185295,2328.133
136.30864,60.133236,2430.331
128.26115,117.67922,2286.2078
120.76197,110.85139,2294.8323
113.77373,104.49664,2158.7595
107.26162,98.58221,2030.7716
101.1932,93.07757,1934.0923
95.53824,87.95434,1905.3232
90.26857,83.18608,1925.8594
85.35793,78.748215,1885.4437
80.78188,74.61783,1773.695
76.5176,70.77364,1819.4794
72.54386,80.572136,1711.6499
68.84087,76.315384,1736.3641
65.390175,72.35357,1633.473
62.174583,68.66627,1536.6952
59.178078,65.23444,1521.2954
87.03719,67.091194,1507.1965
82.34673,63.768513,1618.3035
77.97583,60.67605,1568.0166
73.90274,57.79785,1596.5646
70.10716,55.119083,1501.9796
66.57019,52.62592,1466.7368
63.274197,50.3055,1379.8656
60.202778,48.14586,1298.1559
57.340614,46.135857,1245.425
60.203327,44.265125,1171.7032
57.34113,42.52401,1253.77
54.67394,40.903534,1179.5524
152.9344,39.39534,1109.7444
143.75415,37.991642,1044.084
135.19939,36.685207,1044.7166
127.22747,35.46929,1220.0853
119.79871,34.33762,1147.869
112.8761,33.284367,1079.9435
106.42515,32.304085,1016.0538
100.41372,31.39173,955.9601
110.76527,62.222122,899.4369
104.45813,59.236805,846.27203
98.58072,99.08349,1036.3676
93.10375,93.54412,975.0669
87.99995,88.388565,1119.808
83.24388,83.590225,1053.5497
78.81187,79.12435,991.22815
74.68181,74.96791,932.6095
70.83315,104.066376,923.6617
67.24671,98.18175,955.3284
63.90463,92.70486,898.8427
60.790253,87.60745,845.71313
57.888073,82.863235,827.4172
55.18362,78.44774,778.5314
52.66343,76.23382,732.5501
50.314953,72.277664,689.30084
48.12648,107.788216,676.99457
46.087116,101.64571,637.04614
44.186703,95.92881,900.89105
81.37525,90.608025,847.6398
77.07054,85.6559,882.8044
73.059135,81.0469,915.82886
69.32104,76.75725,935.29865
65.83762,72.764824,916.86615
62.591545,129.9049,862.6657
59.566628,122.22997,811.6856
76.49427,124.341934,763.7345
72.522125,117.05246,718.63245
68.8206,131.78976,754.86395
95.07692,123.984245,845.86816
89.83868,116.71955,806.0933
84.95734,109.95821,758.4745
80.40857,128.31451,763.42523
76.16973,120.74978,718.34155
72.219696,113.70919,675.9365
68.53879,107.15643,650.1039
65.108665,101.0577,611.7532
61.91226,95.38154,736.39417
58.93363,90.09867,692.9165
56.15794,85.18184,652.0221
53.57137,80.60569,613.55743
51.16103,76.34661,577.3782
94.086876,72.38263,543.3485
88.91609,68.69331,549.43933
84.09761,65.25961,517.06964
79.60742,62.063835,486.62323
76.07247,59.089485,712.2718
72.12905,107.51293,873.0159
106.18309,101.3895,821.42084
100.18815,152.87233,772.8913
116.50777,143.60603,727.2452
123.76541,134.98178,684.3111
116.57253,126.95509,877.30743
109.86973,119.48456,825.4574
103.62361,112.53164,776.68805
97.803055,106.06047,730.81635
92.379074,100.03768,687.6701
87.324646,94.4322,647.0874
82.61459,89.2151,790.3809
133.28242,84.3595,751.5847
125.441124,79.840324,822.0563
118.13408,75.63427,773.489
111.32488,147.06528,805.1121
104.97962,138.20134,757.5516
159.2756,129.95157,712.81683
149.66331,122.273415,670.74005
140.70595,115.12726,631.16327
132.35886,108.47625,593.9379
124.580475,102.28607,558.9244
117.33207,128.64131,565.7903
110.577515,121.053955,532.4491
104.28317,113.992294,609.0789
98.41768,107.41992,661.1067
92.95182,152.29605,743.55536
103.00638,143.0697,699.6522
97.22788,134.4826,658.3576
91.84309,136.39212,619.51654
86.82518,128.26772,582.9832
82.149155,120.70622,715.76
160.30396,113.668655,673.50836
150.6216,107.118706,677.79565
141.59894,146.84232,637.7997
133.191,137.99385,600.18005
125.35593,129.75845,564.7956
118.05469,122.09367,531.51355
121.59466,114.95998,500.20895
114.54968,108.32056,470.7643
107.9847,102.14117,454.8344
101.86701,96.38994,428.08572
96.166145,91.0372,402.9263
90.85369,86.05534,385.52673
85.90319,81.41867,529.274
81.289986,77.10326,563.7812
111.64405,73.08685,535.9613
105.27704,69.34874,504.39243
99.343834,65.86964,474.69922
93.81487,62.63159,446.77026
88.66262,59.6179,443.43927
83.861404,56.81302,417.3676
79.387314,54.202488,392.84503
75.218056,51.772835,369.77945
71.332855,49.511524,348.08432
67.71237,47.4069,327.67822
64.33856,58.32324,308.48456
61.19462,55.608067,290.43127
58.264885,128.11115,330.68634
55.53476,127.37224,311.31393
76.184296,119.872795,319.97925
72.23328,112.892975,301.243
102.502464,106.396774,372.86008
96.7583,100.35068,350.9819
91.4055,94.7235,330.40363
86.417404,89.48623,311.04803
81.76916,84.61183,391.05585
77.43762,80.07517,368.0966
73.40119,75.85285,346.50143
69.63979,71.92309,326.18936
66.13467,68.26561,307.08414
62.868347,64.86155,289.11407
59.82457,61.69335,433.77875
56.98818,58.744667,543.63794
54.34504,56.000298,511.61295
51.88199,53.446075,481.49075
49.586746,51.06883,453.15826
47.44789,48.856297,426.50916
45.454758,46.84076,401.44342
43.597427,44.921185,377.86697
41.866646,43.134613,355.6913
40.25378,41.471832,334.83322
38.75081,39.92426,315.21442
37.350235,38.48391,296.7613
36.045094,37.143364,279.40454
34.828873,35.895706,263.07907
33.695515,34.73449,275.09003
32.639374,33.653736,335.31076
31.655195,32.647865,445.96484
30.738071,31.711687,419.74313
29.883432,52.70005,395.0794
29.087025,50.374496,371.88107
28.344877,48.210075,350.06107
27.653294,46.195625,329.5375
27.008831,80.71502,310.23337
30.619085,76.448364,302.055
29.772556,72.47733,284.38373
28.983698,68.78145,279.46768
28.248592,65.341644,263.13846
27.56357,62.140186,247.77945
43.66594,59.16055,233.33298
41.930485,56.387356,219.74486
40.313274,53.806316,206.96408
38.806248,51.40411,194.94267
37.4019,49.16835,239.82895
36.093235,47.0875,225.85486
34.873734,45.15083,212.71104
33.73732,43.348347,200.34818
32.678333,41.670757,188.71985
31.691498,40.1094,177.78242
30.771898,38.656227,167.49486
29.914957,37.30374,157.81853
29.1164,36.044968,176.43816
28.372252,34.87341,166.23045
27.678802,33.783028,156.62924
27.032602,32.7682,147.5985
26.43043,31.823685,139.10431
25.869284,30.944613,131.11479
25.34637,30.126451,123.600006
24.859085,29.364977,190.6726
24.405,28.656265,210.15504
23.981855,27.996658,197.94405
23.587538,27.382753,186.45857
23.220087,26.811384,175.6555
22.87767,26.279606,165.49431
22.558586,25.784672,155.93684
22.26124,25.324032,146.94724
21.984156,24.895308,138.49174
21.725948,24.49629,130.53865
21.485332,24.12492,123.058075
21.261112,23.77928,133.1327
21.052168,23.45759,125.49801
20.85746,23.158188,136.4514
20.676018,22.879532,128.6195
20.506939,22.620182,121.252975
20.349379,22.378803,114.32412
20.202553,22.154148,107.80694
20.065733,21.94506,109.437035
19.938232,21.75046,103.21022
19.819422,21.569342,97.35338
19.708704,21.400772,168.95244
19.60553,21.243883,159.1895
19.509386,21.097866,150.00664
19.419792,20.961966,208.11504
19.336304,20.83548,196.02524
19.258503,20.71776,252.7711
19.186003,20.608196,238.02806
19.118443,20.506224,224.16098
19.055485,20.411316,211.11781
18.996817,20.322985,198.84961
18.942146,20.240774,187.31032
18.891201,20.164259,176.45665
18.843725,20.093046,166.24785
18.799486,20.026768,156.6456
18.758259,19.96508,187.78947
18.719843,19.907667,176.90733
18.684042,19.854233,166.67175
18.650682,19.8045,157.04433
18.619595,19.758215,192.81561
18.590626,19.715136,181.63484
18.56363,19.675041,171.11838
18.538473,19.637726,161.22675
18.515032,19.602995,151.92284
18.493187,19.570671,164.7235
18.47283,19.540586,155.21182
18.45386,19.512587,146.26529
18.436182,19.486526,137.85031
18.41971,19.46227,129.93532
18.404358,19.439697,122.49059
18.390055,19.418688,115.4882
18.376724,19.399134,108.901855
18.364302,19.380936,102.70684
18.352726,19.363997,96.879906
18.34194,19.348232,91.39918
18.331888,19.333559,86.24409
18.322521,19.319904,81.395294
18.313791,19.307196,76.83459
18.305658,19.295366,72.54486
18.298079,19.284357,68.51001
18.291014,19.27411,64.71489
18.284431,19.264574,61.145252
18.2783,19.255697,57.78771
18.272583,19.247437,54.629654
18.267256,19.239748,51.659237
18.262293,19.232594,48.86531
18.257668,19.225933,46.237385
18.253357,19.219734,43.7656
18.24934,19.213966,41.440674
18.245598,19.208597,39.253883
18.242111,19.2036,37.19702
18.23886,19.198948,35.26237
18.235832,19.19462,33.442665
18.23301,19.190592,31.73108
18.23038,19.186842,30.12119
18.227928,19.183352,28.606953
18.225643,19.180103,27.182682
18.223516,19.17708,25.843033
18.221533,19.174267,24.582981
18.219685,19.171648,23.397797
18.217962,19.169212,22.283031
18.216356,19.166943,21.234497
18.21486,19.164831,20.248264
18.213469,19.162867,19.32063
18.21217,19.16104,18.448109
18.210958,19.159336,17.627428
18.209831,19.157753,16.85551
18.20878,19.156279,16.129456
18.207802,19.154905,15.446539
18.206888,19.15363,14.804198
18.206038,19.152441,14.200023
18.205246,19.151335,13.631744
18.204508,19.150305,13.097231
18.20382,19.149345,12.594475
18.203178,19.148455,12.121592
18.20258,19.147625,11.676804
18.202023,19.146852,11.258444
18.201504,19.146133,10.864941
18.201021,19.145464,10.494817
18.20057,19.14484,10.146685
18.20015,19.14426,9.819237
18.199759,19.143723,9.511244
18.199394,19.143219,9.221552
18.199055,19.142752,8.94907
18.198738,19.142317,8.69278
18.198442,19.141912,8.451715
18.198168,19.141535,8.224975
18.19791,19.141186,8.011705
18.197672,19.140858,7.8111076
18.19745,19.140554,7.622429
18.197243,19.140272,7.4449606
18.19705,19.140009,7.278036
18.196869,19.139765,7.12103
18.196701,19.139536,6.9733515
18.196545,19.139324,6.8344483
18.1964,19.139126,6.703798
18.196264,19.138943,6.5809097
18.196136,19.138771,6.4653234
18.196018,19.138613,6.3566046
18.19591,19.138464,6.2543454
18.195807,19.138327,6.158162
18.195711,19.138199,6.067693
18.195623,19.138079,5.9825997
18.19554,19.137968,5.902562
18.195463,19.137865,5.8272796
18.19539,19.137768,5.7564707
18.195324,19.137678,5.6898685
18.195261,19.137594,5.6272235
18.195202,19.137518,5.5683002
18.195148,19.137445,5.5128784
18.195099,19.137379,5.4607496
18.195051,19.137316,5.4117174
18.195007,19.137257,5.365599
18.194965,19.137203,5.322221
18.194927,19.137152,5.2814198
18.194893,19.137106,5.2430425
18.194859,19.137062,5.206946
18.194828,19.13702,5.172994
18.1948,19.136984,5.1410594
18.194773,19.136948,5.111022
18.194748,19.136915,5.0827694
