Cell 1,Cell 6
18.020926,23.262918
18.020926,23.262918
18.020926,23.262918
18.020926,23.262918
18.020926,23.262918
18.020926,23.262918
18.020926,23.262918
18.020926,23.262918
18.020926,40.74614
18.020926,39.895298
18.020926,39.085865
18.020926,38.315823
18.020926,37.583256
18.020926,36.88634
18.020926,36.223343
18.020926,35.59261
18.020926,34.99257
18.020926,34.421734
18.020926,33.878677
18.020926,33.36205
18.020926,32.870564
18.020926,32.402996
18.020926,31.958185
18.020926,31.535019
18.020926,31.132448
18.020926,30.74947
18.020926,30.385128
18.020926,30.038517
35.36905,29.708776
33.846806,29.39508
32.458134,29.096653
31.191315,28.812748
30.035656,28.54266
28.981401,28.285713
28.019655,28.041275
27.1423,27.808731
26.341927,27.587503
25.611786,27.377043
24.945713,52.260643
24.338085,50.849434
23.783775,49.506905
23.278103,48.229713
22.816803,47.01468
22.39598,45.858772
22.012083,44.759117
21.661871,43.712982
21.34239,42.717754
21.050941,41.770966
20.785069,40.870247
20.542522,40.013367
20.32126,48.70213
20.119413,47.464104
19.935278,46.286324
19.7673,45.165863
19.614061,66.47967
19.474268,64.37647
19.346743,62.37564
19.230406,60.472176
19.124279,58.661346
19.027462,56.938637
18.939142,55.299774
18.858572,53.74066
18.78507,52.25743
18.71802,50.84638
18.656853,49.503998
18.601051,48.226944
18.550148,47.012043
18.50371,45.856266
18.461348,44.756737
18.4227,43.710716
18.387447,42.7156
18.355286,41.768913
18.325947,40.868298
18.299183,40.011513
18.274765,39.196423
18.252493,38.421
18.232174,37.683315
18.213636,36.98153
18.196728,36.3139
18.181301,35.678757
18.167229,35.074528
18.15439,41.263496
18.14268,40.387474
18.131996,52.612976
18.12225,51.184624
18.11336,49.825783
18.105247,48.53307
18.097849,47.30327
18.091099,46.13332
18.084942,45.020306
18.079325,43.961456
18.0742,42.95414
18.069525,41.995842
18.065262,66.20055
18.06137,64.11094
18.057821,62.123024
18.054585,60.231857
18.05163,58.432724
18.048937,56.721146
18.046478,55.09286
18.044237,53.543823
18.04219,52.070168
18.040325,50.66823
18.038622,49.33452
18.03707,48.065716
18.035654,46.858658
18.03436,45.710346
18.033182,44.617916
18.032106,43.57865
18.031126,42.589966
18.03023,41.64939
18.029413,40.754593
18.02867,39.903343
18.02799,39.093517
18.02737,38.323105
18.026804,37.590183
18.026289,36.89293
18.025818,36.22961
18.025389,35.59857
18.024998,34.998245
18.02464,34.42713
18.024313,33.883812
18.024017,33.366936
18.023745,32.87521
18.023499,32.407417
18.023272,31.96239
18.023066,35.527794
18.022879,34.93091
18.022707,34.363075
18.02255,33.822872
18.022408,33.30896
18.022278,32.820057
18.02216,32.35495
18.02205,31.912476
18.021952,31.491535
18.021862,31.09108
18.02178,30.710114
18.021706,30.347687
18.021637,30.0029
18.021574,29.67489
18.021517,29.362844
18.021465,29.065985
18.021418,28.783573
18.021376,28.514904
18.021336,28.25931
18.0213,28.016155
18.021267,27.784834
18.021236,27.56477
18.02121,27.355415
18.021185,27.15625
18.021162,26.966776
18.021141,26.786524
18.021122,26.615044
18.021105,26.451908
18.02109,26.296713
18.021074,26.149069
18.02106,26.008612
18.02105,25.874989
18.021038,25.74787
18.021029,25.626938
18.021019,25.51189
18.021011,25.402441
18.021004,25.298319
18.020998,25.199265
18.02099,25.10503
18.020985,25.01538
18.020979,24.930096
18.020975,24.84896
18.020971,24.771774
18.020967,24.698343
18.020964,24.628487
18.02096,24.56203
18.020956,24.498808
18.020954,24.438662
18.020952,24.381443
18.020948,24.32701
18.020947,87.19313
18.020945,84.081894
18.020943,110.228615
18.020943,105.99633
18.02094,101.97002
18.020939,98.13965
18.020939,94.49569
18.020937,91.02907
18.020935,87.731155
18.020935,84.593735
18.020935,81.609
18.020933,78.76952
18.020933,76.06824
18.020931,73.498405
18.020931,71.05364
18.020931,68.72785
18.020931,66.51525
18.02093,64.410324
