 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45
1,569.778,1391.587,1367.876,1878.068,1338.476,1646.693,1218.616,1380.577,1595.279,1396.149,1011.620,1640.966,1613.816,1098.895,1125.792,1513.837,1191.793,1765.150,1522.901,1417.325,1497.749,1008.968,1620.982,1544.751,1511.255,1405.340,1727.644,1348.940,1040.821,1157.074,1303.941,1471.824,967.584,932.376,1063.325,862.535,1207.279,1473.213,1180.774,1241.431,1125.160,1628.191,1364.046,1330.152,1133.883
2,567.849,1392.019,1372.187,1870.839,1336.161,1647.363,1218.046,1379.043,1602.593,1393.010,1008.204,1638.555,1615.551,1097.213,1126.939,1517.214,1185.407,1770.180,1530.128,1419.305,1508.903,1006.829,1614.756,1539.142,1511.183,1408.869,1753.083,1340.760,1033.163,1148.836,1308.605,1470.718,973.605,927.818,1070.519,866.869,1204.679,1472.250,1178.064,1244.706,1128.997,1624.093,1368.342,1307.629,1124.909
3,570.247,1384.667,1350.316,1857.199,1338.506,1640.107,1211.912,1376.814,1589.667,1399.320,1011.053,1643.460,1588.728,1095.000,1125.337,1519.588,1193.464,1761.824,1519.647,1411.717,1497.281,1011.452,1619.331,1533.675,1512.913,1408.531,1723.651,1350.242,1021.332,1161.262,1300.422,1470.368,962.115,929.160,1055.607,864.591,1210.893,1458.375,1183.614,1248.081,1124.285,1616.345,1352.718,1333.993,1131.532
4,567.238,1384.047,1358.686,1852.431,1339.383,1642.429,1212.159,1373.429,1592.673,1397.360,1007.084,1641.720,1606.005,1097.348,1119.762,1524.292,1187.795,1762.104,1526.997,1409.615,1502.492,1010.169,1618.499,1535.960,1510.971,1402.509,1737.655,1350.769,1024.919,1153.246,1304.711,1470.089,970.745,930.210,1062.664,856.355,1203.929,1469.730,1178.781,1246.047,1126.767,1618.200,1353.239,1322.347,1126.457
5,573.967,1385.554,1361.537,1843.455,1337.444,1640.604,1212.924,1377.594,1601.372,1398.606,1014.230,1648.502,1583.626,1098.023,1116.762,1513.323,1191.092,1758.756,1513.219,1411.924,1504.155,1009.701,1621.504,1530.658,1509.070,1413.722,1734.058,1362.929,1029.596,1154.234,1302.864,1462.137,971.394,925.583,1054.282,859.695,1211.643,1462.754,1177.942,1255.504,1131.192,1619.724,1361.627,1317.024,1131.029
6,569.036,1379.497,1353.155,1837.890,1334.141,1640.935,1218.014,1376.208,1597.505,1396.841,1010.659,1641.083,1595.923,1103.314,1122.709,1511.180,1189.004,1772.855,1514.505,1416.536,1497.299,1005.226,1611.803,1533.721,1512.631,1409.075,1750.924,1356.772,1027.136,1157.075,1306.170,1472.940,974.261,929.163,1056.744,861.429,1207.539,1460.523,1180.282,1256.846,1128.195,1608.252,1370.044,1329.749,1132.731
7,565.022,1382.808,1360.146,1831.567,1325.064,1643.176,1209.802,1373.129,1591.681,1395.827,1007.678,1639.703,1582.813,1099.674,1116.698,1518.017,1188.782,1762.275,1515.175,1413.232,1493.038,1003.759,1615.659,1528.672,1513.499,1404.626,1735.417,1348.336,1030.668,1144.962,1300.343,1473.026,964.141,919.826,1053.368,858.296,1209.956,1457.782,1178.939,1250.019,1122.815,1612.945,1367.806,1320.085,1131.119
8,574.559,1382.143,1353.260,1829.244,1338.838,1641.315,1214.029,1377.226,1593.530,1396.005,1012.151,1642.025,1593.889,1101.850,1118.677,1520.316,1184.080,1762.312,1525.800,1407.971,1506.310,1005.742,1623.296,1528.247,1505.162,1399.506,1751.281,1360.775,1030.485,1152.003,1308.335,1466.354,972.501,929.793,1051.638,864.513,1212.164,1465.914,1186.158,1247.171,1133.254,1615.908,1368.891,1326.610,1134.001
9,567.779,1384.714,1359.203,1817.515,1329.794,1634.459,1216.082,1372.973,1574.021,1394.213,1009.295,1636.000,1587.500,1097.265,1111.050,1508.561,1183.582,1763.078,1529.709,1407.258,1502.597,998.352,1613.946,1529.949,1508.915,1403.869,1734.242,1354.599,1022.080,1150.758,1307.078,1462.394,964.466,928.101,1048.070,864.070,1205.891,1463.304,1180.077,1248.278,1127.932,1610.025,1359.303,1315.959,1130.805
10,569.437,1385.421,1353.916,1814.423,1334.521,1649.675,1216.332,1371.530,1590.475,1395.817,1012.000,1639.039,1598.155,1100.629,1116.968,1511.738,1186.012,1758.335,1534.349,1412.273,1502.091,1000.016,1613.755,1524.888,1508.769,1400.338,1729.633,1356.433,1036.078,1164.189,1310.971,1474.842,970.216,933.198,1057.634,864.185,1206.645,1462.410,1182.146,1250.889,1123.457,1618.279,1360.305,1317.682,1134.644
