 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
1,673.564,1821.158,1347.485,1634.311,1682.547,1546.750,1343.527,1854.957,1342.829,1704.143,1671.675,1916.040,1614.404,1479.126,1943.331,1283.784,1397.585,1673.189,1381.603,1696.635,1178.298,1814.855,1104.788,2175.494,1399.242,1340.093,2625.574,1693.198,1667.203,1761.212,1719.028,2173.965,1542.609,2156.799
2,671.193,1831.557,1346.216,1629.622,1682.489,1538.849,1342.602,1839.194,1353.078,1693.607,1667.463,1920.357,1603.869,1470.670,1912.358,1284.649,1405.096,1666.764,1378.681,1701.839,1172.900,1814.450,1103.491,2167.525,1401.906,1337.593,2603.231,1695.314,1661.352,1762.481,1729.141,2174.690,1536.487,2170.295
3,674.349,1817.302,1349.641,1619.927,1679.832,1532.269,1340.837,1845.868,1346.068,1708.235,1668.739,1908.707,1619.378,1477.732,1918.210,1291.397,1399.977,1656.108,1382.014,1703.538,1177.496,1816.858,1109.359,2183.774,1402.182,1341.240,2619.290,1704.607,1667.986,1747.710,1718.804,2172.296,1543.806,2176.664
4,680.903,1830.916,1344.870,1633.392,1681.709,1534.239,1339.693,1843.557,1343.769,1707.239,1669.441,1903.939,1614.193,1475.571,1923.895,1283.957,1400.045,1660.661,1377.455,1701.931,1178.426,1812.030,1106.453,2169.254,1405.203,1341.618,2596.517,1702.561,1669.862,1771.964,1720.165,2162.375,1539.875,2175.038
5,671.820,1812.057,1342.859,1626.732,1674.728,1537.141,1338.648,1852.653,1340.612,1697.113,1660.425,1905.863,1620.330,1465.077,1923.796,1280.812,1394.190,1659.347,1375.856,1699.381,1173.648,1814.538,1102.445,2180.170,1401.975,1336.749,2604.704,1693.699,1663.381,1738.870,1724.519,2154.040,1527.420,2172.654
6,677.280,1834.130,1343.927,1629.712,1676.308,1536.273,1343.391,1857.415,1349.244,1707.293,1670.968,1909.412,1615.821,1482.251,1918.946,1293.237,1401.313,1676.794,1391.198,1700.718,1171.953,1816.186,1108.849,2180.056,1405.931,1342.753,2592.854,1704.222,1673.168,1764.595,1732.476,2164.428,1541.078,2163.354
7,673.063,1826.011,1342.995,1624.226,1680.223,1536.510,1340.719,1857.894,1343.945,1702.751,1672.391,1912.217,1626.110,1470.612,1927.596,1284.720,1397.081,1655.824,1384.963,1697.942,1173.947,1814.993,1108.804,2183.411,1407.758,1340.694,2600.699,1702.899,1668.944,1751.348,1739.699,2173.463,1533.400,2169.322
8,677.451,1812.975,1345.801,1630.979,1684.363,1540.148,1341.199,1852.615,1339.749,1707.703,1672.276,1907.480,1636.922,1478.020,1925.734,1287.281,1394.923,1664.478,1390.617,1702.837,1178.583,1814.873,1109.602,2197.895,1400.792,1345.109,2606.963,1691.388,1678.544,1748.325,1718.740,2187.037,1529.094,2192.289
9,672.704,1837.358,1342.866,1622.901,1683.478,1528.182,1339.887,1847.235,1347.351,1700.995,1671.499,1908.118,1614.966,1484.077,1911.170,1300.056,1409.223,1658.802,1391.345,1695.685,1171.295,1816.014,1107.293,2188.938,1409.513,1342.853,2583.086,1693.816,1666.463,1765.710,1743.017,2170.556,1529.367,2170.250
10,671.657,1805.641,1339.087,1616.321,1678.592,1537.060,1341.035,1857.236,1331.733,1696.904,1653.308,1901.849,1619.927,1460.333,1918.865,1286.870,1392.776,1654.551,1387.317,1696.143,1175.188,1818.130,1105.704,2197.642,1401.522,1343.217,2594.676,1691.492,1666.907,1734.516,1722.089,2171.655,1537.013,2167.333
11,675.680,1831.989,1342.310,1623.300,1688.543,1542.328,1343.895,1845.382,1346.535,1706.558,1676.173,1908.020,1617.570,1478.148,1909.527,1293.641,1405.847,1663.149,1403.802,1703.056,1175.130,1817.216,1109.189,2185.146,1402.645,1344.683,2579.128,1698.048,1669.678,1748.708,1743.430,2177.158,1531.316,2187.190
12,675.662,1824.376,1342.552,1624.873,1691.625,1539.332,1336.616,1843.372,1342.089,1701.240,1671.824,1909.088,1621.436,1477.395,1915.089,1290.664,1406.706,1652.500,1404.150,1700.795,1174.731,1815.374,1111.020,2190.393,1400.733,1341.559,2593.114,1685.778,1668.852,1754.805,1737.818,2188.587,1522.011,2172.975
13,678.163,1831.459,1348.345,1636.076,1685.482,1539.534,1347.302,1851.835,1349.248,1710.855,1678.877,1920.433,1623.124,1493.511,1921.707,1306.596,1411.284,1671.586,1408.006,1708.528,1178.001,1823.917,1114.163,2201.800,1405.078,1346.807,2579.665,1707.367,1672.869,1750.913,1752.171,2180.818,1524.887,2201.724
14,679.233,1836.691,1348.264,1637.217,1686.801,1547.156,1349.429,1853.672,1354.304,1703.714,1672.684,1923.727,1622.773,1486.707,1923.473,1297.330,1408.551,1667.162,1412.904,1707.467,1179.388,1814.856,1112.451,2203.397,1412.533,1341.152,2598.195,1712.075,1675.087,1759.187,1741.886,2184.127,1530.225,2210.453
