 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41
1,773.356,1734.292,1834.991,1879.607,2046.102,1660.338,1740.370,1852.798,1749.461,1549.667,2205.918,2196.949,1322.262,1890.391,1894.755,1632.511,1865.384,2111.697,1936.174,1246.765,1427.426,1465.311,1224.244,1849.804,1421.025,2140.604,2046.434,1833.776,1954.698,1681.985,2064.432,1724.425,1379.533,1576.917,1654.466,1903.142,1930.048,1832.253,1958.417,2752.319,2451.689
2,758.364,1738.195,1845.072,1882.576,2040.226,1658.024,1751.965,1857.313,1749.204,1549.583,2202.754,2205.566,1320.816,1886.104,1884.280,1635.264,1858.622,2112.971,1944.892,1249.271,1441.219,1458.668,1231.332,1850.009,1416.331,2146.049,2061.570,1840.875,1962.222,1685.645,2066.006,1722.805,1373.806,1593.586,1665.368,1889.411,1900.086,1839.896,1950.210,2748.514,2439.531
3,771.951,1729.743,1834.367,1896.776,2059.946,1657.576,1737.570,1855.103,1758.878,1548.834,2195.195,2208.260,1319.572,1896.958,1894.827,1629.822,1868.136,2115.918,1933.723,1234.085,1419.898,1455.630,1229.576,1838.666,1429.688,2136.127,2060.640,1825.287,1956.827,1691.917,2075.033,1728.702,1377.380,1592.902,1659.998,1903.551,1918.008,1828.053,1953.541,2763.745,2423.280
4,767.179,1742.622,1840.066,1892.347,2044.414,1664.335,1760.062,1851.494,1757.780,1552.604,2217.461,2209.672,1324.625,1893.597,1889.770,1638.138,1861.943,2119.300,1955.715,1248.696,1431.224,1466.579,1237.949,1856.648,1428.711,2154.489,2041.840,1839.120,1970.758,1697.525,2095.346,1736.721,1385.371,1595.134,1669.168,1883.147,1896.793,1816.270,1958.501,2766.714,2450.513
5,756.955,1727.591,1830.639,1881.828,2046.251,1652.120,1738.909,1844.597,1752.544,1545.626,2196.979,2208.795,1320.676,1880.025,1895.099,1625.879,1856.040,2112.885,1938.450,1243.047,1423.989,1448.920,1226.204,1839.823,1416.293,2130.382,2052.783,1828.172,1944.213,1680.992,2066.812,1720.157,1372.591,1584.623,1646.222,1871.217,1917.424,1825.096,1938.760,2749.940,2421.740
6,762.004,1734.210,1840.923,1887.165,2042.146,1661.375,1752.387,1856.718,1763.151,1544.059,2201.438,2209.080,1319.723,1881.687,1894.017,1635.552,1858.382,2098.078,1944.876,1235.631,1433.844,1456.054,1224.881,1835.685,1420.119,2149.598,2054.132,1838.177,1947.131,1716.379,2080.275,1727.389,1372.380,1576.115,1660.876,1874.578,1917.825,1826.868,1947.808,2778.784,2432.854
7,769.094,1729.655,1832.945,1884.403,2046.170,1661.144,1742.019,1852.924,1752.952,1548.899,2194.955,2215.921,1316.596,1880.361,1893.846,1633.411,1874.100,2112.984,1938.383,1235.480,1428.854,1449.935,1228.564,1838.922,1423.570,2144.088,2056.107,1830.390,1956.922,1694.697,2097.471,1740.853,1375.366,1583.902,1661.682,1877.763,1914.051,1829.438,1940.350,2755.728,2449.220
8,767.904,1739.872,1837.121,1880.912,2049.567,1656.863,1758.659,1854.235,1764.229,1549.529,2196.789,2209.223,1321.287,1882.749,1897.997,1640.981,1855.150,2113.477,1953.410,1249.347,1438.367,1455.492,1233.533,1849.469,1425.686,2159.178,2059.289,1845.176,1932.583,1696.116,2096.099,1743.473,1384.604,1580.768,1667.979,1872.647,1917.688,1841.987,1939.408,2777.695,2449.099
9,757.914,1737.169,1837.767,1888.492,2052.473,1664.573,1746.762,1848.141,1757.670,1543.511,2189.823,2208.117,1319.578,1879.102,1890.091,1628.492,1857.602,2110.373,1941.436,1240.858,1434.833,1453.166,1226.319,1844.167,1418.253,2151.828,2058.879,1847.946,1942.618,1698.202,2096.688,1747.103,1374.439,1583.800,1657.565,1867.864,1918.118,1828.017,1951.836,2767.354,2424.147
10,767.811,1737.215,1836.729,1881.669,2045.318,1664.623,1753.177,1856.182,1765.603,1542.369,2197.086,2208.020,1315.386,1887.175,1893.085,1629.914,1855.258,2103.372,1939.219,1246.666,1434.660,1447.660,1234.806,1838.040,1413.880,2149.094,2057.046,1833.358,1953.934,1695.713,2092.134,1741.265,1376.165,1575.846,1642.281,1870.331,1916.535,1831.503,1960.213,2766.726,2435.249
