 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67
1,682.254,2011.543,1422.690,2103.062,1759.923,1839.869,1751.368,1529.572,1786.151,1604.117,1758.434,1942.125,1354.577,1596.841,1732.862,2071.680,1640.163,1676.350,1404.184,1304.344,1478.973,1235.806,1264.459,1445.782,1593.865,1049.708,1121.426,1435.368,1490.818,1272.797,1508.939,1529.997,1572.159,1767.665,1824.985,1341.475,1603.649,1286.275,1420.853,1469.851,1413.046,1657.627,1738.375,1390.658,1849.388,1894.946,1495.721,1553.463,1280.482,1116.082,1314.577,1368.497,3505.612,1213.516,1292.551,1184.341,1461.832,1749.937,1683.352,1330.250,1679.562,1688.601,1704.974,1576.278,1623.949,1728.203,1133.730
2,682.901,2009.020,1414.340,2053.695,1750.008,1841.878,1746.334,1518.416,1777.422,1595.256,1770.323,1931.505,1352.781,1604.675,1722.394,2064.484,1646.114,1692.650,1403.017,1301.011,1480.155,1240.048,1269.279,1451.436,1574.815,1047.957,1119.550,1435.748,1489.774,1263.507,1505.538,1520.996,1562.002,1757.547,1827.852,1338.179,1623.093,1285.397,1437.409,1487.829,1404.903,1644.969,1766.381,1394.421,1884.175,1863.216,1480.443,1554.254,1287.606,1109.936,1325.687,1360.809,3520.497,1207.216,1283.976,1168.829,1463.711,1752.685,1690.257,1320.089,1690.389,1721.638,1682.501,1582.476,1635.195,1720.891,1140.175
3,681.873,2008.820,1416.319,2093.031,1763.680,1842.316,1761.172,1532.366,1769.899,1606.560,1762.025,1919.935,1350.316,1601.056,1735.451,2071.982,1652.836,1667.640,1401.306,1295.593,1477.162,1242.408,1261.048,1458.047,1586.212,1049.560,1120.141,1423.273,1488.785,1264.543,1514.391,1538.225,1556.493,1765.186,1832.896,1332.524,1608.254,1281.099,1412.903,1482.902,1407.538,1647.929,1750.105,1390.755,1867.266,1884.604,1498.135,1554.296,1256.958,1112.214,1327.801,1373.419,3491.869,1221.200,1294.150,1185.444,1466.929,1750.661,1683.264,1328.238,1677.049,1698.479,1711.215,1585.146,1621.219,1721.433,1134.109
4,678.418,2016.619,1415.562,2054.564,1748.053,1852.118,1760.412,1525.599,1781.189,1595.524,1763.870,1928.514,1348.135,1602.644,1728.632,2070.287,1652.446,1681.136,1400.007,1297.885,1472.567,1239.161,1266.790,1451.642,1583.027,1048.097,1125.534,1434.001,1495.400,1261.903,1514.955,1532.142,1569.215,1779.746,1828.306,1338.885,1625.976,1275.333,1424.707,1464.544,1410.235,1649.353,1770.908,1392.329,1882.111,1881.775,1481.718,1539.896,1277.157,1112.081,1315.141,1360.053,3521.282,1224.008,1287.860,1178.524,1453.203,1763.575,1687.603,1329.968,1684.208,1710.041,1680.055,1568.230,1640.513,1719.234,1137.230
5,690.180,2018.358,1407.488,2077.735,1737.756,1845.753,1753.464,1523.828,1796.513,1606.435,1767.378,1936.113,1352.710,1600.908,1731.068,2063.974,1646.381,1672.847,1386.770,1290.245,1474.954,1239.863,1259.450,1447.489,1579.808,1045.806,1122.887,1431.653,1494.775,1261.087,1509.869,1530.215,1555.077,1775.063,1814.172,1326.127,1631.007,1271.939,1425.339,1473.987,1412.956,1643.721,1746.204,1388.323,1883.131,1880.495,1480.313,1543.126,1281.144,1115.950,1321.524,1362.007,3507.022,1226.110,1288.216,1176.015,1454.471,1763.399,1684.187,1323.289,1706.008,1710.784,1705.983,1581.844,1619.064,1716.644,1137.018
6,680.276,2017.479,1412.779,2065.079,1745.525,1848.515,1740.569,1522.738,1784.543,1591.382,1773.770,1922.884,1339.340,1600.022,1729.428,2077.992,1639.295,1671.649,1401.810,1301.496,1474.911,1239.521,1256.743,1452.883,1583.203,1045.017,1117.246,1427.437,1491.468,1268.608,1500.429,1528.167,1560.263,1761.007,1820.765,1329.143,1620.015,1284.973,1439.685,1487.614,1412.677,1647.970,1761.574,1387.236,1877.649,1878.809,1477.874,1557.110,1278.368,1109.569,1314.223,1362.824,3511.275,1221.606,1284.146,1180.375,1456.179,1754.757,1695.982,1326.190,1707.025,1690.843,1676.603,1579.990,1636.472,1725.739,1135.839
7,685.480,2035.661,1413.877,2069.451,1755.053,1846.835,1761.561,1519.908,1787.152,1603.135,1779.670,1929.042,1358.578,1600.155,1730.717,2067.816,1651.468,1683.459,1407.601,1301.969,1465.652,1240.105,1259.041,1450.199,1581.438,1047.463,1119.907,1431.804,1494.114,1261.323,1502.506,1514.145,1575.837,1765.720,1826.464,1323.306,1623.174,1286.029,1433.748,1458.268,1416.905,1648.729,1761.534,1385.861,1882.165,1883.741,1479.360,1552.158,1274.005,1115.558,1315.005,1367.269,3523.179,1221.419,1287.137,1182.134,1461.613,1757.567,1690.512,1333.638,1694.200,1704.704,1690.931,1589.209,1643.421,1727.335,1136.348
8,669.824,2021.236,1408.315,2070.040,1752.486,1838.844,1750.594,1521.760,1787.860,1598.222,1778.402,1911.710,1342.469,1603.338,1730.416,2047.936,1650.287,1677.729,1396.885,1301.993,1473.202,1244.018,1260.208,1441.645,1581.510,1040.009,1122.289,1433.388,1476.532,1260.971,1505.872,1524.990,1568.961,1752.443,1826.469,1325.537,1616.113,1275.369,1422.169,1478.156,1406.294,1653.630,1743.283,1379.461,1879.216,1874.841,1479.515,1555.341,1276.563,1110.268,1311.714,1356.275,3510.596,1229.785,1285.553,1174.015,1463.225,1756.184,1684.626,1321.276,1684.731,1689.257,1689.567,1582.820,1632.126,1719.833,1131.749
9,689.362,2021.714,1418.344,2060.061,1757.893,1845.104,1744.497,1532.224,1791.903,1603.807,1780.149,1925.674,1347.824,1604.786,1733.040,2061.115,1651.854,1689.144,1407.032,1300.479,1474.947,1246.464,1260.199,1451.572,1584.886,1051.347,1125.717,1430.329,1489.272,1265.379,1511.279,1520.473,1552.752,1767.438,1829.260,1328.705,1613.168,1283.060,1424.203,1469.096,1412.601,1647.799,1769.223,1395.283,1868.473,1874.444,1475.710,1550.667,1279.105,1109.000,1312.716,1357.955,3529.449,1226.213,1290.290,1180.937,1457.000,1752.762,1684.566,1333.217,1698.191,1700.128,1681.237,1581.403,1628.595,1728.992,1133.637
10,697.910,2026.601,1419.455,2068.271,1763.012,1839.621,1754.257,1525.166,1806.959,1603.620,1777.887,1934.020,1360.164,1610.500,1737.075,2055.000,1650.288,1675.458,1397.221,1302.325,1474.489,1249.106,1260.559,1443.920,1598.521,1053.786,1126.709,1438.893,1497.202,1271.578,1512.035,1529.362,1577.446,1751.538,1838.031,1337.914,1617.725,1292.326,1440.297,1457.037,1419.510,1648.288,1756.491,1389.691,1887.386,1892.653,1474.480,1547.991,1263.789,1116.887,1329.084,1373.310,3507.633,1226.715,1292.341,1179.801,1462.775,1781.692,1694.052,1329.901,1688.564,1688.081,1718.506,1580.776,1623.271,1734.383,1137.498
