 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70
1,715.763,1647.556,1528.282,2508.502,1651.071,1876.333,1883.528,2630.835,1704.889,2431.703,1865.426,1782.493,1997.160,1487.305,1727.356,1677.001,2237.395,1723.107,1726.044,1736.028,1670.493,1709.749,2093.053,1675.572,1564.800,1819.439,1905.599,1860.245,1977.873,2259.184,2157.248,1996.945,1391.680,2923.603,2496.939,2398.501,2188.186,2053.140,2666.467,2290.705,2326.431,2539.686,1725.358,1594.708,1523.626,1654.529,1655.437,2041.465,1500.943,1383.605,1479.616,1466.203,1385.242,1529.457,1505.413,1638.680,1769.457,1417.473,2420.046,1984.488,1303.984,1363.381,1701.646,1367.018,1406.916,1353.569,1159.829,1287.828,1741.626,1352.422
2,704.074,1645.672,1527.506,2519.264,1649.613,1892.768,1884.966,2642.156,1711.063,2406.862,1822.550,1779.011,2035.887,1486.695,1752.145,1697.778,2264.494,1715.502,1721.666,1738.204,1697.553,1747.393,2111.989,1706.543,1550.082,1826.679,1873.603,1876.114,2001.854,2265.316,2186.702,2009.513,1346.670,2925.088,2511.533,2409.957,2183.974,2013.251,2704.230,2304.682,2330.440,2628.402,1720.439,1599.094,1533.840,1641.629,1648.317,2020.100,1494.586,1400.814,1482.564,1464.040,1390.238,1514.432,1538.664,1650.521,1726.010,1439.854,2427.978,1969.332,1295.345,1380.088,1694.077,1404.882,1425.131,1323.757,1152.804,1343.187,1747.276,1364.870
3,710.766,1647.929,1528.099,2513.717,1648.067,1886.193,1897.770,2622.123,1703.180,2426.835,1869.798,1784.294,2015.074,1492.405,1732.526,1701.198,2252.900,1728.994,1739.436,1737.322,1676.657,1710.599,2086.336,1688.566,1557.210,1820.807,1889.214,1874.293,1989.544,2262.156,2164.656,2020.391,1383.431,2906.032,2509.274,2405.280,2181.524,2043.232,2657.715,2302.283,2333.443,2569.513,1712.395,1577.879,1521.444,1644.273,1644.466,2018.465,1505.556,1377.577,1466.000,1457.824,1371.870,1515.699,1523.480,1646.811,1769.658,1419.321,2424.456,1999.707,1300.464,1357.537,1711.063,1381.714,1395.431,1333.501,1150.083,1311.354,1728.412,1349.207
4,706.885,1651.648,1535.422,2505.453,1645.655,1896.931,1888.236,2653.033,1716.719,2408.842,1839.589,1799.778,2018.972,1494.826,1743.260,1694.828,2251.557,1713.359,1728.657,1744.594,1690.300,1728.118,2099.472,1700.206,1565.190,1833.065,1890.061,1867.102,2002.480,2258.699,2156.817,2004.676,1377.811,2908.110,2496.438,2424.530,2200.896,2007.833,2704.537,2333.326,2327.133,2598.574,1719.960,1596.287,1526.758,1650.305,1659.106,2026.074,1505.664,1391.897,1479.969,1453.394,1369.576,1507.085,1539.803,1636.426,1729.594,1437.396,2443.304,1986.995,1306.519,1367.833,1692.098,1379.911,1406.370,1354.821,1152.333,1316.608,1741.486,1361.071
5,713.524,1649.153,1528.253,2503.091,1660.026,1883.845,1902.236,2620.067,1704.644,2451.199,1909.027,1795.012,1904.117,1486.410,1732.373,1683.027,2209.764,1738.240,1732.708,1738.499,1640.906,1698.754,2081.128,1694.042,1557.574,1821.651,1883.520,1873.994,1975.906,2264.505,2157.581,2031.398,1429.266,2891.547,2501.400,2419.915,2204.731,2061.646,2624.775,2295.411,2324.435,2533.790,1720.239,1581.090,1513.193,1682.274,1661.514,2031.629,1516.143,1388.044,1482.998,1460.555,1360.314,1518.961,1502.100,1650.994,1772.267,1417.415,2445.517,1988.726,1311.247,1348.401,1715.745,1386.987,1409.753,1362.680,1142.504,1298.356,1745.702,1340.572
6,716.505,1647.438,1529.967,2506.172,1656.725,1901.963,1901.871,2653.020,1717.316,2431.082,1864.305,1814.285,1988.526,1493.813,1745.981,1691.547,2241.933,1735.711,1738.092,1735.463,1677.774,1711.408,2103.677,1707.652,1554.064,1825.001,1886.623,1868.690,2016.259,2305.796,2163.804,2027.058,1399.300,2919.176,2524.421,2416.206,2179.528,2021.422,2677.267,2329.016,2346.770,2594.677,1714.312,1597.747,1532.606,1660.703,1658.378,2036.429,1505.101,1407.232,1480.508,1455.554,1384.351,1511.253,1531.287,1638.030,1775.456,1419.845,2436.626,1988.955,1303.619,1381.090,1711.520,1377.670,1418.505,1340.147,1177.199,1326.758,1751.872,1366.503
7,714.656,1654.189,1531.283,2516.616,1650.147,1902.620,1894.416,2640.033,1720.439,2433.615,1884.415,1820.257,1981.977,1489.026,1733.303,1666.314,2225.701,1733.928,1735.616,1735.696,1696.781,1698.150,2082.764,1693.923,1557.235,1816.245,1895.127,1861.538,1983.207,2270.572,2160.294,2001.307,1391.101,2898.441,2480.923,2402.692,2187.983,2032.462,2663.372,2313.285,2323.392,2564.264,1710.720,1590.075,1531.609,1649.487,1658.524,2012.269,1520.097,1394.393,1480.632,1474.650,1380.939,1527.032,1509.995,1649.604,1764.634,1413.371,2427.673,1978.695,1306.008,1362.601,1699.021,1383.428,1412.791,1353.674,1133.972,1297.885,1742.847,1349.278
8,715.634,1652.406,1530.337,2502.890,1650.921,1896.148,1889.899,2624.594,1717.564,2446.326,1895.352,1805.096,1958.389,1486.904,1729.148,1680.878,2225.195,1741.289,1745.373,1745.165,1660.012,1700.799,2089.953,1700.688,1560.853,1820.964,1898.458,1858.100,1962.631,2261.008,2186.932,2001.262,1391.576,2891.604,2485.093,2421.923,2180.498,2036.502,2661.715,2296.725,2321.684,2569.352,1714.920,1588.107,1507.945,1665.490,1649.863,2017.427,1503.620,1378.352,1470.244,1465.210,1364.541,1511.352,1513.638,1648.576,1783.180,1421.845,2432.915,1986.941,1303.862,1345.044,1705.948,1379.255,1394.908,1360.701,1166.008,1317.306,1750.437,1342.156
9,720.402,1649.525,1528.320,2494.470,1646.236,1904.441,1903.726,2628.508,1695.192,2436.265,1883.165,1810.225,1959.011,1483.854,1729.508,1683.776,2238.394,1734.272,1733.065,1740.762,1666.740,1703.378,2085.278,1701.019,1579.396,1817.789,1899.381,1867.776,1962.605,2263.046,2166.918,2012.559,1398.710,2874.854,2505.882,2406.544,2204.060,2048.241,2645.600,2319.391,2305.873,2547.416,1731.142,1598.185,1518.493,1665.007,1646.631,2038.156,1510.260,1395.430,1463.480,1461.141,1386.751,1502.833,1493.365,1666.628,1759.162,1436.532,2419.215,1980.397,1311.568,1367.601,1695.084,1382.676,1416.996,1344.038,1141.478,1301.541,1750.402,1343.404
10,712.789,1650.867,1530.839,2493.677,1653.252,1905.179,1904.746,2635.227,1713.362,2426.126,1884.973,1810.128,1985.715,1499.978,1738.222,1701.867,2236.748,1743.558,1731.874,1737.283,1688.996,1710.377,2095.660,1703.299,1561.196,1834.070,1897.782,1873.406,1986.034,2275.465,2172.401,2012.504,1396.148,2866.812,2508.946,2418.933,2179.410,2048.500,2677.524,2329.758,2338.855,2565.451,1714.802,1595.896,1534.140,1665.023,1658.240,2005.411,1519.115,1408.110,1478.876,1456.117,1387.128,1510.414,1501.348,1649.725,1767.227,1425.605,2429.823,1983.279,1310.896,1373.181,1709.548,1384.545,1415.515,1353.226,1165.090,1309.246,1752.861,1352.513
