 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
1,722.490,1649.993,1400.644,1227.977,883.763,1075.188,1038.695,914.309,1183.250,1579.008,1479.135,1221.557,1475.513,981.389
2,721.458,1639.688,1394.441,1224.596,880.386,1073.222,1030.727,913.664,1174.376,1572.814,1479.250,1217.485,1474.008,982.572
3,716.098,1644.710,1391.470,1224.256,881.331,1071.812,1038.666,910.217,1180.737,1576.645,1481.472,1216.088,1472.707,986.839
4,716.627,1645.967,1398.453,1227.634,883.042,1076.124,1034.878,913.273,1183.851,1573.001,1480.702,1220.740,1475.813,989.045
5,713.596,1641.832,1397.551,1225.942,884.742,1077.328,1032.426,912.831,1178.134,1572.345,1476.370,1217.970,1467.954,983.755
6,719.588,1644.512,1396.253,1225.205,884.312,1078.088,1035.834,911.564,1184.667,1573.044,1481.392,1223.166,1467.587,986.472
7,720.096,1640.929,1393.699,1229.276,882.483,1075.786,1032.709,910.492,1176.113,1572.276,1474.062,1225.218,1471.516,985.133
8,728.088,1645.547,1398.529,1230.903,885.696,1079.707,1034.477,914.693,1183.747,1578.175,1480.281,1222.776,1474.367,987.640
9,723.375,1645.682,1397.998,1229.751,884.423,1081.165,1037.917,914.398,1181.764,1572.390,1482.461,1229.607,1470.449,989.178
10,723.826,1644.250,1395.591,1225.766,883.360,1076.262,1029.383,911.295,1173.886,1567.821,1477.732,1219.487,1468.926,988.206
11,710.988,1646.935,1398.279,1233.238,886.611,1079.530,1035.652,911.196,1181.901,1571.150,1483.038,1225.414,1473.813,990.721
12,725.012,1642.850,1399.864,1231.219,885.462,1083.446,1033.263,913.451,1178.445,1573.702,1483.050,1223.057,1476.129,991.035
13,730.779,1636.032,1397.311,1233.860,883.438,1081.313,1032.961,912.148,1175.196,1567.569,1494.942,1220.336,1477.537,987.682
14,723.566,1639.244,1394.863,1232.957,885.132,1083.599,1033.869,914.797,1176.195,1570.931,1500.355,1224.829,1474.631,987.611
15,731.811,1646.558,1403.635,1238.244,890.716,1088.232,1040.142,916.152,1184.879,1572.470,1519.210,1229.332,1484.638,992.872
16,726.723,1644.894,1398.871,1235.349,886.717,1082.264,1035.194,914.563,1179.432,1570.759,1525.929,1229.774,1483.185,987.966
17,719.507,1638.656,1398.432,1234.055,883.493,1082.790,1034.984,911.744,1177.602,1566.629,1533.142,1229.524,1482.077,985.550
18,722.397,1645.187,1404.773,1241.345,892.928,1089.095,1045.844,922.157,1188.525,1575.377,1566.703,1234.083,1486.072,994.379
19,722.662,1641.779,1400.689,1237.141,887.343,1087.026,1039.910,914.872,1181.028,1571.158,1562.018,1227.809,1489.465,989.300
20,721.029,1639.663,1397.083,1236.536,886.041,1086.552,1037.668,913.545,1180.631,1567.759,1568.277,1226.281,1475.234,987.371
21,717.096,1634.586,1395.420,1233.283,883.225,1085.613,1036.534,912.940,1177.180,1563.080,1587.238,1224.940,1477.843,987.892
22,716.566,1634.386,1396.366,1235.588,883.827,1087.491,1038.212,912.663,1178.736,1563.636,1593.866,1225.670,1480.472,990.078
23,714.897,1638.476,1397.198,1232.008,885.601,1085.184,1040.681,912.268,1177.609,1558.574,1624.597,1223.205,1470.692,997.497
24,723.326,1633.481,1397.043,1235.337,885.513,1091.292,1038.068,912.941,1179.913,1558.716,1641.071,1224.888,1487.048,1004.419
25,720.490,1640.318,1396.920,1237.314,884.538,1089.164,1037.799,911.744,1177.153,1563.931,1648.313,1226.065,1482.167,1004.349
26,724.765,1635.794,1393.695,1229.651,883.069,1088.336,1035.496,911.620,1177.734,1556.621,1667.218,1222.193,1481.195,1004.669
27,727.880,1635.843,1395.049,1235.336,884.499,1090.634,1037.261,914.366,1180.969,1556.530,1684.501,1231.610,1479.834,1011.951
28,721.282,1633.525,1401.845,1236.029,887.526,1089.198,1036.060,915.916,1180.531,1561.536,1704.191,1230.058,1478.870,1014.530
29,722.917,1632.172,1398.269,1234.797,883.442,1092.765,1036.615,914.578,1180.463,1555.377,1712.489,1226.638,1474.733,1016.389
30,716.056,1634.589,1400.254,1236.276,884.908,1092.031,1036.330,913.909,1179.285,1554.779,1735.746,1233.090,1474.244,1016.893
31,730.718,1635.422,1395.918,1232.444,883.619,1087.969,1033.031,912.450,1180.403,1549.508,1757.235,1221.166,1471.555,1021.894
32,723.870,1642.305,1398.211,1239.775,890.133,1094.804,1038.616,918.374,1185.342,1558.695,1769.412,1232.692,1480.353,1023.054
33,712.613,1636.481,1398.241,1235.282,887.347,1089.871,1037.734,914.468,1187.680,1551.926,1798.149,1226.769,1475.126,1032.139
34,727.093,1636.899,1395.407,1238.008,887.633,1096.346,1036.251,914.151,1187.580,1556.297,1807.250,1230.416,1477.628,1034.376
35,725.703,1636.727,1398.697,1234.718,886.905,1091.306,1035.856,916.247,1185.851,1552.730,1826.737,1225.678,1469.652,1031.240
36,721.740,1635.425,1399.867,1237.409,885.993,1096.929,1036.187,913.399,1184.511,1555.994,1839.047,1227.205,1480.491,1036.138
37,722.728,1641.619,1405.150,1243.059,890.384,1100.942,1041.371,921.744,1195.450,1560.093,1862.757,1230.923,1476.401,1043.720
38,728.088,1638.489,1403.340,1240.073,890.617,1096.538,1036.718,917.651,1189.852,1555.290,1870.438,1229.297,1480.239,1039.933
39,730.407,1632.713,1394.816,1233.977,884.670,1090.689,1033.328,910.452,1183.655,1548.706,1878.020,1219.574,1468.385,1037.147
40,718.642,1637.497,1397.664,1237.503,886.641,1098.199,1038.597,912.456,1187.742,1549.056,1884.790,1222.744,1473.980,1036.992
41,729.483,1639.631,1399.108,1240.587,887.412,1100.204,1040.049,915.225,1190.023,1551.391,1902.843,1228.971,1469.422,1051.249
42,722.591,1631.241,1395.821,1235.458,884.582,1095.576,1035.374,912.220,1184.266,1551.211,1897.357,1224.004,1466.009,1044.166
43,730.199,1634.227,1404.224,1235.610,888.288,1098.998,1040.719,918.628,1189.026,1556.902,1908.402,1225.491,1473.224,1049.322
44,730.321,1639.396,1398.745,1243.201,888.565,1101.369,1039.843,920.472,1193.030,1552.967,1911.491,1222.331,1474.563,1048.008
45,736.475,1638.415,1404.271,1241.412,891.855,1103.863,1042.184,919.815,1192.760,1555.311,1914.984,1224.569,1477.369,1051.938
46,731.542,1639.090,1398.558,1238.493,887.736,1101.429,1035.047,916.973,1191.285,1554.497,1910.804,1222.990,1479.813,1047.973
47,722.706,1637.712,1397.813,1237.582,888.856,1098.723,1037.456,916.033,1194.927,1556.180,1911.704,1225.153,1478.250,1053.859
48,729.650,1645.395,1401.416,1240.197,889.061,1099.423,1036.932,918.447,1195.929,1554.298,1906.273,1219.805,1484.733,1047.156
49,735.512,1648.004,1399.155,1238.217,890.653,1100.233,1036.813,917.652,1198.865,1556.756,1898.385,1225.844,1482.760,1047.952
