 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1,708.239,1618.645,1303.220,1411.930,1317.277,1527.343,1450.118,1420.037,1375.355,1213.194,1017.559,1223.256,1047.024,1419.806,1848.379,1340.492,1289.505,1383.927,1492.538,1403.063,1200.542,1972.764,1138.771
2,706.547,1617.769,1304.047,1406.173,1316.090,1521.738,1446.298,1417.383,1372.568,1216.473,1014.150,1221.617,1050.643,1430.547,1852.858,1346.061,1291.129,1371.508,1496.541,1408.395,1193.663,1963.374,1140.525
3,701.575,1620.896,1301.855,1404.404,1309.487,1521.089,1439.748,1417.880,1376.400,1209.385,1014.289,1213.991,1043.046,1424.737,1835.217,1337.048,1286.782,1377.266,1494.229,1394.079,1187.139,1957.487,1139.609
4,704.370,1622.670,1305.978,1406.163,1316.123,1525.769,1443.789,1416.299,1380.227,1215.647,1014.451,1227.454,1049.239,1426.666,1859.727,1341.369,1289.364,1371.534,1486.838,1404.965,1197.885,1966.221,1141.361
5,705.218,1618.420,1301.839,1398.519,1314.624,1524.866,1446.360,1413.878,1378.304,1210.749,1012.683,1217.746,1046.013,1417.682,1845.336,1339.073,1284.421,1385.813,1487.452,1393.028,1190.878,1960.548,1134.299
6,705.820,1622.298,1305.794,1403.851,1317.149,1528.057,1442.254,1421.099,1380.272,1217.153,1014.584,1222.709,1049.496,1424.695,1848.900,1343.101,1291.810,1374.700,1497.261,1398.966,1195.263,1965.511,1145.093
7,707.868,1622.683,1307.941,1408.941,1320.496,1528.822,1447.724,1421.867,1380.636,1221.646,1019.981,1225.952,1047.951,1422.212,1846.337,1340.281,1287.396,1385.852,1497.452,1402.026,1194.505,1970.457,1143.698
8,706.780,1615.801,1302.224,1401.930,1312.748,1520.901,1445.302,1414.884,1377.571,1210.453,1014.239,1222.864,1046.387,1415.870,1846.638,1339.398,1288.222,1375.973,1489.599,1397.552,1188.951,1953.703,1137.346
9,705.131,1623.376,1305.568,1399.797,1318.678,1526.964,1443.705,1423.867,1387.510,1214.177,1018.302,1221.043,1045.572,1417.988,1841.396,1340.993,1289.222,1380.819,1492.045,1393.611,1187.995,1962.164,1138.025
10,701.825,1620.382,1302.690,1397.312,1316.637,1526.328,1441.239,1416.764,1381.263,1212.726,1011.872,1217.614,1047.760,1412.326,1849.188,1338.000,1284.832,1374.094,1489.647,1399.686,1185.894,1960.963,1136.375
11,705.167,1621.260,1306.932,1402.918,1318.869,1527.174,1441.651,1420.394,1384.258,1216.338,1017.485,1221.004,1048.587,1420.717,1849.327,1341.044,1288.137,1379.969,1493.519,1396.069,1189.260,1963.212,1143.446
12,706.728,1624.678,1308.971,1404.893,1317.239,1524.717,1444.395,1424.625,1389.142,1217.337,1014.865,1221.307,1047.909,1418.515,1836.829,1343.435,1287.344,1378.963,1503.227,1400.632,1188.248,1962.033,1138.002
