 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18
1,640.423,877.902,1014.138,845.907,1060.411,1077.857,1204.788,1067.738,1059.320,1150.437,1022.279,893.130,924.143,766.612,756.934,809.496,798.656,1036.467
2,650.015,884.198,1022.451,851.419,1067.118,1085.684,1203.272,1075.741,1062.961,1153.373,1023.154,900.188,934.487,769.778,763.768,816.355,804.120,1039.310
3,646.316,877.354,1015.613,846.219,1066.519,1078.012,1204.974,1063.386,1060.845,1144.206,1020.758,900.500,928.876,766.350,757.005,812.037,800.131,1038.109
4,650.260,878.545,1017.443,846.716,1059.875,1079.532,1205.968,1068.712,1063.457,1150.387,1022.414,896.877,928.298,767.873,759.862,812.442,799.071,1039.852
5,644.316,877.252,1014.534,845.945,1063.590,1077.399,1199.710,1064.119,1059.490,1145.521,1014.293,896.012,924.093,766.396,757.371,809.155,799.309,1037.099
6,646.735,880.258,1018.246,845.838,1065.852,1081.784,1205.292,1069.969,1060.863,1143.352,1022.113,901.213,924.786,770.992,759.005,813.150,801.944,1040.732
7,644.981,875.938,1015.934,845.966,1064.231,1080.717,1202.247,1064.465,1057.411,1145.667,1019.494,894.305,924.707,765.378,757.340,812.120,798.448,1036.761
8,651.014,881.465,1018.453,850.321,1066.888,1080.317,1204.294,1070.418,1063.865,1146.336,1024.182,898.468,930.019,771.052,757.836,811.732,803.631,1043.280
9,649.002,879.978,1021.266,845.650,1070.792,1082.188,1203.383,1075.031,1063.596,1151.521,1022.138,899.586,928.860,768.449,760.997,812.310,804.367,1041.911
10,636.139,874.587,1011.231,841.115,1066.689,1072.821,1197.661,1060.911,1050.736,1142.589,1014.484,885.688,917.524,765.390,754.947,807.160,791.481,1030.787
11,643.913,875.433,1007.634,845.964,1063.060,1070.848,1196.187,1060.992,1054.256,1146.877,1019.159,889.666,917.495,765.132,756.587,809.919,796.269,1036.433
12,640.747,871.422,1003.384,843.437,1063.591,1073.976,1194.652,1058.328,1052.727,1140.925,1012.333,888.893,916.939,764.154,753.924,805.814,789.646,1026.369
13,640.986,871.457,1004.477,841.969,1060.279,1071.236,1193.373,1063.842,1049.091,1141.099,1012.525,886.141,913.522,763.540,753.480,802.818,789.015,1030.201
14,629.151,866.064,1003.214,838.167,1058.457,1066.201,1190.678,1060.229,1047.603,1139.415,1012.218,886.663,913.789,762.816,753.309,804.510,784.698,1028.582
15,645.806,875.897,1007.173,846.163,1066.379,1074.938,1198.591,1062.788,1056.387,1145.939,1014.352,889.399,921.559,768.377,757.393,809.048,793.714,1035.506
16,629.049,872.790,1002.836,842.235,1059.744,1066.916,1192.298,1057.301,1053.472,1144.639,1015.422,885.556,916.930,762.889,754.489,805.276,788.719,1028.492
17,638.636,870.895,1005.152,842.999,1062.466,1073.568,1189.083,1059.236,1053.622,1138.268,1011.426,883.765,916.971,764.196,754.266,804.309,787.983,1030.620
18,637.582,879.160,1013.053,846.842,1073.899,1077.551,1203.884,1075.473,1061.824,1151.612,1022.206,895.556,922.943,767.671,758.604,810.267,798.393,1040.976
19,647.690,883.351,1017.972,848.050,1068.695,1077.014,1204.192,1073.483,1068.114,1152.233,1027.761,902.875,927.022,769.504,762.487,815.636,804.722,1047.187
20,649.723,885.391,1021.963,843.423,1072.436,1082.253,1204.997,1073.496,1068.122,1164.279,1031.048,902.358,930.347,767.398,758.757,817.295,807.312,1048.625
21,662.328,889.402,1025.652,847.428,1076.123,1086.744,1206.384,1082.550,1072.641,1168.201,1035.298,908.318,930.573,768.610,760.991,817.746,812.578,1055.102
22,675.660,897.293,1040.282,850.930,1090.853,1096.537,1221.241,1089.757,1084.786,1177.380,1043.782,922.391,947.135,771.139,763.949,826.689,825.979,1070.727
23,702.041,914.927,1063.213,858.807,1100.241,1112.722,1238.712,1111.170,1104.255,1194.995,1067.829,942.614,957.315,775.794,772.020,840.333,849.006,1093.725
24,709.236,921.123,1068.738,864.482,1106.915,1121.716,1242.427,1124.269,1111.127,1200.475,1071.467,950.502,966.437,780.142,777.181,844.896,857.072,1099.668
25,705.003,919.091,1064.502,862.176,1101.826,1121.139,1241.703,1119.570,1111.457,1193.460,1067.760,944.940,962.992,780.248,776.778,843.956,854.420,1096.539
26,700.786,914.519,1061.047,858.101,1100.599,1114.167,1237.685,1112.719,1102.258,1191.980,1066.999,945.450,956.344,776.435,773.474,839.135,846.696,1096.821
27,706.600,917.017,1065.240,860.289,1105.374,1119.976,1240.065,1111.169,1106.286,1193.179,1069.369,952.899,960.982,778.085,776.281,842.078,851.364,1099.025
28,703.954,916.823,1062.735,859.504,1102.485,1115.678,1237.366,1110.950,1105.184,1193.290,1067.951,946.716,959.773,775.794,775.295,837.681,849.160,1093.012
29,709.248,917.047,1066.661,860.189,1101.946,1112.787,1240.668,1116.582,1108.316,1189.154,1070.202,952.241,963.668,780.200,775.090,841.225,853.288,1098.883
