 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64
1,919.074,3273.989,3654.966,3621.226,1931.351,4064.570,4104.768,3238.759,4066.144,4087.145,3943.370,4661.791,4631.504,4358.672,3127.365,3129.490,2736.708,2784.738,2043.491,3813.146,4430.892,4479.124,6236.712,2594.958,5025.699,5347.503,4723.394,4856.950,5214.604,2631.052,2329.407,2235.797,3249.442,3459.486,3325.169,4558.028,4159.008,3266.025,2890.336,3379.732,3067.419,2424.814,3005.158,2632.170,3004.917,4466.729,3094.804,3153.169,3489.152,3099.016,2598.569,4508.400,4035.950,4922.640,2344.150,2393.437,3479.944,3638.601,2936.053,3537.769,2775.799,2130.836,5604.940,5547.527
2,895.333,3276.904,3662.052,3598.531,1940.404,4051.254,4112.706,3242.944,4017.510,4069.012,3935.302,4630.763,4551.042,4322.705,3127.320,3121.103,2710.725,2769.610,2054.015,3845.801,4413.686,4456.975,6246.929,2582.795,5003.976,5389.197,4715.942,4870.749,5229.065,2616.493,2330.559,2239.914,3210.681,3439.728,3337.461,4509.062,4178.006,3331.539,2899.415,3411.529,3058.647,2431.890,3013.784,2650.304,3020.987,4466.259,3079.202,3144.563,3483.040,3076.234,2586.178,4511.186,3986.987,4927.625,2344.904,2405.762,3482.490,3631.373,2928.774,3507.885,2757.328,2122.071,5565.824,5508.058
3,911.222,3279.556,3662.860,3605.136,1942.471,4031.209,4118.818,3254.404,4031.327,4060.078,3889.931,4647.324,4622.844,4362.035,3126.880,3107.888,2715.037,2784.895,2046.241,3820.764,4427.818,4453.679,6242.839,2594.242,4931.099,5330.120,4716.867,4858.333,5193.543,2607.337,2348.945,2245.224,3231.217,3458.424,3325.661,4541.821,4157.426,3293.942,2887.447,3378.506,3103.064,2429.293,3026.828,2654.674,3008.464,4451.771,3093.756,3158.739,3489.552,3107.778,2608.532,4527.282,4011.302,4936.828,2349.022,2403.880,3466.865,3597.137,2934.991,3545.674,2768.344,2116.152,5580.124,5518.704
4,891.389,3271.956,3661.197,3599.591,1937.532,4032.373,4099.234,3238.184,4016.628,4060.142,3907.644,4643.320,4605.813,4336.186,3117.728,3097.887,2704.840,2784.681,2057.421,3834.158,4415.306,4460.695,6231.382,2594.610,4989.532,5379.934,4711.254,4851.709,5208.651,2624.992,2343.436,2239.479,3228.873,3450.093,3323.737,4550.886,4166.010,3287.286,2897.426,3403.884,3072.741,2395.984,2998.842,2669.392,3012.013,4460.625,3079.853,3135.867,3479.704,3095.859,2590.690,4509.909,4002.235,4890.877,2338.744,2398.491,3476.431,3596.957,2924.989,3560.575,2745.211,2120.020,5560.961,5544.915
5,926.833,3293.561,3666.081,3606.325,1927.147,4012.212,4099.320,3242.476,3996.824,4037.840,3893.739,4651.715,4647.341,4357.515,3129.235,3131.781,2714.780,2796.342,2040.755,3847.197,4436.782,4462.867,6265.177,2586.613,4953.015,5350.866,4689.699,4869.099,5179.276,2615.452,2350.991,2237.852,3257.679,3464.204,3311.159,4569.328,4147.926,3292.442,2875.521,3385.869,3092.753,2419.080,3016.549,2658.956,2996.518,4433.999,3077.698,3148.540,3488.086,3082.104,2610.402,4527.281,3995.621,4934.244,2350.094,2389.446,3500.569,3580.116,2941.507,3556.233,2773.142,2135.128,5543.840,5550.624
6,902.241,3307.257,3695.768,3611.204,1933.307,4039.146,4130.364,3264.643,4006.893,4068.759,3915.562,4674.199,4615.099,4371.936,3110.386,3126.575,2716.724,2792.380,2039.756,3822.059,4413.737,4449.161,6265.890,2590.676,4927.185,5307.327,4719.010,4878.905,5175.296,2623.478,2344.444,2232.548,3232.434,3470.489,3312.917,4573.003,4159.444,3310.456,2891.969,3388.804,3079.216,2393.608,3035.842,2636.677,3012.723,4451.634,3078.482,3132.599,3485.332,3090.540,2616.776,4537.077,4000.350,4915.385,2331.759,2390.179,3481.782,3610.378,2928.203,3549.731,2756.603,2118.963,5560.239,5523.708
7,896.796,3276.183,3678.152,3603.357,1935.618,4058.089,4092.808,3247.535,3976.451,4063.156,3932.358,4634.619,4580.126,4340.675,3119.515,3075.461,2713.242,2786.095,2055.127,3839.215,4386.646,4434.764,6263.274,2605.769,5019.199,5343.271,4697.475,4875.796,5209.678,2602.685,2350.063,2235.517,3228.563,3463.943,3304.213,4544.696,4177.814,3270.870,2860.021,3371.059,3081.875,2400.072,3035.868,2678.681,3024.186,4473.599,3081.156,3136.820,3498.581,3093.168,2589.806,4503.681,3968.610,4899.840,2319.194,2391.609,3493.487,3593.584,2914.977,3513.991,2750.356,2135.318,5574.117,5506.589
8,864.685,3311.031,3696.103,3606.538,1947.635,4000.675,4108.887,3249.189,4010.698,4074.565,3903.212,4686.117,4643.837,4362.493,3121.572,3123.696,2736.792,2800.281,2056.947,3833.844,4461.518,4477.909,6293.551,2608.120,4988.064,5310.268,4712.017,4893.723,5193.162,2606.692,2344.615,2262.123,3257.769,3445.121,3354.877,4594.203,4158.150,3294.669,2913.236,3384.238,3078.719,2404.788,3045.496,2670.100,2992.178,4442.903,3069.696,3157.841,3501.391,3108.917,2620.491,4548.141,4014.291,4937.510,2353.802,2401.896,3509.206,3618.524,2943.352,3606.955,2775.763,2117.233,5553.745,5538.758
9,927.241,3297.815,3685.367,3611.496,1935.605,4023.222,4109.087,3288.059,3973.014,4057.698,3932.442,4673.443,4596.844,4342.213,3090.644,3107.042,2725.156,2794.469,2055.758,3822.331,4405.306,4472.876,6312.310,2586.210,4964.492,5339.466,4718.102,4900.665,5222.892,2614.219,2363.489,2249.444,3251.709,3478.026,3336.281,4568.649,4182.751,3285.291,2895.923,3384.165,3080.231,2413.633,3023.473,2670.884,3028.333,4468.462,3083.522,3186.258,3500.402,3101.719,2614.074,4540.039,3999.139,4932.012,2346.433,2410.444,3506.051,3639.906,2941.353,3548.855,2751.455,2153.767,5586.835,5546.322
10,904.593,3290.383,3686.700,3596.700,1926.918,3997.791,4155.810,3252.188,3957.766,4031.901,3875.767,4658.751,4674.083,4397.421,3084.735,3140.947,2710.550,2769.452,2036.297,3838.181,4433.450,4442.479,6281.437,2593.994,4956.135,5310.819,4679.279,4885.302,5160.857,2593.120,2341.483,2238.527,3221.578,3439.685,3313.436,4557.594,4142.390,3294.267,2878.388,3365.574,3077.230,2408.068,3055.970,2650.642,2992.296,4426.112,3052.687,3159.177,3478.370,3101.363,2612.420,4559.010,4007.963,4935.237,2316.469,2395.386,3508.603,3571.738,2915.187,3598.020,2739.768,2101.905,5538.822,5549.810
