 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58
1,1248.333,3036.333,2756.158,2375.253,3496.729,3715.057,3206.770,3712.623,2529.665,2562.393,3430.511,2981.001,3119.239,2181.092,2341.434,2270.291,2362.051,2384.121,2477.480,2160.623,2879.463,2402.437,3834.291,2785.642,2038.268,3477.400,2414.721,3747.617,2470.417,3062.594,2202.969,2639.554,1893.065,3354.536,2594.915,2502.896,2498.666,1969.320,2696.385,2135.440,2490.875,3084.024,4103.820,2244.677,2984.989,2548.610,2394.514,1843.213,1305.273,2715.776,2393.653,3218.560,2961.102,3101.382,1890.905,3887.806,2317.154,1511.995
2,1234.190,3004.939,2735.780,2357.049,3494.031,3715.879,3180.212,3702.981,2529.510,2564.076,3421.085,2967.715,3109.936,2132.528,2310.705,2265.799,2333.331,2401.353,2489.313,2153.764,2878.993,2394.653,3813.494,2777.170,2039.956,3485.194,2407.889,3754.146,2447.648,3051.620,2211.300,2619.765,1883.899,3362.115,2544.989,2517.784,2483.690,1979.754,2682.087,2142.127,2485.437,3093.534,4104.704,2230.607,2958.643,2531.770,2418.523,1836.962,1291.102,2694.383,2386.521,3198.026,2961.048,3089.743,1836.854,3871.219,2312.825,1490.645
3,1221.016,3025.915,2753.578,2359.163,3509.495,3682.529,3182.855,3717.531,2521.725,2577.618,3432.591,2969.954,3127.295,2143.030,2329.002,2272.408,2334.305,2375.806,2485.468,2142.916,2850.186,2404.216,3823.063,2790.379,2046.190,3495.090,2392.275,3757.575,2442.488,3052.239,2207.950,2623.704,1884.960,3357.516,2525.624,2519.761,2489.586,1994.617,2661.777,2130.002,2474.391,3082.165,4094.346,2225.899,2965.660,2542.580,2400.007,1829.582,1290.462,2693.375,2383.614,3198.609,2943.189,3107.507,1895.417,3885.086,2308.406,1497.643
4,1222.794,2995.406,2753.666,2387.767,3535.789,3724.305,3212.439,3709.220,2555.552,2562.824,3449.813,2966.883,3132.134,2157.000,2332.706,2278.882,2335.338,2379.146,2519.151,2156.793,2873.068,2397.612,3847.785,2758.933,2056.599,3494.621,2414.186,3773.242,2471.952,3071.852,2221.553,2628.255,1893.770,3341.774,2581.591,2512.512,2489.084,2029.458,2724.722,2138.323,2459.823,3113.625,4091.383,2251.074,2959.404,2564.145,2423.592,1849.261,1313.846,2679.157,2392.739,3223.631,2965.326,3140.605,1876.246,3857.469,2331.472,1501.844
5,1269.968,2999.849,2736.611,2361.328,3541.955,3686.991,3198.787,3670.082,2529.515,2564.468,3433.704,2971.449,3130.381,2160.258,2324.321,2278.979,2349.537,2400.748,2511.064,2166.971,2876.067,2402.214,3810.494,2775.895,2059.543,3467.868,2399.250,3749.661,2473.266,3061.923,2228.732,2599.392,1878.065,3342.098,2557.011,2514.558,2475.485,2033.749,2697.187,2132.532,2471.583,3082.483,4096.152,2256.257,2959.207,2540.371,2396.602,1850.943,1316.061,2645.296,2368.607,3231.354,2963.183,3122.666,1888.210,3907.094,2307.850,1516.346
6,1273.746,3003.768,2734.034,2378.419,3534.996,3712.706,3218.818,3728.170,2537.366,2572.860,3430.608,2979.927,3132.142,2161.550,2340.814,2270.735,2349.796,2395.863,2500.482,2168.935,2865.911,2399.391,3818.107,2778.309,2033.110,3470.770,2408.366,3725.510,2449.061,3049.142,2195.678,2632.728,1888.321,3348.938,2543.758,2513.223,2506.720,2022.506,2716.310,2157.278,2483.759,3084.808,4086.146,2238.661,2954.966,2554.262,2404.969,1855.040,1305.116,2674.689,2383.112,3225.271,2978.554,3104.230,1886.020,3918.950,2291.457,1509.572
7,1264.397,3030.100,2770.400,2374.113,3549.531,3702.906,3225.838,3706.908,2531.511,2564.333,3441.946,3005.124,3128.442,2173.033,2327.952,2271.010,2334.487,2390.141,2497.532,2159.844,2878.887,2389.618,3827.644,2774.668,2043.132,3471.605,2408.116,3740.330,2444.012,3079.901,2222.565,2625.746,1898.741,3352.175,2545.389,2514.829,2491.163,2036.078,2724.686,2147.190,2484.731,3120.694,4104.886,2215.638,2977.577,2531.719,2414.927,1859.630,1294.172,2694.465,2403.117,3257.509,2969.382,3118.638,1878.129,3892.804,2306.617,1509.984
8,1255.302,3014.776,2745.410,2368.456,3549.082,3666.230,3176.303,3711.248,2511.165,2574.348,3408.655,2960.620,3126.189,2180.883,2329.355,2284.531,2359.563,2392.892,2445.635,2146.311,2848.964,2387.539,3833.934,2779.845,2034.054,3442.744,2395.163,3729.523,2456.136,3051.494,2228.536,2621.916,1874.978,3340.221,2546.286,2498.082,2504.352,2013.870,2679.828,2152.401,2466.756,3056.987,4083.104,2221.603,2967.375,2525.994,2398.799,1862.833,1318.012,2658.656,2407.130,3220.123,2951.220,3088.818,1859.241,3897.146,2324.420,1508.229
9,1254.175,3009.967,2741.111,2370.028,3558.949,3710.200,3229.792,3709.939,2552.946,2569.233,3442.403,2997.461,3112.489,2184.991,2321.042,2274.147,2364.732,2391.438,2521.598,2168.204,2877.520,2384.684,3832.813,2780.031,2056.025,3466.856,2409.597,3786.219,2456.148,3060.163,2230.945,2611.629,1882.411,3365.704,2554.783,2506.136,2480.819,2023.301,2681.899,2129.939,2469.348,3098.171,4112.989,2203.934,2972.263,2550.222,2413.658,1859.863,1302.773,2687.720,2389.249,3237.843,2962.222,3218.645,1894.585,3904.148,2334.341,1506.691
10,1287.651,2991.704,2744.261,2376.652,3538.356,3665.870,3200.938,3714.162,2549.988,2556.594,3435.045,2974.885,3127.033,2167.057,2336.218,2279.970,2340.471,2396.123,2504.050,2166.772,2868.659,2389.592,3815.693,2743.189,2057.949,3457.931,2421.999,3733.017,2437.361,3054.435,2225.825,2603.458,1866.993,3367.512,2542.045,2513.701,2474.012,2015.678,2706.870,2151.271,2485.586,3088.324,4102.107,2231.802,2971.166,2538.661,2396.155,1870.811,1290.192,2652.434,2360.319,3254.792,2938.421,3146.466,1874.692,3853.301,2304.663,1477.327
