 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
1,1095.380,3417.806,3140.974,2731.868,2271.701,1901.032,3436.200,2428.697,2092.402,3549.609,1899.966,2159.669,2066.378,2482.533,1647.661,2195.460,1686.070,1960.277,2878.818,2489.701,2033.603,2427.175,2825.836,2136.735,2427.580,2970.370,2209.061,1829.672,1601.901,2601.597
2,1106.801,3428.945,3142.550,2750.095,2270.977,1904.212,3472.730,2444.763,2111.195,3574.621,1905.464,2152.111,2069.924,2454.373,1632.572,2211.767,1679.692,1982.805,2900.968,2492.556,2050.856,2432.799,2810.813,2118.908,2390.134,2973.723,2208.056,1834.291,1593.820,2616.439
3,1103.963,3424.727,3165.493,2727.423,2265.400,1887.066,3500.690,2438.906,2119.533,3603.146,1912.552,2141.507,2062.141,2426.478,1641.119,2196.202,1655.713,1983.907,2942.238,2507.769,2083.589,2441.323,2831.333,2131.265,2401.826,3002.516,2208.181,1828.612,1591.836,2646.614
4,1108.949,3408.565,3172.629,2730.893,2270.551,1886.154,3485.132,2445.830,2083.823,3615.654,1902.003,2150.239,2078.074,2438.821,1632.208,2201.808,1660.791,1972.557,2961.260,2525.637,2064.756,2448.796,2828.551,2138.471,2395.665,2999.249,2210.890,1835.524,1605.733,2627.123
5,1088.921,3407.990,3167.764,2726.738,2292.240,1885.525,3491.777,2416.201,2124.306,3604.125,1916.172,2142.207,2053.422,2430.985,1622.863,2201.625,1685.388,1950.866,2974.431,2512.137,2057.618,2415.001,2839.626,2129.004,2380.269,3000.773,2204.215,1835.545,1593.169,2638.710
6,1102.407,3413.685,3163.087,2735.075,2270.690,1881.500,3475.840,2414.051,2125.624,3565.567,1906.607,2135.162,2075.717,2395.775,1642.237,2212.490,1683.450,1956.641,2933.489,2490.624,2041.852,2423.059,2838.313,2126.161,2398.857,2992.595,2193.601,1855.150,1590.030,2611.455
7,1094.213,3419.279,3170.488,2747.040,2287.060,1880.510,3491.598,2450.054,2118.396,3575.314,1916.896,2160.039,2070.099,2395.727,1649.685,2204.056,1676.840,1960.076,2957.994,2509.507,2058.584,2448.122,2847.092,2135.096,2368.292,2990.030,2212.674,1846.818,1591.224,2623.110
8,1110.176,3411.948,3159.392,2741.413,2290.037,1874.393,3458.383,2435.592,2092.304,3618.591,1884.331,2132.530,2059.526,2378.783,1634.323,2192.361,1656.468,1957.189,2998.226,2516.124,2101.833,2458.417,2856.772,2123.437,2336.926,3031.282,2195.689,1843.088,1589.784,2625.658
9,1100.412,3408.320,3167.426,2728.721,2296.397,1882.531,3508.460,2440.184,2095.505,3594.644,1900.677,2156.027,2064.443,2403.394,1626.754,2215.606,1679.280,1958.192,2961.740,2501.151,2067.551,2449.821,2842.147,2126.795,2333.776,3035.045,2203.102,1843.388,1605.172,2651.434
10,1094.519,3430.293,3160.917,2740.741,2281.196,1898.468,3477.146,2449.129,2100.509,3607.622,1891.229,2138.786,2067.149,2376.612,1628.088,2205.822,1665.237,1966.353,2980.076,2504.724,2077.770,2427.973,2861.186,2130.549,2327.786,2989.009,2190.879,1837.989,1573.589,2637.595
11,1078.759,3414.025,3175.067,2739.647,2310.075,1872.022,3485.707,2454.802,2090.889,3568.263,1898.654,2152.575,2073.541,2351.280,1627.804,2218.008,1688.471,1951.338,2940.465,2509.261,2052.729,2431.410,2824.784,2118.792,2334.684,3006.356,2196.374,1847.203,1590.346,2623.622
12,1093.306,3415.386,3175.944,2734.352,2269.184,1883.514,3502.427,2442.194,2110.350,3579.000,1920.302,2158.295,2076.287,2384.687,1626.876,2220.146,1673.410,1910.399,2957.747,2509.613,2072.384,2450.342,2863.320,2130.229,2326.523,3034.267,2198.279,1843.379,1591.296,2642.181
13,1100.069,3416.978,3165.246,2740.479,2272.761,1868.464,3522.368,2449.765,2101.346,3624.224,1898.997,2154.531,2069.526,2360.649,1646.921,2213.281,1679.367,1951.472,2990.212,2548.274,2070.745,2437.452,2863.157,2138.665,2315.258,3060.576,2208.427,1858.418,1595.988,2641.492
14,1103.968,3430.927,3181.987,2740.465,2282.001,1871.917,3511.260,2438.448,2111.936,3611.302,1894.547,2139.237,2064.397,2369.985,1635.599,2228.892,1679.299,1933.673,2961.271,2514.535,2054.328,2467.531,2854.826,2151.797,2310.749,3048.133,2206.976,1834.490,1589.010,2650.924
15,1089.546,3407.668,3161.844,2740.044,2281.587,1901.681,3519.873,2433.418,2101.040,3605.164,1897.409,2145.972,2054.343,2347.942,1636.439,2223.880,1684.944,1935.740,2970.836,2522.168,2070.777,2459.650,2848.376,2143.259,2335.304,3021.302,2200.815,1836.370,1602.778,2641.390
16,1103.074,3397.947,3155.651,2732.009,2279.591,1906.385,3520.423,2451.798,2121.004,3527.269,1904.393,2172.711,2089.814,2355.280,1618.873,2209.117,1688.077,1943.522,2956.333,2510.719,2051.603,2442.357,2849.650,2155.947,2350.462,3050.043,2198.708,1848.129,1577.626,2622.458
17,1104.130,3423.968,3152.771,2731.505,2299.892,1876.437,3509.505,2463.257,2113.630,3596.491,1920.039,2141.980,2080.375,2337.239,1636.100,2223.650,1701.776,1923.988,2950.327,2535.217,2099.495,2454.169,2853.273,2150.966,2317.560,3049.704,2212.974,1857.390,1596.322,2654.447
18,1107.019,3432.546,3168.352,2730.339,2282.995,1893.571,3523.928,2453.006,2099.233,3606.434,1925.211,2141.434,2070.405,2373.829,1641.011,2208.987,1692.318,1926.994,2976.246,2540.469,2109.672,2447.390,2887.451,2133.594,2306.998,3085.847,2208.956,1848.610,1589.260,2647.445
19,1079.792,3409.091,3142.877,2721.652,2277.858,1882.014,3496.103,2453.522,2105.372,3605.651,1899.622,2126.375,2070.421,2371.456,1613.042,2184.295,1679.915,1923.131,2966.271,2532.532,2088.000,2460.898,2855.485,2159.528,2316.692,3049.835,2183.454,1851.739,1572.165,2639.997
20,1110.347,3418.443,3157.807,2717.126,2293.608,1901.095,3529.340,2446.326,2089.634,3608.970,1926.607,2150.865,2070.250,2393.070,1653.490,2183.980,1665.777,1923.668,2931.381,2546.172,2109.605,2450.377,2864.790,2137.290,2316.116,3068.156,2197.728,1852.654,1580.902,2665.728
21,1104.792,3423.213,3142.362,2701.070,2300.611,1904.685,3500.479,2443.628,2114.783,3546.011,1922.302,2161.179,2079.145,2395.428,1625.088,2175.936,1685.751,1933.297,2930.892,2535.430,2039.349,2467.412,2866.822,2128.543,2336.037,3048.127,2197.847,1837.175,1583.106,2635.901
22,1100.056,3427.925,3149.844,2734.706,2295.709,1896.166,3522.770,2431.290,2103.167,3570.011,1927.044,2160.618,2077.397,2430.594,1627.016,2182.275,1694.083,1940.152,2927.996,2544.059,2074.712,2448.043,2846.129,2122.284,2349.498,3080.635,2201.773,1844.056,1605.014,2641.750
23,1116.023,3436.528,3176.444,2734.986,2293.178,1920.817,3528.538,2429.971,2118.658,3613.819,1963.654,2157.425,2073.407,2473.141,1631.610,2184.902,1685.301,1958.618,2966.489,2572.793,2113.267,2491.001,2854.321,2129.229,2308.700,3135.042,2194.271,1857.021,1590.518,2655.300
24,1112.537,3432.133,3142.368,2718.823,2308.218,1877.188,3518.693,2453.516,2088.302,3600.298,1899.456,2151.918,2068.147,2488.808,1626.275,2169.449,1677.777,1927.560,2942.820,2538.813,2111.019,2467.902,2843.066,2137.215,2312.456,3104.867,2194.785,1837.868,1586.251,2639.590
25,1109.083,3424.378,3164.659,2713.671,2298.133,1905.058,3534.089,2451.081,2088.342,3588.305,1911.862,2159.681,2070.026,2550.719,1645.850,2173.870,1685.911,1908.872,2934.697,2565.061,2102.674,2491.920,2827.219,2131.942,2335.691,3074.980,2197.707,1851.700,1599.405,2654.230
26,1094.111,3441.154,3160.709,2734.643,2284.927,1911.847,3510.714,2440.443,2121.245,3576.542,1922.013,2157.185,2098.712,2579.785,1640.021,2175.927,1695.530,1969.997,2972.639,2546.062,2047.115,2478.848,2842.316,2112.386,2312.006,3069.742,2196.808,1863.261,1589.010,2615.813
27,1110.699,3442.194,3163.035,2731.320,2302.717,1899.710,3518.713,2443.868,2119.515,3594.652,1919.716,2153.435,2073.842,2590.578,1637.510,2164.165,1694.111,1931.478,2965.757,2545.249,2074.403,2472.248,2850.404,2147.301,2291.723,3080.302,2196.783,1847.457,1580.825,2645.474
28,1114.421,3437.781,3166.520,2727.248,2284.015,1913.164,3501.249,2459.773,2097.010,3630.357,1914.479,2158.639,2084.802,2593.964,1633.775,2152.999,1683.233,1953.604,2941.649,2568.552,2100.591,2497.918,2843.182,2149.040,2276.775,3124.998,2199.431,1838.961,1603.670,2655.824
29,1131.644,3435.376,3168.071,2736.139,2273.881,1908.175,3514.909,2439.895,2106.513,3577.811,1925.680,2148.680,2087.145,2602.919,1623.061,2171.143,1689.070,1941.915,2969.489,2562.727,2102.071,2491.832,2840.693,2136.514,2269.490,3112.183,2197.109,1848.146,1601.074,2658.229
30,1111.028,3428.808,3175.447,2711.200,2276.085,1922.295,3509.925,2443.904,2101.250,3596.739,1907.930,2146.466,2103.077,2603.882,1617.154,2146.301,1710.296,1927.904,2949.339,2552.669,2077.161,2471.600,2841.623,2135.821,2273.692,3104.905,2193.825,1846.566,1588.635,2634.444
31,1104.560,3462.864,3167.371,2723.261,2291.566,1923.451,3503.634,2461.367,2097.789,3569.586,1912.878,2157.414,2083.207,2603.530,1616.076,2172.127,1708.722,1912.740,2934.926,2533.748,2045.276,2482.139,2824.509,2130.658,2282.073,3110.144,2194.159,1858.166,1594.311,2629.094
32,1117.569,3457.192,3171.749,2728.084,2288.815,1924.239,3534.739,2465.287,2112.318,3580.151,1910.003,2148.492,2078.943,2602.898,1628.421,2159.070,1698.995,1932.845,2952.415,2559.417,2090.104,2495.913,2844.203,2140.445,2297.541,3134.902,2204.854,1857.663,1591.252,2658.302
33,1123.167,3449.064,3163.699,2720.435,2308.576,1937.129,3535.756,2461.362,2106.586,3635.510,1918.651,2142.228,2099.416,2605.738,1630.835,2152.605,1683.955,1930.571,2971.209,2578.540,2123.202,2487.948,2853.543,2130.038,2261.185,3129.080,2199.512,1852.034,1591.577,2659.071
34,1122.009,3460.189,3176.767,2745.178,2289.064,1955.975,3527.711,2435.659,2086.813,3617.720,1942.029,2151.711,2082.221,2629.892,1630.599,2152.025,1697.802,1934.930,2969.313,2554.214,2097.854,2493.608,2859.488,2128.954,2276.786,3146.550,2201.605,1859.217,1593.482,2645.325
