 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42
1,652.460,1480.976,1473.304,1111.631,2458.244,2099.266,1714.767,1276.623,1546.055,1278.086,1107.404,1295.417,1027.627,1232.560,1307.203,2351.582,1810.507,1962.877,1632.294,1442.691,1278.687,1121.118,1296.590,1959.495,1770.265,1502.734,1627.113,1785.914,1308.502,1019.701,1032.907,1150.382,1026.164,968.655,1101.080,908.084,927.277,977.354,853.246,1116.033,2707.633,1382.567
2,650.227,1471.217,1495.923,1103.780,2456.495,2100.998,1703.672,1280.948,1539.836,1276.471,1108.980,1298.579,1032.716,1236.577,1316.901,2288.627,1815.372,1958.333,1626.106,1435.950,1283.648,1117.345,1292.587,1956.761,1775.787,1509.094,1642.161,1795.810,1305.148,1019.641,1033.264,1148.034,1031.811,960.001,1096.947,911.728,927.115,977.048,855.204,1115.837,2629.771,1382.564
3,648.742,1487.564,1488.109,1104.925,2460.833,2103.253,1712.256,1279.392,1549.260,1277.098,1111.945,1293.994,1030.041,1235.513,1306.223,2335.450,1806.383,1965.141,1633.314,1444.293,1281.958,1123.501,1293.763,1956.383,1772.078,1510.639,1629.676,1785.116,1310.268,1018.265,1038.002,1150.897,1032.341,966.321,1095.204,913.272,924.042,980.891,859.640,1115.265,2674.469,1384.739
4,649.346,1481.609,1481.566,1099.716,2468.588,2104.138,1702.648,1277.136,1541.051,1270.484,1108.702,1297.318,1027.309,1241.098,1308.470,2336.049,1813.878,1962.111,1625.850,1440.372,1284.639,1122.605,1291.596,1955.670,1767.259,1497.653,1633.970,1798.086,1312.663,1017.273,1035.067,1141.938,1031.034,965.918,1103.411,907.719,926.469,984.664,855.130,1120.331,2651.964,1385.133
5,651.009,1481.995,1484.035,1101.275,2466.788,2107.693,1704.054,1280.120,1546.013,1278.496,1112.911,1304.680,1031.331,1238.886,1305.767,2315.365,1813.323,1961.738,1630.713,1442.568,1283.969,1125.167,1293.146,1954.189,1770.762,1506.741,1629.216,1796.269,1305.243,1017.477,1037.641,1151.168,1025.791,959.194,1099.505,912.188,923.361,979.208,855.329,1120.787,2630.723,1388.007
6,653.192,1487.593,1469.470,1110.314,2467.455,2103.931,1707.130,1279.073,1545.603,1278.643,1104.044,1298.676,1031.570,1233.081,1305.777,2326.470,1817.128,1955.713,1623.535,1443.505,1276.853,1123.602,1292.512,1971.938,1776.410,1504.918,1630.370,1792.615,1309.035,1016.047,1034.551,1150.965,1026.352,960.774,1096.559,918.971,924.774,980.430,861.166,1118.094,2668.067,1381.807
7,658.854,1487.878,1485.416,1105.247,2466.203,2112.396,1711.827,1275.554,1547.632,1279.448,1109.170,1299.120,1029.300,1244.932,1313.689,2318.098,1819.591,1967.231,1626.066,1441.175,1284.963,1132.006,1298.247,1969.959,1776.297,1496.987,1624.975,1801.308,1314.627,1018.898,1036.792,1156.180,1034.071,965.590,1098.890,915.750,923.743,983.086,860.708,1119.919,2632.711,1384.714
8,648.758,1486.956,1468.200,1107.365,2464.590,2108.341,1705.123,1280.071,1543.955,1268.862,1109.372,1297.929,1031.014,1238.482,1308.054,2335.794,1822.553,1959.372,1630.397,1446.261,1277.477,1125.827,1298.743,1951.418,1767.470,1497.655,1621.517,1792.619,1313.316,1015.398,1030.446,1149.714,1030.811,963.850,1096.381,910.519,918.598,975.283,854.640,1109.860,2646.076,1377.385
9,644.406,1484.626,1474.280,1101.805,2462.196,2117.520,1701.375,1269.914,1536.271,1275.049,1102.421,1298.250,1026.694,1235.688,1304.175,2312.201,1821.404,1970.987,1633.951,1445.119,1274.386,1121.716,1291.859,1961.317,1768.793,1489.777,1615.309,1799.807,1296.116,1011.034,1030.770,1145.195,1027.326,954.723,1100.884,904.471,913.906,970.742,850.900,1114.056,2622.159,1375.399
10,650.479,1479.756,1482.006,1104.632,2473.631,2120.009,1699.701,1278.643,1552.251,1267.505,1108.937,1303.172,1029.885,1243.326,1309.417,2336.974,1824.512,1973.580,1630.469,1445.223,1275.324,1120.599,1297.661,1962.740,1767.347,1492.450,1627.597,1809.546,1301.795,1017.174,1041.052,1147.854,1028.040,952.575,1098.274,915.812,923.229,975.675,854.281,1116.224,2629.433,1378.815
