 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
1,584.231,1230.576,1029.844,1587.310,1168.125,1057.740,1198.358,1183.585,1127.293,1235.124,1770.646,1196.087,1144.150,1355.602,1479.588,1435.251,1500.723,1330.410,1367.979,1112.779,1422.738,1615.815,1063.800,1187.214,1076.394,997.586,1209.229,1304.465,2009.794,1546.059,1880.005,1010.735,873.085,1742.550
2,584.447,1230.784,1031.315,1588.197,1162.975,1054.196,1197.767,1177.188,1127.055,1232.532,1764.977,1195.561,1141.092,1355.549,1482.766,1430.901,1503.058,1327.307,1364.656,1114.124,1429.074,1613.946,1063.480,1194.310,1077.400,992.195,1206.897,1309.339,2010.461,1549.308,1862.223,1011.463,868.924,1722.862
3,584.848,1230.280,1027.885,1580.798,1163.892,1057.249,1200.259,1182.631,1124.960,1238.586,1776.800,1191.039,1148.499,1354.743,1478.520,1434.032,1505.850,1328.544,1360.492,1115.347,1429.290,1619.592,1068.466,1187.838,1073.263,994.836,1207.781,1310.891,2002.632,1546.674,1870.583,1012.077,877.416,1722.943
4,593.083,1231.547,1033.676,1583.662,1167.657,1060.995,1198.965,1185.241,1125.808,1242.141,1778.462,1197.536,1145.338,1361.272,1485.559,1432.625,1506.920,1327.378,1368.119,1116.950,1426.348,1615.714,1066.986,1188.448,1079.191,998.871,1205.769,1306.593,2022.127,1553.078,1866.792,1011.627,875.818,1739.493
5,584.690,1230.841,1031.685,1588.404,1165.985,1056.325,1202.843,1181.372,1128.926,1232.971,1767.484,1196.111,1144.820,1355.552,1488.147,1432.297,1513.345,1328.935,1366.855,1110.066,1423.989,1614.497,1056.165,1183.796,1075.798,995.372,1200.164,1301.452,2025.332,1536.135,1853.055,1007.426,872.792,1750.211
6,584.597,1232.647,1030.453,1589.434,1165.651,1060.175,1202.392,1182.487,1128.859,1231.393,1769.744,1195.169,1140.992,1355.410,1479.425,1427.669,1502.144,1329.395,1367.856,1117.231,1422.030,1613.326,1058.479,1187.481,1079.983,999.307,1204.602,1307.967,2041.255,1550.080,1867.055,1013.115,875.458,1741.148
7,593.789,1236.762,1038.694,1604.344,1173.846,1063.579,1203.135,1190.053,1129.760,1222.182,1776.062,1197.888,1154.136,1362.461,1488.266,1440.282,1508.806,1337.078,1376.400,1120.798,1429.114,1619.778,1072.879,1196.943,1081.094,1004.869,1200.965,1311.731,2029.081,1549.847,1863.413,1012.319,875.914,1740.943
8,587.328,1230.545,1029.626,1583.606,1165.478,1056.496,1202.127,1179.694,1124.238,1233.890,1772.338,1185.917,1143.782,1346.132,1481.416,1431.431,1500.403,1327.065,1364.770,1115.272,1420.034,1619.521,1061.365,1187.519,1074.888,998.817,1198.722,1306.438,2025.943,1548.166,1856.687,1011.508,870.855,1743.560
9,592.111,1234.375,1036.923,1577.700,1169.278,1059.750,1205.597,1183.427,1126.709,1232.954,1769.186,1192.029,1152.122,1352.611,1486.894,1433.269,1508.987,1333.817,1371.911,1117.757,1422.100,1615.108,1056.090,1187.594,1075.356,996.120,1202.076,1300.957,2023.049,1535.831,1856.407,1008.798,874.454,1740.843
10,598.488,1243.088,1046.439,1602.520,1177.657,1070.148,1216.906,1194.626,1128.418,1237.564,1781.964,1200.227,1153.960,1361.187,1496.972,1445.282,1512.859,1340.841,1369.962,1120.951,1429.188,1618.607,1070.096,1202.867,1088.547,1011.539,1209.495,1318.753,2044.248,1548.343,1879.911,1010.938,884.980,1742.597
